max 3.08x + 8.51y + -8.4z
-0.61x + -9.19y + 4.46z <= 793.36
-9.0x + -5.15y + 6.1z <= 449.34
0.74x + 4.62y + -7.88z <= 462.64
0.15x + 6.61y + -5.49z <= 834.95
1.35x + -0.07y + 8.43z <= 332.63
5.32x + -0.11y + 2.62z <= 494.42
-4.84x + -6.98y + -2.68z <= 422.27
4.54x + -4.5y + -7.19z <= 635.63
5.83x + 7.31y + -7.29z <= 209.53
-7.79x + 6.66y + 3.74z <= 775.41
5.64x + -0.28y + 3.07z <= 175.73
-0.43x + -0.88y + -9.31z <= 928.06
-3.02x + -2.18y + 8.94z <= 314.7
9.93x + 2.55y + -6.72z <= 239.01
-6.89x + -4.71y + -4.02z <= 135.03
0.71x + -0.3y + -1.55z <= 787.3
0.54x + 3.6y + -1.4z <= 927.15
5.23x + 8.41y + 6.91z <= 374.08
-4.43x + 6.98y + 4.07z <= 702.95
-4.53x + -9.97y + -6.65z <= 882.37
-8.47x + -6.1y + 6.67z <= 134.16
-2.3x + -1.51y + 0.08z <= 389.78
-7.48x + -3.36y + -1.56z <= 728.72
-7.61x + 0.74y + 7.39z <= 266.5
-9.28x + 6.84y + 9.25z <= 607.45
-7.35x + 1.2y + 9.03z <= 456.44
-2.48x + -9.03y + 6.69z <= 397.24
-4.62x + -3.52y + -9.12z <= 449.69
-3.07x + 8.36y + -0.69z <= 374.57
6.45x + -7.74y + 3.2z <= 622.44
3.53x + -6.26y + -0.02z <= 993.49
-6.17x + 1.77y + -0.89z <= 294.4
-4.22x + 1.77y + 1.94z <= 918.17
9.01x + 8.71y + -0.41z <= 253.71
2.69x + 4.26y + 2.66z <= 186.71
5.8x + -1.96y + 4.3z <= 192.82
9.7x + -0.06y + -9.0z <= 296.02
-6.92x + 6.61y + 6.75z <= 702.75
-3.04x + 3.44y + 4.88z <= 661.68
-8.81x + -0.83y + -7.36z <= 959.87
7.04x + -1.35y + -1.48z <= 699.99
-2.41x + 2.17y + 7.47z <= 647.51
5.8x + 6.2y + -7.25z <= 424.56
8.77x + 9.43y + -1.68z <= 226.38
-7.59x + 5.4y + 3.77z <= 795.2
5.02x + -2.51y + 5.89z <= 662.46
-3.07x + -3.54y + -4.5z <= 929.5
-9.34x + -9.92y + 7.96z <= 245.82
8.64x + -2.4y + -9.75z <= 351.25
5.06x + 3.83y + 3.38z <= 166.79
9.2x + 3.73y + 7.8z <= 571.88
9.92x + 2.44y + -5.47z <= 994.5
-8.8x + 4.39y + 2.08z <= 557.65
-5.7x + -1.58y + -3.01z <= 511.22
-7.78x + 8.93y + 8.94z <= 645.19
-9.61x + 2.05y + 1.56z <= 154.31
-5.75x + -1.21y + 9.55z <= 157.16
1.67x + 2.88y + -3.95z <= 552.48
4.5x + -6.86y + 8.44z <= 178.9
9.51x + 3.75y + 4.38z <= 284.87
-8.15x + 5.03y + -7.49z <= 980.32
9.14x + -5.84y + -6.88z <= 993.95
-4.45x + -3.76y + 7.27z <= 611.69
-8.74x + 9.17y + -2.35z <= 297.96
7.71x + -7.02y + -5.54z <= 359.68
-4.03x + -1.79y + 6.36z <= 425.06
6.05x + -7.05y + -5.64z <= 717.06
-2.27x + 0.8y + 6.27z <= 887.05
-3.03x + -3.42y + 2.45z <= 994.53
-1.66x + 2.34y + 6.14z <= 644.45
-5.71x + -0.99y + -0.54z <= 964.97
8.22x + 2.4y + -3.6z <= 321.98
3.42x + 5.41y + 9.64z <= 552.08
4.58x + -4.68y + -8.88z <= 269.34
-4.2x + -7.77y + -8.6z <= 827.64
6.22x + 2.11y + 7.45z <= 416.47
8.62x + 9.32y + 6.39z <= 536.75
5.88x + -7.39y + -0.93z <= 501.86
3.72x + -2.57y + -7.26z <= 555.2
-5.81x + -1.65y + -9.3z <= 156.71
-5.64x + -5.15y + 0.7z <= 780.96
-5.31x + 9.47y + -8.05z <= 838.82
6.27x + 4.79y + -4.95z <= 287.19
-4.78x + 2.58y + -4.62z <= 514.32
-1.74x + 8.58y + 3.19z <= 508.42
-0.37x + -6.09y + -8.98z <= 726.53
-8.92x + -7.36y + 7.55z <= 409.04
8.35x + -0.48y + 2.61z <= 841.2
-3.64x + 9.49y + -6.27z <= 748.79
3.98x + -1.45y + 9.55z <= 935.07
-2.03x + 9.22y + 0.76z <= 201.5
6.5x + -3.07y + -6.36z <= 484.0
-2.05x + -8.86y + -3.82z <= 405.67
4.27x + -6.09y + 7.08z <= 888.64
-6.23x + -5.24y + 9.52z <= 362.99
1.72x + -4.94y + 4.29z <= 827.73
6.42x + 8.31y + -9.84z <= 327.0
-2.54x + 2.09y + -1.02z <= 987.9
-8.1x + 6.01y + 5.09z <= 536.62
-5.34x + 6.78y + 4.78z <= 587.07
7.88x + -8.07y + -2.85z <= 614.46
-9.51x + -4.42y + -4.95z <= 817.23
7.47x + 8.36y + -5.64z <= 713.16
-1.3x + 3.18y + 9.87z <= 890.74
-5.03x + -7.29y + 0.53z <= 428.75
-8.56x + -0.67y + 5.64z <= 527.16
-1.64x + -5.14y + -7.34z <= 769.05
5.53x + 9.79y + -4.22z <= 983.15
7.79x + 6.32y + -3.88z <= 346.14
-8.52x + -5.93y + -2.13z <= 381.34
-1.56x + 8.11y + 2.9z <= 319.27
6.72x + 1.49y + -6.48z <= 201.43
1.77x + -2.82y + 8.44z <= 858.11
-5.33x + 4.79y + 5.39z <= 151.77
6.56x + 2.65y + 9.69z <= 279.94
-0.42x + 9.37y + 0.81z <= 986.47
4.54x + -9.77y + -7.6z <= 351.55
5.3x + -5.16y + 2.84z <= 398.08
6.41x + -7.27y + -8.88z <= 910.88
4.83x + 3.81y + -1.98z <= 427.93
1.14x + -9.4y + -8.75z <= 451.92
8.26x + 6.98y + 4.09z <= 939.28
-8.4x + -1.05y + -9.31z <= 672.34
4.5x + -5.13y + -9.71z <= 347.56
-2.64x + 7.83y + 8.77z <= 145.23
6.43x + -8.99y + -1.64z <= 368.58
-5.02x + -7.31y + -8.97z <= 785.97
5.09x + 1.73y + -0.35z <= 960.71
-2.31x + -2.0y + -0.06z <= 891.34
7.94x + -7.66y + 4.75z <= 900.89
5.5x + 6.49y + 5.81z <= 568.82
-1.9x + 0.92y + 7.63z <= 906.23
-7.55x + -8.57y + -2.1z <= 250.98
1.98x + -6.64y + 4.91z <= 760.58
-1.69x + 4.6y + -8.43z <= 787.46
5.29x + -2.37y + -6.88z <= 686.98
-9.72x + -6.5y + 4.55z <= 617.47
-7.14x + -6.1y + 9.49z <= 785.63
7.04x + 3.31y + 1.21z <= 650.02
-2.19x + 2.94y + -8.33z <= 139.24
0.37x + 1.92y + -9.21z <= 323.85
9.95x + -4.25y + 1.2z <= 950.77
5.69x + -4.66y + -5.92z <= 255.7
-5.15x + -4.12y + 2.53z <= 549.39
-9.09x + 5.75y + 3.44z <= 491.65
-5.49x + -1.07y + 4.26z <= 405.81
-5.06x + -4.85y + 7.42z <= 572.83
8.45x + 4.58y + -8.47z <= 767.55
-8.28x + -1.0y + 9.13z <= 322.5
-3.01x + -1.17y + 3.27z <= 586.37
-2.84x + -3.39y + 2.82z <= 770.43
5.94x + 0.6y + 6.5z <= 966.03
-8.63x + 7.94y + -4.66z <= 988.16
6.93x + 4.08y + 3.71z <= 551.72
1.65x + -7.61y + -3.27z <= 661.13
9.06x + 4.07y + 7.88z <= 878.65
-4.71x + 4.83y + -4.91z <= 224.34
6.13x + -3.39y + 0.28z <= 145.48
-0.38x + 1.05y + 6.85z <= 260.46
8.69x + 8.13y + 9.53z <= 877.17
3.19x + 8.87y + 1.43z <= 617.88
2.67x + 2.57y + 1.72z <= 385.95
0.09x + -8.25y + -9.79z <= 218.93
-4.99x + 2.93y + -6.71z <= 474.4
2.83x + -3.09y + 1.51z <= 536.33
2.37x + 1.46y + -5.53z <= 553.03
-1.19x + -4.65y + 9.73z <= 620.28
-8.44x + -1.22y + -4.46z <= 455.28
-2.05x + -1.41y + 3.3z <= 657.84
-9.75x + -3.76y + 7.35z <= 243.5
-2.5x + -5.37y + 7.31z <= 611.52
8.46x + -9.03y + 3.09z <= 547.82
8.37x + 3.12y + 9.41z <= 246.28
-9.51x + -3.51y + -5.8z <= 730.69
-1.89x + 8.31y + 3.76z <= 912.24
-5.25x + -5.23y + 9.48z <= 448.58
-2.76x + 9.16y + 8.09z <= 910.5
-0.51x + -2.91y + -0.82z <= 309.58
-7.1x + 2.97y + 6.66z <= 125.65
8.63x + 4.37y + 8.65z <= 275.37
8.62x + 2.35y + 9.52z <= 484.48
-2.66x + 2.89y + 8.86z <= 245.99
4.81x + 5.72y + 5.52z <= 483.48
-1.25x + -3.57y + -0.32z <= 984.92
4.18x + 6.88y + -3.67z <= 151.1
7.15x + 4.78y + 8.99z <= 422.38
3.66x + -2.51y + -7.96z <= 541.85
-7.09x + 4.85y + -1.99z <= 478.11
8.19x + 1.09y + 3.67z <= 198.03
9.19x + -2.78y + -5.53z <= 196.2
-1.3x + -1.47y + 2.09z <= 461.5
-5.31x + -8.34y + 9.35z <= 825.26
-8.31x + -6.86y + 7.38z <= 160.71
-0.74x + 0.25y + 1.85z <= 254.41
-7.69x + 1.03y + -3.29z <= 518.03
7.25x + -7.17y + -3.05z <= 890.6
-7.46x + -5.24y + 9.19z <= 721.94
9.88x + -6.04y + 6.63z <= 526.44
-4.55x + 3.58y + 5.38z <= 606.49
7.57x + -0.5y + -1.7z <= 605.02
4.05x + 3.83y + -4.68z <= 966.3
-5.14x + -1.06y + 3.84z <= 874.1
-7.19x + 6.27y + 1.66z <= 946.27
-7.03x + -5.8y + 5.48z <= 169.75
-1.59x + 5.2y + 6.94z <= 810.67
8.34x + 4.68y + 3.39z <= 624.04
-3.56x + 2.14y + 6.64z <= 578.72
9.51x + -0.15y + -6.67z <= 882.77
8.23x + -7.97y + -7.56z <= 400.58
-6.32x + -1.02y + 5.01z <= 394.66
-3.77x + 5.25y + 1.15z <= 453.49
-6.69x + 7.73y + -3.93z <= 775.92
4.62x + 4.85y + 8.71z <= 351.35
-9.31x + 1.89y + 6.0z <= 307.2
-1.86x + -2.61y + 9.21z <= 437.48
-8.87x + -6.02y + -0.3z <= 682.74
-2.86x + 6.55y + 0.03z <= 441.19
4.24x + 0.15y + -9.2z <= 872.67
3.59x + -4.93y + 0.08z <= 187.73
-5.8x + -9.66y + -0.73z <= 400.5
-1.61x + 3.0y + 6.97z <= 205.74
9.13x + 2.12y + 3.61z <= 508.35
-7.11x + -3.05y + 1.86z <= 905.5
-2.77x + 3.65y + -0.11z <= 487.91
-6.62x + 1.81y + 5.05z <= 735.06
0.33x + -1.41y + 9.8z <= 513.06
6.34x + -7.6y + -5.27z <= 163.42
-2.21x + 5.33y + 4.54z <= 154.23
1.97x + 3.27y + 1.21z <= 475.56
-0.62x + 6.67y + -4.87z <= 227.92
-2.75x + -4.85y + 7.23z <= 910.62
-8.85x + 3.07y + 5.06z <= 111.79
5.04x + 1.61y + 4.85z <= 868.51
-3.05x + -5.71y + 6.78z <= 918.77
2.81x + 6.14y + 6.43z <= 306.45
9.63x + -3.19y + 5.67z <= 581.99
-2.09x + -5.06y + 9.76z <= 835.29
-8.71x + 1.46y + 3.0z <= 886.31
-2.92x + -9.68y + 8.71z <= 826.58
4.49x + 4.06y + 8.1z <= 153.13
2.52x + -0.23y + 1.49z <= 782.6
-6.72x + -0.22y + -4.17z <= 721.34
-1.39x + -9.67y + 2.24z <= 516.22
-4.64x + -3.64y + 8.41z <= 866.78
3.14x + 5.0y + -6.04z <= 604.62
-4.06x + -3.05y + 1.62z <= 317.06
-0.5x + 9.35y + -8.5z <= 360.65
-2.41x + 1.72y + 2.33z <= 947.35
9.01x + 3.14y + 4.01z <= 916.39
6.37x + 3.76y + -2.7z <= 675.72
-2.99x + -8.72y + 0.8z <= 362.46
5.34x + 9.63y + -9.05z <= 462.72
-4.26x + 5.58y + -9.32z <= 646.14
-1.98x + 8.97y + -9.44z <= 180.12
3.64x + 0.33y + -4.35z <= 503.43
-2.62x + 9.0y + 3.78z <= 700.86
7.1x + 4.23y + -9.11z <= 436.22
-3.68x + 1.95y + -4.45z <= 828.9
-1.83x + 8.99y + 5.14z <= 102.5
-4.93x + -2.76y + -4.41z <= 295.49
-2.76x + -4.17y + 2.28z <= 540.82
-0.24x + -5.33y + -7.52z <= 812.25
4.27x + -8.89y + -2.85z <= 792.39
-1.01x + -6.53y + -9.16z <= 659.27
5.5x + -8.31y + -9.85z <= 559.56
0.85x + 8.39y + -5.2z <= 972.54
7.95x + -0.81y + 7.66z <= 268.11
-4.15x + 2.41y + 0.62z <= 390.76
2.13x + -7.09y + -6.32z <= 915.2
6.15x + 4.08y + 6.82z <= 489.97
0.22x + 8.84y + -4.67z <= 855.42
4.23x + 7.54y + -7.5z <= 263.75
7.88x + 9.96y + 5.7z <= 332.57
-4.39x + 3.08y + 3.64z <= 223.68
-3.2x + -6.13y + -5.4z <= 975.33
6.13x + -0.82y + -5.14z <= 271.21
-0.38x + 8.63y + -6.15z <= 406.9
0.52x + 0.18y + -6.34z <= 655.38
9.59x + -8.88y + 4.22z <= 306.51
-5.07x + -9.64y + -3.72z <= 776.84
6.69x + -0.89y + -3.03z <= 729.38
7.2x + 8.66y + -9.82z <= 863.91
-3.47x + -6.22y + 2.82z <= 215.86
-8.16x + 0.84y + 5.13z <= 506.7
1.37x + 7.95y + -1.74z <= 963.85
-6.82x + 1.63y + -3.17z <= 743.11
-2.04x + 6.41y + -6.98z <= 923.8
7.4x + -8.65y + -8.35z <= 943.77
-5.63x + -2.84y + -1.06z <= 180.89
-3.8x + -9.07y + 5.19z <= 612.84
-7.54x + -9.64y + 8.96z <= 769.22
-2.58x + -2.54y + 7.49z <= 986.21
-2.19x + 2.33y + 7.35z <= 730.91
-5.86x + -5.57y + 4.42z <= 612.1
4.34x + -8.84y + 6.73z <= 208.1
-4.96x + 4.94y + -3.08z <= 148.56
3.85x + 0.45y + 2.48z <= 761.97
3.28x + 7.72y + 4.68z <= 717.97
-5.1x + 2.42y + -6.13z <= 699.07
-8.74x + 7.97y + 6.63z <= 557.23
2.88x + -9.7y + 3.44z <= 723.91
-5.41x + -1.67y + 1.46z <= 133.29
7.21x + -2.1y + -8.46z <= 293.0
2.27x + 8.17y + -8.6z <= 456.91
9.72x + -2.44y + 6.79z <= 464.8
8.04x + 4.25y + -5.39z <= 736.89
-9.73x + 1.76y + -3.65z <= 163.27
-0.15x + -0.6y + -3.5z <= 836.13
4.04x + -3.65y + -0.44z <= 497.83
4.84x + -6.09y + 5.06z <= 188.07
1.08x + 1.61y + -6.78z <= 648.96
6.48x + -9.01y + 7.16z <= 921.16
4.06x + -5.82y + 7.5z <= 238.0
-8.68x + 7.5y + 2.44z <= 819.1
9.93x + 4.57y + -0.5z <= 865.4
4.53x + 7.75y + -4.83z <= 915.19
-2.33x + -4.33y + -3.97z <= 240.26
6.6x + -2.16y + 8.68z <= 917.46
1.98x + -9.74y + 3.42z <= 947.68
-3.38x + 2.11y + 9.58z <= 165.11
-0.23x + 8.26y + -9.89z <= 403.62
-8.4x + 1.09y + 5.56z <= 579.34
-0.74x + -9.82y + -7.73z <= 514.41
-2.64x + -1.01y + 1.32z <= 593.1
5.64x + -3.57y + 7.3z <= 580.01
7.39x + 1.19y + 0.94z <= 625.84
-2.77x + 9.4y + -5.7z <= 512.75
4.04x + -4.76y + -4.25z <= 458.33
7.18x + -3.0y + -4.28z <= 873.08
9.95x + 8.72y + 5.78z <= 621.97
-6.55x + 7.94y + -6.02z <= 499.4
7.1x + -7.26y + 0.08z <= 317.83
5.0x + 0.94y + 6.4z <= 353.72
1.88x + -6.0y + 1.91z <= 882.04
6.01x + -3.49y + 0.76z <= 514.48
1.05x + -0.89y + 5.03z <= 974.41
-0.29x + 0.54y + -2.71z <= 984.55
-3.84x + -4.93y + 3.43z <= 454.07
-0.62x + -4.76y + -4.94z <= 787.93
9.21x + 8.16y + -9.35z <= 116.8
-5.58x + 8.01y + -2.36z <= 549.97
0.59x + -4.37y + 1.24z <= 756.36
-6.69x + 2.4y + 2.68z <= 693.79
-1.42x + 8.06y + 9.79z <= 677.37
-9.33x + 2.48y + -7.72z <= 132.04
-2.28x + 4.84y + 3.1z <= 736.29
-7.98x + 4.72y + -2.03z <= 318.99
-0.64x + 0.29y + 4.12z <= 312.88
-7.06x + 5.08y + 3.76z <= 994.1
-1.68x + 4.04y + -8.56z <= 108.57
-4.9x + 3.54y + 3.21z <= 453.44
7.34x + 2.11y + -8.5z <= 419.44
-5.18x + 4.37y + 5.16z <= 644.92
-5.9x + 6.17y + -0.38z <= 944.31
-3.98x + 6.38y + 1.17z <= 314.65
-8.18x + -4.5y + -5.34z <= 115.64
-4.83x + -6.49y + 2.55z <= 966.38
3.86x + -8.16y + 2.88z <= 721.89
-9.76x + 6.68y + 1.08z <= 162.61
5.92x + -2.79y + -4.15z <= 599.65
-2.53x + -9.96y + 9.95z <= 497.58
6.52x + -4.56y + 0.96z <= 923.2
4.55x + 1.78y + -5.69z <= 107.64
1.67x + -5.42y + -8.47z <= 247.18
5.74x + -4.55y + -2.31z <= 237.88
-0.17x + -5.97y + 7.63z <= 617.02
2.11x + -9.54y + -1.51z <= 621.36
7.73x + 6.67y + 9.11z <= 291.82
-5.3x + -4.14y + -9.78z <= 223.23
-3.13x + 5.43y + -3.02z <= 980.92
2.55x + 5.81y + -2.01z <= 559.48
-0.74x + 1.17y + -9.99z <= 385.91
-8.4x + -8.91y + 0.98z <= 138.08
3.36x + -8.72y + -3.58z <= 466.79
-3.94x + 6.63y + 5.01z <= 335.31
-6.03x + 9.28y + -4.44z <= 507.71
-5.92x + -2.96y + -5.6z <= 865.28
-2.13x + -7.82y + 2.04z <= 606.22
8.26x + -5.62y + 6.88z <= 734.33
3.15x + -3.35y + 5.95z <= 419.95
-5.55x + -2.26y + 9.87z <= 644.64
-0.95x + -8.71y + -3.94z <= 881.94
-6.06x + -9.97y + 4.94z <= 530.87
-6.78x + 7.23y + 4.88z <= 874.78
4.21x + -7.39y + -7.94z <= 383.62
2.95x + 8.42y + -6.84z <= 392.49
-7.52x + -5.94y + -9.31z <= 890.16
-0.7x + 6.98y + -7.86z <= 950.63
9.52x + -6.06y + -5.46z <= 496.78
0.74x + -0.56y + 2.47z <= 144.06
-0.94x + 1.96y + 7.07z <= 952.67
3.42x + 0.57y + 9.16z <= 931.15
-9.76x + -4.8y + -1.37z <= 519.47
6.2x + -1.49y + 5.12z <= 402.02
-3.42x + 6.87y + 7.45z <= 550.86
-5.5x + 9.95y + 8.74z <= 822.86
-4.42x + 0.25y + -8.13z <= 730.83
1.48x + -0.61y + 1.72z <= 993.71
-1.35x + 1.98y + -8.81z <= 804.63
-1.94x + -9.2y + -0.75z <= 711.77
4.69x + 3.01y + 1.44z <= 137.57
-0.45x + 5.33y + -8.8z <= 368.18
-4.13x + -3.15y + 4.01z <= 472.67
-1.81x + -4.92y + -7.28z <= 250.54
-0.52x + -2.46y + 9.09z <= 940.44
-9.06x + -1.45y + -5.62z <= 153.49
0.27x + 3.99y + 4.82z <= 165.38
-8.43x + -3.32y + 8.89z <= 376.52
5.29x + 6.84y + -9.13z <= 646.44
3.24x + -7.55y + 2.4z <= 618.05
-3.87x + 1.37y + 3.83z <= 312.52
1.55x + -0.86y + 2.0z <= 830.02
8.08x + 1.31y + -2.94z <= 980.81
-6.35x + -6.84y + 3.51z <= 481.41
-8.9x + 7.02y + -5.17z <= 930.9
-3.67x + -5.38y + 4.21z <= 168.12
3.51x + 2.76y + 9.01z <= 510.82
9.35x + -2.25y + -2.74z <= 940.63
-3.21x + 9.54y + -0.72z <= 103.26
-7.03x + -5.62y + 5.4z <= 649.53
-6.63x + -7.28y + 9.51z <= 106.12
-6.2x + 4.16y + -7.65z <= 838.08
7.6x + -1.26y + -8.56z <= 908.73
1.18x + -4.92y + 2.39z <= 982.62
2.86x + -8.16y + 6.71z <= 475.01
9.14x + 0.39y + -2.57z <= 378.68
-0.47x + -4.43y + 6.05z <= 586.98
4.96x + 4.27y + -6.22z <= 120.94
1.96x + 4.34y + -2.96z <= 593.27
4.2x + 5.51y + 9.21z <= 667.05
-6.14x + 5.09y + -5.01z <= 234.4
-8.5x + 2.16y + 5.43z <= 547.45
-8.07x + -7.19y + 3.18z <= 163.35
7.64x + -2.0y + -4.42z <= 123.38
-7.38x + 2.12y + 2.97z <= 494.1
-5.29x + 9.87y + 5.67z <= 251.65
-8.23x + 0.04y + -4.71z <= 399.23
-3.05x + 9.18y + 5.9z <= 878.32
-4.48x + -9.55y + -7.01z <= 390.59
-4.78x + -5.34y + -0.82z <= 739.72
5.13x + -6.39y + -0.41z <= 783.83
0.88x + 8.42y + -9.46z <= 608.63
8.99x + 1.06y + 5.51z <= 536.79
-3.87x + 0.87y + -7.31z <= 233.64
-8.16x + -5.05y + 8.52z <= 117.24
7.46x + 1.45y + 6.21z <= 501.83
5.91x + -2.08y + 1.66z <= 245.43
-7.39x + -4.41y + 3.95z <= 294.48
-5.91x + 0.82y + 2.98z <= 246.06
-0.65x + 0.83y + -1.84z <= 850.06
-2.16x + 1.53y + -8.74z <= 794.52
-7.0x + -4.0y + 4.4z <= 400.25
-4.1x + -9.18y + -0.15z <= 684.57
8.84x + 6.01y + -0.64z <= 800.27
3.72x + -2.18y + 6.6z <= 876.58
9.45x + -7.55y + 9.54z <= 722.05
8.91x + -6.49y + 5.23z <= 660.94
-3.15x + -4.85y + 6.61z <= 397.62
0.68x + -3.86y + 2.31z <= 190.04
-7.08x + 9.64y + -2.0z <= 511.3
-5.28x + -9.26y + 7.79z <= 332.09
9.71x + 8.59y + 4.87z <= 700.42
-3.14x + 6.37y + 4.63z <= 333.17
-3.86x + -8.24y + -5.19z <= 508.56
-2.93x + 8.23y + -5.12z <= 184.59
-9.35x + -6.52y + 3.86z <= 872.26
-9.37x + -1.01y + 2.71z <= 958.47
-8.71x + -1.72y + 4.22z <= 277.09
7.43x + 0.91y + -9.94z <= 333.88
8.55x + 9.28y + -5.87z <= 149.72
-7.39x + 8.46y + 5.66z <= 575.66
2.57x + 8.38y + -3.48z <= 228.29
4.96x + -9.17y + -5.54z <= 288.62
5.45x + 7.07y + 8.3z <= 463.07
-3.31x + 1.12y + 8.47z <= 413.17
0.22x + 5.16y + 6.79z <= 452.7
-4.76x + 8.03y + -8.25z <= 202.84
-5.71x + 2.04y + 3.14z <= 239.21
-3.52x + 1.6y + 6.29z <= 625.38
-7.5x + 0.3y + -3.91z <= 264.94
8.49x + 5.61y + -0.07z <= 521.47
-8.21x + -3.59y + 5.29z <= 925.52
-0.72x + -3.62y + 9.66z <= 467.99
4.32x + 7.78y + 2.94z <= 143.79
3.27x + 7.01y + -3.49z <= 678.35
2.3x + -1.53y + -4.37z <= 872.68
-4.35x + 6.7y + 3.39z <= 588.65
9.45x + -6.73y + -3.7z <= 551.83
-8.43x + 5.49y + -8.39z <= 543.5
-0.17x + -6.45y + 2.02z <= 298.33
-2.62x + 2.98y + 7.07z <= 954.96
-6.13x + 7.42y + -7.12z <= 791.59
0.38x + 6.11y + -0.92z <= 672.48
0.05x + -5.31y + 2.8z <= 398.87
5.68x + -0.06y + 9.82z <= 398.56
-2.22x + 7.17y + 3.72z <= 937.67
8.27x + 1.8y + -4.79z <= 634.24
-1.18x + 8.13y + -4.2z <= 374.04
7.71x + -1.75y + -8.33z <= 422.94
9.31x + 0.31y + -7.32z <= 460.25
0.94x + 8.72y + -2.73z <= 638.86
2.54x + 0.34y + 4.09z <= 698.54
-9.33x + -4.4y + 5.05z <= 615.2
-5.78x + -7.35y + -2.01z <= 416.31
-9.08x + 0.2y + -2.77z <= 957.88
-7.4x + 4.25y + -6.21z <= 177.19
-4.08x + 9.72y + -4.29z <= 951.32
9.6x + 6.39y + -3.59z <= 850.33
8.72x + -4.91y + -3.25z <= 302.61
-1.96x + 5.17y + 1.47z <= 215.33
-3.57x + -1.89y + -9.61z <= 150.63
-8.46x + -8.84y + -2.74z <= 366.4
6.67x + 5.88y + 7.83z <= 142.55
1.34x + -4.72y + -9.57z <= 429.54
1.75x + 8.48y + 1.12z <= 536.26
4.32x + -6.29y + 8.45z <= 513.5
3.27x + -9.48y + 0.23z <= 781.18
-1.42x + -7.82y + 3.28z <= 136.46
4.57x + 5.75y + 1.01z <= 758.77
-2.5x + 4.04y + -9.62z <= 390.42
-0.04x + 9.31y + -0.9z <= 503.94
8.95x + 6.03y + 3.63z <= 381.34
2.59x + 5.78y + -0.86z <= 885.06
4.58x + -2.01y + 8.38z <= 300.39
4.88x + -7.08y + 2.98z <= 750.35
-4.43x + 2.89y + -8.55z <= 361.8
-5.19x + -6.88y + -8.68z <= 203.18
6.88x + -2.72y + 0.29z <= 358.48
-3.99x + -9.48y + -8.91z <= 520.52
-1.95x + 5.0y + -5.73z <= 699.16
9.6x + 8.36y + 5.5z <= 516.93
2.27x + 2.48y + 3.78z <= 280.35
-0.18x + 1.66y + 2.77z <= 669.73
4.74x + -6.83y + -0.34z <= 996.25
-0.35x + -8.64y + -8.49z <= 179.0
3.66x + 9.58y + -0.72z <= 129.4
-6.46x + -2.02y + -7.13z <= 941.51
-3.02x + -8.41y + 7.22z <= 618.66
9.07x + 7.06y + -9.33z <= 256.86
1.41x + -4.74y + 6.48z <= 980.6
-3.23x + 1.19y + 7.6z <= 775.35
-9.21x + -2.69y + -8.21z <= 439.63
-4.78x + 0.45y + -4.97z <= 104.77
-5.5x + -4.55y + -3.71z <= 214.74
9.9x + 5.65y + -6.75z <= 759.29
-9.06x + -3.05y + -4.6z <= 968.36
4.47x + -4.54y + 1.88z <= 913.62
0.02x + -9.07y + 7.89z <= 158.27
2.33x + -8.43y + 1.62z <= 904.25
2.84x + 6.12y + 6.54z <= 278.33
8.91x + 2.61y + 9.71z <= 537.34
7.48x + 3.81y + -4.24z <= 370.18
-7.94x + 8.56y + -4.53z <= 342.52
-1.01x + 3.1y + -2.73z <= 738.18
-4.11x + -0.08y + 7.3z <= 228.12
-1.34x + 3.52y + 8.99z <= 833.51
-6.43x + 2.53y + -4.55z <= 933.28
-0.9x + -1.66y + 8.35z <= 969.55
9.86x + -3.19y + -8.67z <= 980.81
4.13x + -7.88y + -7.72z <= 403.48
8.06x + 3.59y + -1.58z <= 925.32
6.42x + 6.66y + 2.18z <= 583.7
-1.8x + 8.89y + -8.5z <= 216.57
-2.92x + -8.87y + 9.03z <= 182.07
-5.99x + -8.31y + 2.32z <= 414.47
-4.59x + 4.56y + 9.4z <= 753.53
-1.21x + -1.37y + -1.71z <= 326.56
-3.8x + -2.97y + 9.25z <= 756.65
-9.11x + 0.69y + -9.21z <= 673.23
8.89x + 8.55y + -1.94z <= 388.54
0.94x + -3.35y + 7.68z <= 671.83
7.78x + -8.55y + 5.25z <= 193.95
-0.72x + -9.16y + -4.69z <= 836.73
7.42x + -2.25y + -1.1z <= 806.54
-9.27x + 10.0y + 9.1z <= 613.27
-2.31x + 1.33y + -8.56z <= 903.25
-2.94x + -9.95y + 3.11z <= 795.39
3.03x + 5.97y + -1.61z <= 814.09
-5.89x + 0.23y + -2.06z <= 835.8
-5.36x + -6.95y + 7.91z <= 388.32
4.23x + -7.44y + -4.47z <= 738.04
7.89x + 1.95y + 7.57z <= 532.3
-3.78x + 0.51y + -6.63z <= 899.22
2.04x + 6.04y + 6.07z <= 943.42
6.03x + -9.96y + 5.22z <= 949.57
2.92x + 7.57y + 1.25z <= 865.89
4.43x + -2.47y + 0.73z <= 128.78
6.16x + 8.34y + 8.59z <= 669.41
-6.1x + 7.86y + -2.66z <= 332.45
2.44x + -0.29y + 7.99z <= 535.33
-7.07x + -0.24y + 8.15z <= 281.14
6.22x + -4.55y + 6.03z <= 786.24
1.63x + -1.92y + -2.95z <= 217.85
