max 7.81x + -1.37y + 3.03z
-3.21x + -7.96y + 2.38z <= 384.89
-7.45x + -6.23y + -8.28z <= 139.8
5.24x + 9.57y + -9.79z <= 708.25
0.95x + 5.32y + 8.75z <= 459.36
1.61x + -1.7y + -9.61z <= 648.22
4.48x + -7.54y + -1.78z <= 856.21
3.94x + 9.21y + -9.68z <= 539.78
5.52x + 8.38y + 0.46z <= 867.85
2.96x + -9.07y + -0.8z <= 993.43
-8.31x + 5.14y + 5.1z <= 622.01
-0.3x + -8.33y + 0.38z <= 412.26
2.48x + 9.35y + -0.9z <= 427.94
7.58x + -8.6y + -3.67z <= 468.35
7.95x + 5.03y + 3.22z <= 304.25
-1.44x + -8.42y + -3.24z <= 694.55
-2.29x + -9.13y + 1.33z <= 446.11
2.1x + -8.4y + 2.7z <= 199.91
-6.09x + -7.32y + -9.05z <= 617.31
-3.61x + -8.64y + 8.71z <= 383.18
8.09x + 3.16y + -2.08z <= 538.18
4.43x + -7.75y + 7.49z <= 131.47
-1.64x + 4.93y + 6.2z <= 590.42
-1.46x + -6.94y + 3.83z <= 762.39
9.82x + 4.18y + -8.89z <= 942.63
-8.57x + -9.03y + 5.75z <= 656.03
-7.08x + -7.43y + -4.23z <= 924.65
1.68x + -4.23y + -9.38z <= 769.58
-3.25x + 1.54y + -6.92z <= 701.58
0.16x + 4.02y + -5.29z <= 293.0
6.52x + 5.96y + -2.74z <= 103.93
3.11x + 9.94y + -5.2z <= 863.24
-3.22x + -1.24y + 7.48z <= 956.98
6.97x + 2.49y + -8.55z <= 762.8
9.07x + 8.4y + 5.4z <= 995.34
-3.71x + 8.03y + -0.34z <= 384.12
-4.88x + -7.37y + 2.15z <= 783.21
1.75x + -2.81y + 4.93z <= 266.74
-1.22x + -3.47y + 0.23z <= 270.17
-2.39x + -7.26y + -2.18z <= 645.69
9.67x + 4.1y + -8.78z <= 716.0
-9.93x + -1.93y + -7.96z <= 916.03
9.76x + 9.63y + -9.89z <= 644.03
-0.82x + -6.41y + -0.45z <= 842.01
-4.83x + 2.68y + 9.47z <= 156.94
8.61x + 4.08y + 1.65z <= 145.44
-5.22x + 9.53y + 0.39z <= 785.22
-7.73x + 2.62y + -1.87z <= 630.36
-8.89x + 1.35y + -3.9z <= 351.78
0.77x + 6.48y + -5.06z <= 681.37
5.52x + -5.4y + -9.53z <= 648.63
3.79x + -5.47y + -8.01z <= 539.49
9.46x + 1.24y + -1.35z <= 486.33
-4.4x + 0.82y + 2.6z <= 447.3
1.93x + -0.22y + -8.68z <= 192.47
7.94x + -7.6y + -3.82z <= 803.03
4.05x + 3.75y + 4.67z <= 120.49
9.85x + 1.7y + 8.99z <= 252.86
3.43x + 0.15y + 1.44z <= 683.27
0.83x + -2.61y + 3.56z <= 601.7
7.39x + 8.96y + -2.02z <= 881.36
-2.7x + 8.1y + 9.59z <= 989.38
4.69x + -0.77y + 2.31z <= 212.09
8.9x + 9.25y + 9.56z <= 623.05
4.48x + -3.38y + -1.34z <= 753.25
3.25x + -6.81y + 1.41z <= 859.9
9.41x + 0.6y + -8.41z <= 648.97
-0.99x + 0.78y + -0.58z <= 982.55
-1.71x + -8.46y + 6.31z <= 403.33
9.19x + 4.32y + -3.75z <= 119.18
0.14x + -3.19y + 3.8z <= 433.4
8.46x + -3.71y + 1.07z <= 225.38
9.21x + 1.33y + -0.51z <= 765.47
-3.0x + -9.68y + -9.44z <= 557.92
-9.02x + 0.7y + -4.87z <= 936.65
8.78x + 8.79y + -2.55z <= 524.04
7.94x + 7.83y + -7.02z <= 411.32
-9.85x + 2.05y + -7.51z <= 957.74
-8.3x + 7.46y + 6.73z <= 925.68
1.44x + 9.5y + 9.2z <= 706.32
3.57x + -5.36y + -3.66z <= 194.65
9.97x + -2.49y + -8.32z <= 693.74
-0.17x + -4.28y + -8.8z <= 309.64
-6.99x + -8.01y + -4.35z <= 910.48
3.15x + -5.47y + 4.07z <= 271.5
4.42x + 5.09y + 3.53z <= 396.99
-1.15x + 2.08y + -5.03z <= 273.16
-3.89x + 1.66y + 5.46z <= 607.32
-8.73x + 9.44y + 2.16z <= 397.87
9.94x + 7.28y + -0.39z <= 571.86
9.71x + 0.6y + 7.57z <= 797.41
7.59x + -9.32y + -2.93z <= 422.78
5.31x + 8.08y + 0.61z <= 806.3
5.02x + -4.16y + 2.04z <= 225.09
-8.91x + 2.61y + -2.73z <= 423.79
-9.07x + -8.38y + -9.13z <= 493.25
-7.74x + 4.69y + 8.6z <= 682.94
-7.76x + 5.66y + -5.88z <= 739.79
-1.43x + 4.45y + -2.03z <= 172.87
7.48x + -3.12y + 5.23z <= 851.7
1.97x + 2.65y + -1.44z <= 514.04
2.13x + -1.17y + -9.2z <= 698.2
-4.85x + 6.28y + 4.25z <= 897.2
7.05x + 0.59y + 4.87z <= 664.97
1.69x + -9.29y + -5.15z <= 160.73
7.66x + 7.11y + 0.42z <= 614.65
9.31x + -0.75y + 0.55z <= 145.85
-3.42x + -6.74y + -5.07z <= 612.76
-7.87x + 8.94y + -4.53z <= 534.7
-2.53x + 2.29y + 3.24z <= 355.88
2.63x + -5.74y + 8.5z <= 477.87
0.44x + -2.52y + 6.02z <= 588.14
7.56x + 1.37y + 6.61z <= 156.69
-3.38x + -1.22y + -5.24z <= 554.21
-0.12x + 0.5y + -7.67z <= 231.07
5.5x + 9.88y + -7.67z <= 548.97
-7.0x + -3.79y + 3.75z <= 576.87
-8.52x + 5.39y + -1.22z <= 438.05
-1.78x + -0.81y + 8.19z <= 606.37
-6.88x + -9.67y + 4.94z <= 269.3
-3.16x + -7.36y + -5.56z <= 479.42
-8.57x + -9.93y + -1.92z <= 656.07
-1.0x + -2.33y + 8.28z <= 638.2
4.6x + -2.01y + 4.38z <= 673.54
-0.8x + -9.0y + -8.7z <= 312.3
0.46x + 4.86y + 7.9z <= 909.5
-7.93x + 9.55y + 0.49z <= 602.23
-0.28x + -1.11y + 4.15z <= 113.39
2.61x + 2.12y + 8.5z <= 295.83
-2.79x + -1.45y + 4.82z <= 938.95
-0.81x + 5.99y + 3.42z <= 513.48
8.34x + -6.25y + 6.07z <= 866.54
-7.79x + -9.07y + 8.69z <= 895.94
-1.26x + -9.35y + 1.33z <= 758.11
-4.03x + 4.29y + -4.26z <= 801.72
-4.82x + 0.98y + 2.23z <= 452.15
4.41x + -5.35y + -7.86z <= 374.72
8.35x + 8.19y + 4.67z <= 994.9
-6.48x + 1.99y + 9.39z <= 723.98
-7.14x + 4.61y + -7.38z <= 822.05
-9.04x + 2.68y + -3.66z <= 133.03
-7.66x + 9.3y + -8.84z <= 638.79
-0.36x + -6.99y + -9.15z <= 321.78
-8.91x + 9.36y + -5.66z <= 691.26
-0.04x + 6.51y + 8.85z <= 281.37
7.51x + -4.01y + -9.24z <= 514.09
-9.66x + 7.31y + -3.5z <= 807.43
-1.09x + 3.16y + -5.55z <= 104.25
-5.55x + -3.87y + 6.56z <= 459.38
-2.37x + -5.27y + -9.9z <= 573.25
-8.57x + 4.29y + 5.48z <= 346.32
6.65x + 5.14y + 7.44z <= 777.27
1.69x + 9.76y + 1.9z <= 761.08
9.07x + -1.17y + -1.58z <= 280.93
6.46x + -4.57y + 4.11z <= 173.82
4.39x + 0.53y + 6.04z <= 240.3
8.36x + -3.39y + -7.82z <= 736.22
8.8x + -7.27y + 0.62z <= 714.63
-9.96x + -8.36y + 8.92z <= 872.83
-2.08x + -9.32y + -2.6z <= 451.69
2.75x + 4.02y + -3.89z <= 540.18
7.47x + -6.46y + 5.58z <= 707.21
-2.73x + -6.25y + -4.04z <= 528.38
-5.09x + -4.29y + -7.69z <= 191.26
7.07x + -1.28y + 9.71z <= 102.32
3.52x + 8.7y + 4.4z <= 629.64
8.72x + -9.15y + 7.46z <= 993.61
-2.03x + -3.44y + -3.7z <= 983.5
7.11x + 4.41y + 5.33z <= 272.8
7.99x + -5.44y + -7.15z <= 218.84
5.41x + -9.75y + -5.55z <= 434.28
-3.33x + -0.45y + 6.67z <= 582.12
6.73x + 2.68y + 3.85z <= 862.34
-1.02x + 0.53y + -2.63z <= 923.2
7.39x + -2.82y + 5.97z <= 128.52
-4.49x + 6.54y + 9.38z <= 420.06
8.23x + -1.48y + -8.08z <= 825.32
-6.9x + -3.21y + 0.53z <= 767.08
3.93x + -4.81y + -8.73z <= 245.18
-4.94x + -6.96y + 0.24z <= 851.96
-3.49x + -5.15y + -6.1z <= 447.91
6.65x + 4.24y + 0.95z <= 924.8
3.8x + -4.73y + 5.33z <= 504.09
9.39x + -2.53y + -9.17z <= 645.49
-8.25x + 6.33y + -8.46z <= 434.12
-9.59x + -7.06y + -5.19z <= 661.84
8.13x + 2.29y + -1.49z <= 900.49
0.42x + 9.41y + 9.32z <= 107.33
4.37x + 6.8y + 1.28z <= 839.47
-0.75x + -6.18y + -0.97z <= 106.45
-7.17x + 2.99y + 2.14z <= 103.55
9.22x + -3.7y + 3.6z <= 692.7
-4.64x + 0.98y + -6.15z <= 235.42
3.11x + 6.11y + 2.76z <= 669.41
-9.08x + -0.23y + 5.51z <= 663.87
4.7x + -5.5y + -5.8z <= 292.45
0.77x + -4.91y + 5.01z <= 984.93
9.13x + -2.46y + 3.78z <= 380.16
5.48x + -5.89y + -7.08z <= 814.56
-7.27x + 6.38y + -7.56z <= 973.48
0.67x + -1.29y + 3.16z <= 415.04
7.9x + 2.87y + -3.85z <= 926.18
-1.71x + 0.01y + 4.75z <= 925.26
3.59x + 1.01y + 7.07z <= 147.4
6.73x + 0.86y + -6.52z <= 780.9
-6.33x + 9.23y + 6.97z <= 945.63
-5.49x + 6.96y + -7.16z <= 495.98
0.52x + -9.09y + -6.51z <= 529.52
-2.84x + -5.95y + -7.98z <= 439.37
4.39x + 0.13y + -9.87z <= 313.7
9.2x + -9.55y + 2.71z <= 421.37
3.24x + 3.08y + -3.74z <= 816.42
8.68x + 3.21y + -2.24z <= 906.23
-5.61x + 2.97y + 3.24z <= 630.33
8.08x + -6.0y + 6.79z <= 106.83
1.56x + -2.93y + 1.05z <= 763.52
-3.63x + 1.05y + -9.11z <= 860.98
2.91x + -8.39y + 0.57z <= 526.82
-1.36x + 9.83y + -2.1z <= 269.01
-6.11x + 6.74y + 9.21z <= 348.57
6.88x + -7.99y + -5.32z <= 200.29
1.82x + -9.64y + 5.97z <= 448.75
-2.3x + -8.6y + -9.44z <= 393.78
-1.3x + -6.54y + -2.95z <= 142.66
2.06x + -9.48y + 2.19z <= 187.27
-4.84x + 1.3y + 9.71z <= 562.27
1.86x + 9.57y + -1.22z <= 904.61
-8.72x + 8.92y + 5.52z <= 443.44
6.74x + 4.11y + -8.26z <= 709.84
6.43x + 4.69y + 4.97z <= 192.27
3.8x + 2.44y + 5.74z <= 818.84
8.08x + 5.3y + -8.88z <= 762.92
0.09x + -2.49y + 8.2z <= 306.68
-6.32x + 3.13y + 7.93z <= 603.0
3.68x + -6.65y + 0.14z <= 923.35
6.71x + 8.11y + 4.41z <= 912.44
-9.27x + 9.51y + -2.25z <= 478.34
7.87x + 4.31y + -1.35z <= 565.04
-0.94x + -4.47y + -3.05z <= 914.84
2.59x + 5.25y + -3.89z <= 233.61
1.59x + -5.38y + 0.93z <= 227.45
5.77x + 9.44y + -4.85z <= 342.56
9.62x + -2.03y + -8.78z <= 302.02
8.09x + -1.16y + -5.07z <= 714.94
-9.79x + 0.1y + 9.43z <= 406.79
5.44x + -0.19y + -8.33z <= 767.3
-7.7x + 9.9y + 8.32z <= 599.03
6.99x + 0.4y + 0.65z <= 279.2
4.71x + -0.22y + 6.18z <= 804.34
-5.73x + 6.41y + -3.18z <= 271.76
-0.49x + -3.21y + -5.57z <= 356.6
5.89x + 4.08y + -3.69z <= 468.21
5.19x + -2.79y + -9.88z <= 218.84
-9.6x + 0.32y + 1.63z <= 213.54
-5.09x + 1.58y + -5.04z <= 657.21
3.82x + 2.25y + -9.83z <= 371.55
-1.63x + 2.0y + 8.71z <= 757.01
-8.58x + -3.76y + -3.97z <= 577.48
4.55x + -0.11y + 8.34z <= 291.58
1.52x + -9.99y + -9.02z <= 133.4
-9.17x + 7.68y + 1.42z <= 182.08
2.4x + -9.4y + -6.66z <= 506.49
7.11x + -1.01y + -2.39z <= 938.69
2.09x + -1.1y + 3.84z <= 215.48
-3.15x + 2.34y + 8.79z <= 308.44
-8.59x + 4.15y + -3.09z <= 799.81
-5.88x + 2.05y + 9.62z <= 641.78
2.9x + -6.79y + -7.14z <= 530.89
-6.97x + -9.94y + -5.98z <= 314.44
9.05x + -5.59y + -8.29z <= 955.54
5.83x + 2.89y + 1.65z <= 360.99
-8.75x + -1.82y + -3.2z <= 534.63
-3.75x + -9.52y + 2.74z <= 572.59
-1.64x + 8.7y + 8.69z <= 493.71
-5.54x + 8.01y + 3.54z <= 720.05
-7.17x + 0.83y + 5.22z <= 779.96
9.81x + -1.35y + 5.45z <= 903.97
-9.53x + 2.79y + -7.69z <= 193.98
-7.82x + 8.78y + 8.58z <= 301.06
3.49x + -6.88y + -0.09z <= 200.13
7.21x + -3.41y + 5.17z <= 371.75
3.93x + -5.05y + 1.27z <= 216.85
5.29x + -9.72y + -8.29z <= 610.12
-9.37x + -0.27y + -2.23z <= 848.99
1.38x + 4.74y + 2.43z <= 454.96
3.66x + 7.24y + 3.39z <= 249.68
-4.24x + 7.78y + 6.42z <= 498.67
-9.57x + 6.96y + -2.76z <= 794.03
2.31x + -3.79y + 0.86z <= 762.06
1.22x + -9.7y + 8.49z <= 210.42
-9.11x + -3.58y + -7.27z <= 340.4
1.18x + 5.31y + 0.59z <= 452.75
0.06x + 8.2y + -0.17z <= 442.76
-4.05x + -5.47y + 0.63z <= 304.84
-5.09x + -3.58y + -1.45z <= 164.12
2.74x + -2.43y + 0.24z <= 374.56
-3.31x + 0.77y + -7.66z <= 105.94
5.43x + 3.4y + -5.38z <= 771.26
-0.04x + 2.42y + -4.76z <= 795.06
-6.58x + 6.34y + 2.61z <= 625.85
-7.99x + -9.86y + 8.17z <= 559.09
-9.12x + -4.32y + -9.12z <= 530.41
3.61x + 9.43y + 7.31z <= 910.78
-8.86x + -7.14y + -0.04z <= 365.97
-7.07x + -8.91y + -9.72z <= 885.9
-9.9x + -8.89y + 1.6z <= 838.73
-8.69x + -8.67y + 0.05z <= 389.26
-4.4x + 9.33y + -7.25z <= 263.31
4.59x + -6.65y + 6.37z <= 827.46
9.43x + 3.03y + 9.42z <= 664.74
-1.53x + 8.24y + -9.21z <= 923.4
-2.91x + 2.13y + 4.03z <= 344.02
9.69x + 8.69y + -5.58z <= 833.95
-2.58x + 4.14y + -7.11z <= 550.24
7.82x + 8.22y + -9.09z <= 434.56
-5.53x + 7.88y + -1.12z <= 205.55
-8.1x + 9.8y + 6.47z <= 563.85
-4.87x + 4.29y + -6.44z <= 220.61
8.63x + -4.19y + 1.96z <= 743.4
3.75x + 7.8y + 1.62z <= 934.71
-6.75x + -9.16y + -9.03z <= 231.23
5.59x + 1.84y + 8.01z <= 753.03
-3.59x + 1.3y + -9.18z <= 562.37
5.99x + 1.63y + -5.31z <= 540.28
8.15x + 3.4y + -3.74z <= 624.12
-2.68x + 5.03y + 8.11z <= 663.31
3.73x + 3.44y + -6.91z <= 931.78
9.87x + 6.1y + -1.19z <= 191.74
-1.78x + -0.03y + -2.37z <= 570.15
-0.74x + -5.44y + -0.05z <= 386.31
-4.87x + -0.43y + -3.72z <= 198.2
-6.22x + 4.95y + 1.98z <= 810.9
-9.22x + 3.52y + 0.92z <= 246.76
6.05x + 5.89y + -9.82z <= 179.86
-6.52x + -5.42y + 8.93z <= 476.52
7.18x + -9.75y + -8.43z <= 707.92
2.82x + 2.34y + 1.88z <= 170.84
-1.23x + 9.1y + -1.08z <= 769.29
2.61x + -7.95y + -8.32z <= 160.54
6.84x + 6.38y + 6.55z <= 307.25
0.9x + 1.05y + 3.63z <= 654.98
-7.81x + -5.92y + 8.47z <= 371.11
6.99x + -0.34y + -8.29z <= 275.02
1.17x + -4.01y + -1.57z <= 329.02
1.17x + -8.85y + 4.21z <= 447.92
-7.0x + -4.68y + -1.44z <= 968.21
0.95x + 0.49y + -8.18z <= 498.66
-5.03x + 0.82y + 9.99z <= 806.14
4.62x + 6.53y + -3.94z <= 805.88
-6.42x + 4.91y + 6.93z <= 719.29
-8.96x + -5.26y + 5.38z <= 353.4
1.69x + 3.68y + 7.39z <= 769.57
3.7x + -5.06y + 6.42z <= 827.13
2.25x + -8.03y + -1.14z <= 308.63
-5.86x + 6.04y + -0.65z <= 779.14
4.01x + 9.13y + 3.57z <= 397.78
-8.17x + -1.67y + -8.8z <= 683.69
5.59x + 8.03y + 7.75z <= 546.83
-4.92x + -0.32y + -4.64z <= 319.66
8.18x + 9.23y + -2.25z <= 521.69
9.8x + 2.83y + 5.51z <= 575.1
2.1x + 1.8y + -0.17z <= 897.32
-1.18x + 3.66y + 8.09z <= 526.46
4.78x + 3.77y + 4.92z <= 800.79
-0.85x + -5.58y + -5.68z <= 506.4
4.5x + -8.43y + -8.79z <= 903.52
8.55x + -1.6y + -6.62z <= 794.1
4.68x + 5.39y + 8.95z <= 655.55
-9.39x + -7.72y + -3.89z <= 632.67
7.47x + -2.71y + -4.16z <= 178.46
-7.31x + 7.45y + 4.69z <= 163.84
-0.49x + -1.0y + 2.2z <= 231.52
7.28x + -8.02y + 9.47z <= 542.69
3.44x + 5.9y + -7.31z <= 562.07
1.43x + 9.09y + 5.87z <= 720.75
5.51x + -0.23y + -5.94z <= 770.47
6.22x + -6.66y + -9.06z <= 823.24
-2.26x + -7.17y + 5.43z <= 303.85
-9.12x + 7.69y + 7.18z <= 197.71
-5.52x + 6.97y + -8.77z <= 896.2
8.33x + 5.67y + 3.77z <= 707.53
-9.64x + -8.0y + -8.3z <= 487.95
4.13x + 7.14y + 8.06z <= 315.27
-3.78x + -8.22y + -1.16z <= 294.36
9.8x + 1.26y + 8.54z <= 330.11
4.87x + 4.39y + 1.59z <= 287.29
-4.19x + 7.68y + 1.34z <= 186.99
0.66x + 3.3y + -3.44z <= 430.89
-1.82x + -3.74y + 2.79z <= 223.28
-4.58x + -9.5y + 6.28z <= 466.36
0.44x + 1.84y + 4.8z <= 152.16
5.86x + 7.94y + 3.32z <= 736.91
8.79x + -6.07y + -6.76z <= 955.56
-9.69x + 2.51y + 9.46z <= 583.14
1.31x + -6.84y + -0.05z <= 661.94
0.19x + -9.34y + -6.93z <= 205.71
-3.66x + 4.3y + -9.97z <= 454.25
1.35x + 8.25y + -5.42z <= 973.27
3.01x + -7.06y + -0.41z <= 712.82
-0.46x + 7.93y + 4.94z <= 579.09
2.23x + 2.97y + 2.26z <= 850.1
-0.55x + -5.57y + -8.6z <= 126.7
-2.67x + -2.48y + -3.01z <= 149.25
8.11x + -6.46y + 2.52z <= 795.21
-3.87x + -3.44y + -7.85z <= 791.22
-8.73x + 4.2y + -8.19z <= 925.32
6.35x + -9.16y + -2.36z <= 447.07
3.32x + -8.88y + -5.55z <= 463.09
3.44x + 0.62y + 1.83z <= 241.91
9.31x + -5.16y + 3.78z <= 435.92
9.08x + 2.76y + -8.36z <= 379.35
2.31x + -0.28y + 1.9z <= 638.58
-1.86x + 4.65y + -9.24z <= 586.62
6.21x + -8.01y + -2.63z <= 150.81
9.68x + -1.46y + -2.17z <= 531.64
7.81x + 2.23y + -1.53z <= 600.7
-9.77x + 8.81y + -0.4z <= 694.14
0.68x + 9.38y + -2.88z <= 589.05
-9.84x + -8.65y + -6.16z <= 195.24
4.87x + 1.27y + 9.45z <= 682.95
6.95x + -6.95y + -9.04z <= 487.75
6.98x + -4.78y + 8.74z <= 314.81
-4.46x + -0.06y + 7.05z <= 754.01
-2.34x + -6.84y + -7.14z <= 954.17
-9.45x + 5.74y + -8.49z <= 132.73
-5.87x + -7.12y + 5.48z <= 703.45
-5.28x + -3.44y + -2.23z <= 315.2
-2.87x + -6.02y + 5.62z <= 493.64
9.71x + 2.9y + -5.28z <= 685.46
-4.79x + 3.15y + 6.39z <= 412.04
8.28x + -4.98y + 6.58z <= 449.86
-2.05x + 3.15y + -3.85z <= 927.18
-6.96x + 0.09y + -3.88z <= 947.54
6.32x + -5.19y + 5.04z <= 235.3
-2.95x + -6.89y + 4.9z <= 728.62
0.75x + -4.08y + -7.49z <= 509.11
4.2x + -3.48y + 5.05z <= 458.3
0.3x + -1.57y + 8.84z <= 680.01
-8.9x + -6.95y + 2.12z <= 318.06
6.53x + -9.52y + 1.09z <= 938.36
8.91x + 7.88y + 1.7z <= 465.21
-5.33x + 8.78y + -4.23z <= 168.42
6.41x + -4.6y + -7.4z <= 134.94
0.37x + 7.61y + 4.16z <= 419.1
0.46x + 6.81y + 6.52z <= 456.35
-0.56x + 2.01y + -0.63z <= 399.05
5.81x + 9.92y + 4.12z <= 474.91
-4.54x + -0.45y + -8.28z <= 119.49
-5.78x + -2.47y + 8.35z <= 641.69
7.85x + 3.41y + -1.51z <= 702.53
-0.28x + 3.92y + -2.63z <= 417.81
4.45x + 4.39y + -5.81z <= 160.16
-6.26x + 9.15y + -1.79z <= 741.28
-0.56x + 6.65y + 1.15z <= 814.18
-3.27x + 5.77y + 3.98z <= 639.26
8.06x + -8.24y + 8.09z <= 115.62
-4.93x + 1.15y + 2.74z <= 283.27
-5.4x + 9.46y + -5.88z <= 423.22
-2.6x + -6.02y + 1.16z <= 953.33
6.7x + 7.24y + -9.56z <= 162.73
9.85x + -1.93y + 6.6z <= 406.42
0.75x + -8.36y + -6.05z <= 641.79
-0.29x + 3.58y + 8.43z <= 177.47
-4.46x + 2.06y + 2.23z <= 586.62
-5.16x + -6.64y + 4.78z <= 670.73
-2.52x + 2.41y + -6.31z <= 244.79
-3.77x + -1.21y + -0.98z <= 373.82
-5.9x + -9.34y + -4.93z <= 446.9
-3.01x + -1.77y + -0.44z <= 221.43
-9.72x + 9.62y + 3.76z <= 294.54
-1.85x + 3.3y + 2.18z <= 750.73
-3.67x + -1.97y + -3.42z <= 281.24
3.2x + 5.87y + 7.52z <= 814.4
-4.09x + 2.69y + 1.44z <= 350.65
7.17x + -9.93y + -5.92z <= 472.96
3.52x + -3.49y + -3.95z <= 490.87
1.98x + -2.63y + 6.97z <= 766.0
6.2x + 1.03y + -9.92z <= 161.33
7.3x + 1.55y + -6.22z <= 954.55
8.13x + -8.43y + 7.14z <= 130.16
-9.4x + 1.77y + -3.44z <= 829.9
-6.29x + -0.45y + -6.49z <= 100.95
7.21x + 6.4y + -6.49z <= 548.53
6.95x + 5.07y + 2.63z <= 696.34
-3.62x + -2.01y + -5.33z <= 809.71
9.22x + 7.7y + 1.56z <= 489.8
-6.23x + 8.57y + 7.9z <= 388.89
9.41x + -8.78y + 7.98z <= 947.08
0.05x + -0.16y + 4.73z <= 239.17
-9.48x + -1.54y + -0.15z <= 633.18
-8.31x + 8.39y + 4.75z <= 321.85
7.99x + 3.41y + 5.96z <= 333.29
-7.7x + 7.97y + -9.32z <= 564.25
1.96x + -8.14y + -7.45z <= 742.71
-3.92x + -4.16y + -0.2z <= 910.82
-5.78x + -9.28y + 6.89z <= 374.68
-3.87x + 1.58y + 1.5z <= 602.09
0.05x + 0.82y + -8.64z <= 969.4
-8.79x + 8.51y + 8.75z <= 329.3
-3.84x + -8.7y + 1.85z <= 603.79
8.88x + -4.03y + 7.5z <= 341.69
2.55x + 0.6y + -3.27z <= 437.71
-6.68x + 6.47y + 3.76z <= 263.45
3.16x + 6.89y + 5.65z <= 861.09
0.24x + 7.15y + -8.87z <= 789.15
0.53x + 1.8y + -6.3z <= 330.36
1.23x + -5.09y + 8.49z <= 427.29
2.9x + -3.19y + 3.63z <= 721.13
-1.03x + 0.83y + 4.44z <= 205.89
4.15x + -0.2y + 2.86z <= 621.42
-0.3x + 0.11y + 7.92z <= 482.37
-7.4x + 9.99y + 2.2z <= 777.16
7.03x + 6.52y + 7.67z <= 157.14
5.22x + 8.69y + 0.99z <= 797.71
-8.21x + -5.01y + -5.39z <= 584.27
-8.88x + 0.53y + 3.67z <= 212.82
0.39x + -8.36y + 8.25z <= 856.56
0.92x + 6.86y + 3.44z <= 526.65
-1.81x + -0.65y + -2.15z <= 512.06
0.45x + -2.7y + 7.3z <= 367.71
-0.63x + -7.73y + 4.58z <= 150.07
-4.99x + 2.42y + -3.57z <= 271.41
8.06x + -1.34y + 8.31z <= 134.85
2.93x + 3.37y + -1.57z <= 318.21
2.93x + -5.09y + 7.63z <= 114.62
-3.37x + 7.7y + 2.63z <= 418.79
8.53x + -3.27y + -1.14z <= 235.23
7.86x + 8.42y + 7.68z <= 728.96
-8.03x + -8.25y + 9.07z <= 438.86
-9.65x + 0.06y + -8.59z <= 104.54
-5.96x + -6.94y + -5.51z <= 416.82
-1.6x + -2.14y + -3.6z <= 161.58
9.28x + 6.66y + 6.69z <= 204.78
-9.72x + 4.29y + 5.45z <= 941.36
-4.82x + 6.93y + -0.68z <= 364.48
-0.82x + 8.95y + -1.66z <= 834.47
8.86x + 4.44y + 0.6z <= 410.63
-8.97x + -6.23y + 6.7z <= 226.33
1.73x + 5.84y + -6.86z <= 258.6
-5.46x + -9.2y + 6.51z <= 916.22
-7.42x + -3.2y + 1.94z <= 919.77
8.13x + -3.76y + -4.77z <= 771.79
-8.84x + -8.43y + 9.4z <= 837.8
-2.72x + -0.3y + 0.97z <= 836.37
9.96x + 4.11y + 5.0z <= 764.3
6.89x + 4.13y + 3.22z <= 925.96
-7.46x + 7.01y + -7.22z <= 576.86
-0.69x + 2.79y + 5.35z <= 512.34
-6.24x + -7.01y + 6.66z <= 280.84
5.66x + 3.18y + -9.55z <= 524.28
2.81x + 4.7y + -1.21z <= 811.01
1.88x + 6.47y + 3.64z <= 206.11
-1.78x + -8.86y + -0.65z <= 599.68
9.92x + 5.4y + -2.04z <= 573.73
-4.11x + 0.61y + -6.38z <= 800.57
8.13x + -0.31y + 1.63z <= 762.34
6.27x + -4.11y + -0.17z <= 439.72
-5.07x + -8.65y + 3.58z <= 543.75
1.41x + 7.89y + 8.33z <= 273.84
1.4x + 7.44y + 7.68z <= 963.79
-9.86x + 6.91y + 7.07z <= 661.96
7.72x + -9.3y + 2.91z <= 751.35
-3.64x + 9.73y + 7.61z <= 916.38
-5.0x + -2.06y + 9.18z <= 476.18
4.4x + 4.04y + 1.3z <= 284.28
9.36x + -7.67y + -7.92z <= 509.79
-1.04x + 0.14y + 4.59z <= 581.07
-3.84x + 7.95y + -1.91z <= 895.52
6.24x + 7.45y + 6.36z <= 263.2
-0.48x + 2.48y + -8.71z <= 846.35
-4.93x + -0.32y + 5.2z <= 946.84
3.02x + -0.72y + -0.2z <= 360.27
9.13x + 4.22y + -5.78z <= 188.36
4.26x + -3.45y + 5.97z <= 861.06
1.72x + 6.01y + -0.58z <= 986.82
7.66x + -5.2y + -5.99z <= 712.9
-4.83x + -8.27y + 9.41z <= 857.94
4.82x + -3.1y + -8.3z <= 368.75
4.16x + -1.74y + 5.68z <= 525.83
-9.51x + 3.37y + -1.26z <= 473.07
-4.9x + 5.87y + 0.79z <= 868.54
-8.7x + 6.12y + -6.79z <= 183.3
-5.03x + 1.79y + -4.67z <= 813.23
-6.73x + -0.91y + -9.61z <= 861.91
4.15x + 1.95y + -7.49z <= 899.63
5.67x + -8.19y + 6.58z <= 399.36
1.99x + 3.8y + 4.69z <= 447.6
1.59x + -3.83y + -4.55z <= 523.86
9.33x + -7.35y + -7.73z <= 297.76
4.65x + -1.78y + -8.18z <= 631.51
3.36x + 7.2y + -2.39z <= 526.5
1.24x + -2.04y + 4.82z <= 669.77
3.77x + 2.78y + 0.45z <= 439.98
8.26x + 7.21y + -2.51z <= 264.88
6.92x + 5.21y + -0.27z <= 321.65
-3.36x + 6.37y + 1.93z <= 888.77
