max 1.54x + 1.48y + 4.93z
3.19x + 0.94y + -8.29z <= 653.94
7.81x + 7.12y + 8.61z <= 607.02
5.57x + -5.16y + -3.26z <= 165.92
-8.27x + -0.89y + 9.7z <= 401.41
4.89x + 9.82y + 9.5z <= 366.97
2.57x + -0.2y + 2.79z <= 892.83
4.6x + 5.59y + 0.49z <= 340.73
-3.06x + -5.64y + 5.26z <= 743.05
-0.34x + -5.36y + 1.36z <= 322.58
-6.6x + 4.93y + -7.94z <= 831.55
-1.07x + 9.22y + 4.52z <= 376.58
2.23x + -0.65y + -0.72z <= 938.99
5.47x + 8.88y + 1.21z <= 170.49
8.42x + 1.87y + -4.39z <= 190.2
5.84x + 2.28y + 3.72z <= 192.24
7.67x + 0.58y + -2.46z <= 518.34
1.09x + -4.1y + 7.0z <= 398.27
2.7x + 4.41y + -9.22z <= 157.93
5.76x + -4.77y + 3.75z <= 637.03
-8.56x + 2.55y + 1.07z <= 780.15
-1.75x + -9.19y + -9.52z <= 514.18
-5.51x + -8.73y + -0.77z <= 306.96
1.95x + -7.24y + 6.46z <= 641.91
-9.78x + 7.5y + -4.49z <= 326.66
-8.62x + 7.9y + -6.66z <= 616.76
-8.31x + 5.24y + -6.53z <= 187.17
-6.51x + 2.95y + -5.95z <= 762.79
2.34x + -3.3y + -6.84z <= 807.07
8.53x + 7.26y + 9.04z <= 809.32
1.63x + 1.34y + 3.23z <= 470.3
-6.48x + 4.01y + 9.36z <= 306.44
-9.46x + 6.34y + 8.78z <= 707.33
-7.88x + -5.29y + 6.98z <= 910.45
7.74x + 3.68y + -0.97z <= 983.78
-8.12x + -9.56y + -2.27z <= 600.41
-3.47x + -1.75y + -2.41z <= 896.84
-0.72x + 9.96y + 0.47z <= 812.31
-5.87x + -4.69y + -2.47z <= 866.54
-8.25x + 7.27y + 3.58z <= 696.16
-5.17x + -8.95y + 1.28z <= 963.71
9.84x + 8.31y + -4.41z <= 430.41
3.0x + 5.12y + -1.42z <= 473.73
-7.19x + -7.99y + -0.5z <= 103.48
-4.71x + 9.31y + -4.45z <= 340.61
9.17x + 2.67y + -4.3z <= 667.35
3.69x + -7.26y + -6.53z <= 593.6
-6.53x + -9.36y + -8.35z <= 976.51
-9.28x + -6.58y + 9.84z <= 121.6
9.64x + -6.84y + 0.16z <= 925.7
-3.01x + 6.11y + 5.86z <= 472.21
5.85x + 6.0y + -2.7z <= 422.7
-4.84x + 8.35y + -9.76z <= 787.67
0.44x + -8.61y + -2.44z <= 600.73
-6.88x + 7.67y + 1.49z <= 679.24
6.92x + 8.08y + 0.49z <= 872.36
-6.44x + 7.24y + 5.01z <= 309.63
3.08x + -8.86y + 4.12z <= 415.36
6.74x + -0.26y + 9.87z <= 204.42
2.93x + -0.42y + 2.5z <= 275.72
2.61x + 7.1y + -4.59z <= 356.87
-4.61x + 7.39y + 5.46z <= 403.16
3.57x + 3.04y + 9.3z <= 160.89
-0.86x + 3.84y + -9.84z <= 383.62
1.84x + 4.1y + 5.08z <= 753.52
6.38x + -6.87y + 6.04z <= 509.07
3.88x + 2.42y + -3.77z <= 750.94
-3.85x + -7.9y + 6.41z <= 228.23
-9.04x + -7.7y + -4.44z <= 753.92
7.79x + -2.89y + 9.99z <= 838.18
-2.42x + -6.89y + -3.88z <= 938.19
1.48x + 0.12y + -7.76z <= 928.52
9.65x + -1.26y + 7.99z <= 626.46
-1.52x + 9.58y + 2.22z <= 958.6
9.77x + -4.32y + -4.19z <= 274.18
0.03x + -1.16y + -6.17z <= 679.28
1.06x + -2.94y + 5.2z <= 842.96
2.59x + -6.17y + -2.66z <= 669.04
9.5x + 6.97y + -1.05z <= 735.19
-7.97x + -0.11y + 6.62z <= 645.52
1.91x + 3.78y + -7.92z <= 890.94
-7.75x + 1.27y + -1.24z <= 647.77
-4.2x + 2.24y + -0.79z <= 476.81
9.3x + 5.34y + 4.87z <= 803.92
9.91x + 6.12y + 8.47z <= 499.1
5.19x + -8.89y + -0.93z <= 318.7
7.65x + -6.59y + -2.68z <= 841.85
6.79x + 5.14y + -0.85z <= 565.61
-0.36x + -3.05y + -0.57z <= 736.17
3.96x + 4.99y + -8.79z <= 584.36
-3.33x + 6.83y + 1.34z <= 337.47
3.66x + 6.9y + 0.25z <= 273.02
2.7x + -4.17y + -1.47z <= 659.91
1.9x + -0.17y + 5.58z <= 829.68
-8.46x + -7.62y + 1.08z <= 993.4
-8.81x + -2.71y + -3.8z <= 518.28
-6.78x + -8.44y + 0.22z <= 625.06
5.89x + -6.67y + 9.76z <= 971.17
3.0x + 8.86y + -5.77z <= 158.44
1.12x + 7.71y + 7.03z <= 361.61
-8.23x + 0.46y + -4.72z <= 408.82
-2.68x + 4.46y + -1.66z <= 263.55
0.88x + 6.93y + 8.7z <= 440.47
5.0x + 4.32y + 6.48z <= 277.86
5.96x + -0.77y + 0.85z <= 656.82
-7.26x + 6.68y + 1.5z <= 640.48
-8.93x + -9.19y + -9.03z <= 176.32
5.0x + 7.83y + -4.26z <= 737.89
-6.92x + -4.78y + 1.42z <= 686.92
3.41x + -4.41y + -4.85z <= 222.26
6.2x + -4.65y + 3.29z <= 621.92
-8.24x + -3.81y + 7.85z <= 651.98
3.31x + -1.6y + -3.16z <= 790.46
-5.27x + -5.88y + 7.75z <= 367.67
8.88x + 4.29y + -4.85z <= 494.47
3.57x + 0.49y + -2.86z <= 633.63
-2.68x + 5.24y + 0.21z <= 319.76
-9.5x + 7.49y + 6.25z <= 661.37
-8.75x + -4.2y + 3.34z <= 892.7
-8.05x + -5.33y + -8.84z <= 567.14
-5.21x + 2.35y + 1.72z <= 303.51
9.48x + 4.72y + -1.85z <= 713.21
-6.96x + 8.16y + 9.16z <= 375.4
-8.1x + 2.91y + -1.76z <= 583.46
9.89x + 1.92y + -0.71z <= 869.06
-1.9x + -3.98y + 6.85z <= 931.67
4.53x + 9.32y + -0.23z <= 652.38
-2.49x + 2.18y + 6.54z <= 776.84
3.54x + 2.88y + 1.5z <= 867.65
8.94x + 1.71y + -0.32z <= 928.53
2.93x + 9.31y + 7.49z <= 784.35
9.16x + -1.11y + 8.78z <= 787.86
-7.97x + -7.93y + -3.93z <= 789.21
-9.96x + -3.42y + -4.72z <= 988.28
5.6x + 9.3y + -2.79z <= 143.72
-9.71x + -7.03y + -2.32z <= 280.24
4.92x + 3.18y + 2.65z <= 567.28
-9.15x + -1.73y + 9.33z <= 970.65
-6.16x + 8.85y + 3.93z <= 526.11
7.48x + -3.09y + 9.44z <= 787.87
-5.73x + -3.3y + 0.4z <= 461.86
-0.79x + 2.95y + -7.84z <= 503.04
-6.75x + 2.72y + -0.96z <= 154.27
0.73x + 1.4y + -6.04z <= 822.95
7.87x + -3.46y + -9.97z <= 895.23
-1.17x + 7.92y + 1.3z <= 482.9
6.28x + -0.65y + 6.16z <= 238.05
-6.12x + -6.34y + 6.74z <= 629.75
8.21x + -5.94y + 3.03z <= 522.54
2.19x + -3.21y + 2.59z <= 910.33
-6.52x + 3.93y + -7.76z <= 614.43
-9.27x + -2.95y + -6.15z <= 451.35
0.91x + -5.48y + 5.24z <= 189.49
6.79x + -3.64y + 7.29z <= 355.08
-4.69x + 6.35y + 7.63z <= 393.45
-6.1x + 1.9y + 3.57z <= 564.01
-5.39x + 7.8y + 7.34z <= 804.59
9.11x + 1.28y + 8.9z <= 275.81
-8.87x + 5.83y + -2.46z <= 855.6
5.31x + 5.25y + 2.37z <= 804.43
7.85x + 0.11y + -5.18z <= 612.77
6.85x + 9.24y + 0.11z <= 953.47
2.71x + 2.59y + -2.36z <= 121.85
-6.74x + 4.75y + -5.12z <= 110.91
-1.67x + -5.31y + -2.72z <= 575.01
-0.13x + 4.98y + 9.15z <= 934.78
-0.21x + 4.97y + -1.61z <= 998.79
-9.78x + -8.42y + -4.85z <= 802.0
4.28x + -8.33y + -6.65z <= 899.36
5.26x + -0.98y + -0.73z <= 275.03
0.35x + 5.22y + -7.79z <= 514.59
-0.7x + -7.39y + -4.51z <= 334.06
-3.39x + -1.43y + -3.42z <= 377.03
-7.88x + -0.12y + -7.06z <= 491.63
-9.7x + -7.07y + 8.58z <= 680.09
-9.33x + 0.39y + 4.43z <= 326.45
8.03x + 0.22y + -9.72z <= 177.51
-6.31x + -4.79y + -1.8z <= 736.82
4.28x + 1.07y + -1.14z <= 940.75
-0.39x + 8.65y + -1.93z <= 813.4
0.65x + -6.34y + -3.32z <= 271.92
-5.55x + -3.36y + 3.67z <= 896.4
-8.56x + 8.56y + 3.04z <= 519.14
-5.81x + -8.17y + -5.87z <= 330.32
2.54x + -9.98y + 1.62z <= 508.5
-8.58x + -8.6y + 3.37z <= 102.47
-9.06x + -7.48y + -5.64z <= 872.57
-8.57x + -6.56y + 9.02z <= 395.0
2.05x + -3.67y + 9.91z <= 863.7
1.58x + 4.1y + 3.2z <= 240.39
7.3x + 5.35y + 7.17z <= 525.51
-6.1x + -7.27y + 6.3z <= 611.16
-8.79x + -6.59y + -7.74z <= 251.13
-5.8x + -5.58y + -7.12z <= 312.97
-9.51x + -7.23y + -5.39z <= 342.89
-2.2x + -3.16y + 6.8z <= 501.91
-5.87x + 4.99y + -3.96z <= 884.69
-8.18x + 5.98y + 8.02z <= 964.76
3.57x + -2.08y + -9.92z <= 975.32
0.19x + -2.68y + 8.82z <= 762.29
-6.23x + -6.25y + 9.51z <= 301.3
-5.3x + -9.67y + 7.6z <= 370.13
6.68x + -9.46y + 6.27z <= 839.1
-3.31x + -3.74y + -8.31z <= 742.01
0.92x + -3.15y + -8.2z <= 701.64
-9.89x + -4.48y + 5.37z <= 224.33
6.62x + -8.15y + 8.66z <= 796.49
7.41x + -7.96y + 2.32z <= 297.01
-6.86x + 6.69y + 5.39z <= 269.92
-0.91x + 2.29y + -4.02z <= 126.95
-5.6x + 0.54y + -1.79z <= 524.29
-1.93x + 7.79y + -7.62z <= 866.88
5.81x + 9.15y + -1.43z <= 690.52
2.32x + 2.89y + 4.72z <= 974.69
6.26x + -4.26y + -7.82z <= 437.52
2.53x + 3.29y + 4.89z <= 720.08
-2.62x + 2.79y + -9.5z <= 167.29
-8.29x + 2.28y + -1.18z <= 683.44
2.22x + -9.13y + -6.21z <= 279.72
5.21x + -6.91y + -7.13z <= 217.74
-3.39x + 7.22y + 7.64z <= 117.61
-1.32x + -3.34y + 9.12z <= 561.67
-4.57x + -2.59y + -3.75z <= 672.61
-5.92x + -8.56y + -8.89z <= 344.72
-3.04x + 5.07y + -1.77z <= 597.27
-9.49x + 0.64y + 3.2z <= 164.45
-8.96x + 3.58y + 7.26z <= 718.02
-4.29x + 8.61y + -8.87z <= 511.86
-4.12x + 5.84y + 5.24z <= 609.22
7.01x + -2.96y + 2.51z <= 275.69
-2.3x + -2.59y + -8.28z <= 191.32
1.98x + -9.61y + -0.27z <= 756.32
3.58x + -6.05y + 6.94z <= 868.01
-1.88x + 4.13y + -6.72z <= 827.07
7.02x + 4.96y + 4.61z <= 730.17
7.46x + 1.15y + -4.11z <= 325.68
1.62x + 3.94y + -1.58z <= 962.58
2.17x + -0.57y + -5.06z <= 267.37
9.64x + 8.95y + -9.51z <= 879.43
4.33x + 7.51y + 1.99z <= 615.7
2.11x + 1.91y + 4.1z <= 799.87
-5.93x + 0.35y + 1.47z <= 304.31
1.01x + 4.79y + -3.61z <= 632.91
1.55x + -6.54y + 3.95z <= 799.76
-5.66x + -0.99y + -9.05z <= 406.88
9.77x + 9.71y + 9.05z <= 503.81
6.77x + -5.08y + 5.26z <= 551.78
9.92x + 9.19y + -9.92z <= 796.46
6.25x + 7.54y + 7.54z <= 658.09
9.01x + 7.55y + -0.64z <= 783.65
3.85x + -7.5y + -3.62z <= 362.94
5.03x + 0.78y + 2.4z <= 404.82
-2.16x + 9.56y + 9.76z <= 629.88
2.38x + -8.13y + -7.9z <= 540.43
9.55x + -0.42y + -0.1z <= 118.27
1.49x + 7.63y + -5.82z <= 650.76
-8.21x + 0.92y + 9.72z <= 458.76
-6.51x + -8.68y + -1.13z <= 990.69
-0.25x + 9.7y + 5.13z <= 938.65
3.46x + -2.6y + 6.31z <= 696.89
5.33x + -8.18y + 9.14z <= 502.95
4.77x + 2.49y + 9.66z <= 240.77
8.79x + -6.71y + -0.97z <= 472.61
-1.7x + -9.86y + 4.76z <= 654.34
-1.7x + 4.81y + -8.41z <= 374.04
9.38x + -5.2y + 0.73z <= 980.44
2.87x + -2.8y + -2.09z <= 359.87
0.07x + 1.74y + 9.63z <= 396.99
-5.51x + 5.76y + 5.81z <= 758.36
1.71x + -2.53y + -5.65z <= 988.03
-8.47x + 0.98y + 9.81z <= 184.33
0.33x + -4.93y + -8.03z <= 563.89
4.62x + 6.05y + 8.17z <= 895.69
-5.55x + 8.44y + -0.17z <= 909.87
-5.36x + -6.82y + -9.02z <= 143.78
8.6x + -7.02y + -8.37z <= 262.01
4.39x + -8.34y + 3.24z <= 321.42
0.14x + -1.1y + 3.51z <= 493.09
-3.39x + 5.3y + 8.05z <= 498.84
8.38x + -8.73y + 0.16z <= 229.77
-0.02x + 1.3y + 7.57z <= 749.06
2.55x + 4.96y + 9.93z <= 759.95
-3.51x + -5.67y + 6.63z <= 383.15
3.14x + 3.78y + 0.88z <= 112.59
4.86x + -1.28y + -2.46z <= 256.34
-5.67x + 6.54y + 4.31z <= 495.95
-4.24x + -9.78y + 9.86z <= 940.54
8.42x + 7.13y + -5.51z <= 952.68
7.38x + 7.63y + -5.23z <= 285.85
-6.61x + 6.04y + 0.49z <= 354.61
9.84x + 6.35y + 3.09z <= 678.5
-4.41x + 0.86y + 7.3z <= 460.82
-2.69x + -5.55y + 1.71z <= 213.43
-0.73x + -9.06y + -6.11z <= 336.97
9.77x + -7.44y + -8.74z <= 307.69
-4.76x + -8.66y + -9.35z <= 371.99
5.77x + -4.28y + 7.24z <= 162.92
-3.84x + 8.51y + 1.43z <= 857.98
-9.47x + -9.73y + 6.91z <= 718.76
-9.89x + -1.77y + -8.85z <= 916.87
1.96x + 0.42y + -1.45z <= 397.41
3.03x + 3.12y + -5.95z <= 684.57
0.18x + -7.17y + -1.07z <= 743.27
-6.63x + -1.81y + -8.22z <= 662.93
-5.95x + 3.87y + -3.25z <= 623.71
8.67x + -9.16y + 6.15z <= 740.82
-3.49x + -9.79y + 7.73z <= 537.29
-2.92x + 8.25y + -3.01z <= 809.58
7.9x + -2.13y + -8.31z <= 605.44
8.29x + 3.74y + -4.98z <= 931.68
-8.21x + 5.78y + -9.95z <= 457.92
3.16x + 8.61y + 4.59z <= 276.85
-8.37x + 5.38y + -0.81z <= 542.38
7.48x + 2.0y + 5.87z <= 154.48
-9.83x + 8.12y + 9.21z <= 280.23
1.24x + 3.21y + -5.52z <= 691.37
5.49x + -3.85y + -5.87z <= 868.14
-1.87x + 5.5y + -9.29z <= 491.35
-5.1x + -5.7y + -3.74z <= 312.4
3.71x + -3.45y + -1.35z <= 581.62
3.31x + 7.41y + 3.67z <= 593.95
4.56x + -2.36y + 3.55z <= 292.69
6.23x + 8.01y + -4.05z <= 556.16
9.36x + 4.85y + 2.25z <= 469.57
-5.83x + -9.57y + 7.68z <= 225.89
-3.13x + -9.72y + 8.09z <= 576.73
2.39x + -5.95y + -4.0z <= 280.8
-3.33x + 9.04y + 3.97z <= 893.76
-3.63x + 2.98y + 8.9z <= 734.68
0.68x + 6.08y + 3.3z <= 237.08
-7.9x + 9.06y + 1.52z <= 746.73
2.37x + -5.74y + 6.22z <= 607.9
0.03x + 7.16y + -7.26z <= 226.36
5.91x + -8.18y + -8.1z <= 485.4
2.34x + -7.28y + 3.47z <= 189.45
-1.02x + -4.18y + 8.47z <= 503.16
2.65x + 2.14y + 4.44z <= 608.97
4.53x + 8.85y + 6.07z <= 874.11
-4.17x + -1.91y + -4.57z <= 185.62
-1.95x + -0.16y + -4.17z <= 895.31
-8.44x + 9.45y + -7.66z <= 653.92
-1.44x + 3.5y + 9.8z <= 428.37
3.01x + -5.72y + 8.7z <= 721.96
8.24x + 1.45y + 1.69z <= 628.46
-6.64x + 2.98y + -2.38z <= 421.19
-8.13x + 3.4y + -2.38z <= 420.06
4.92x + -0.45y + 6.22z <= 630.82
-5.99x + 5.17y + -7.46z <= 362.33
-9.64x + -1.59y + -3.4z <= 885.53
1.3x + 5.98y + 0.62z <= 999.33
1.45x + -8.29y + 9.25z <= 835.62
4.98x + 5.62y + -1.91z <= 634.72
-5.35x + -1.8y + 4.52z <= 133.39
-9.93x + -5.44y + -3.01z <= 825.07
-7.1x + -6.52y + 3.45z <= 664.98
6.52x + 6.1y + -0.76z <= 882.98
6.37x + -7.67y + -6.6z <= 763.95
-9.53x + 0.43y + -1.46z <= 380.58
-1.37x + -8.6y + -0.62z <= 274.67
1.01x + 9.61y + -2.09z <= 720.64
3.64x + -6.89y + -5.81z <= 146.52
3.37x + -8.1y + -3.4z <= 149.89
-7.27x + -2.18y + 5.38z <= 851.26
8.08x + 9.01y + -2.39z <= 518.96
4.75x + 1.84y + -4.8z <= 344.62
6.24x + -1.9y + -1.13z <= 841.06
4.89x + 0.48y + -4.12z <= 938.96
-8.05x + 8.29y + 0.01z <= 632.38
-3.56x + -2.06y + -1.58z <= 507.88
-6.94x + 1.81y + -8.32z <= 448.78
0.19x + -6.78y + 9.47z <= 596.31
-1.03x + 0.39y + -2.28z <= 907.95
-8.08x + 8.93y + 2.89z <= 688.46
5.38x + -4.83y + 0.34z <= 641.13
-7.48x + -1.91y + 8.65z <= 922.14
-5.93x + -9.09y + -1.95z <= 793.89
1.96x + 8.88y + 1.18z <= 214.87
1.48x + -7.33y + -7.42z <= 784.52
-9.69x + 6.32y + -0.83z <= 471.15
0.98x + 4.61y + -4.27z <= 561.57
2.68x + -2.09y + -5.87z <= 522.84
-3.28x + -5.22y + -4.5z <= 758.61
0.07x + 2.56y + -1.55z <= 288.0
6.91x + -2.71y + 7.12z <= 732.36
7.12x + -0.25y + -8.47z <= 122.49
8.73x + -9.8y + -2.51z <= 912.99
-1.42x + -5.82y + -7.07z <= 331.51
-1.99x + -4.35y + -5.91z <= 477.02
8.04x + 0.98y + 9.57z <= 922.71
-6.23x + -2.23y + 8.23z <= 819.34
2.02x + 7.15y + 4.4z <= 489.29
-0.89x + 3.94y + 4.05z <= 700.45
-5.12x + -7.7y + -1.47z <= 491.12
8.4x + -7.04y + 1.13z <= 734.05
2.82x + -6.87y + 8.1z <= 292.02
-0.97x + -6.81y + -1.36z <= 725.18
-8.95x + 9.45y + -3.58z <= 579.04
-9.91x + -7.15y + -2.56z <= 401.34
1.8x + 0.36y + 0.01z <= 491.6
9.29x + -7.47y + -5.92z <= 517.39
-4.51x + 5.77y + 9.2z <= 894.65
5.21x + -3.16y + -7.09z <= 662.82
8.96x + -5.25y + 9.44z <= 855.32
-1.79x + -9.52y + 3.61z <= 119.3
-1.28x + -3.06y + -5.74z <= 465.02
2.13x + 6.67y + 0.62z <= 954.47
-3.2x + 5.57y + -8.55z <= 406.29
2.22x + -0.92y + 8.62z <= 684.96
-6.63x + 2.12y + 2.74z <= 643.92
-1.15x + -6.17y + 7.13z <= 145.61
1.49x + 9.51y + -6.02z <= 780.05
-9.41x + -4.3y + -3.44z <= 525.89
1.25x + -7.86y + 8.25z <= 204.37
-6.48x + 6.61y + -0.7z <= 646.91
-4.35x + 8.86y + -9.59z <= 779.08
2.8x + -2.33y + -4.28z <= 651.05
-7.03x + -1.81y + 1.11z <= 357.84
2.22x + 7.71y + 0.01z <= 959.74
-7.57x + -2.36y + -7.07z <= 377.8
-3.6x + 2.35y + 1.6z <= 601.46
9.86x + 7.05y + -8.47z <= 291.6
-9.67x + -6.95y + -8.72z <= 879.33
8.29x + 2.23y + 2.45z <= 248.39
4.7x + -5.17y + 1.4z <= 101.85
-0.44x + -7.9y + 2.73z <= 780.54
3.53x + -1.14y + 7.16z <= 982.69
6.43x + -8.25y + -1.94z <= 527.39
7.48x + 1.72y + 9.2z <= 137.87
-0.6x + -0.67y + 5.61z <= 938.4
7.49x + 2.21y + 1.07z <= 734.44
-9.85x + -7.1y + -5.89z <= 371.21
0.03x + 2.77y + 0.26z <= 812.01
-8.94x + -7.39y + 7.11z <= 767.14
9.97x + -8.39y + 8.2z <= 546.58
2.19x + 8.26y + 5.26z <= 117.02
-0.38x + -2.31y + -5.86z <= 668.74
8.9x + 0.44y + 5.99z <= 531.2
-8.6x + 6.37y + -5.45z <= 844.48
5.17x + -4.16y + -9.2z <= 641.42
-3.54x + 9.94y + -9.64z <= 958.56
-6.27x + -4.26y + 7.81z <= 139.8
-3.27x + 6.3y + -2.84z <= 754.67
-1.19x + -9.86y + 0.92z <= 872.54
0.7x + 9.22y + 4.23z <= 783.48
-7.12x + 3.82y + 4.23z <= 773.04
5.01x + 2.22y + 2.47z <= 169.52
5.2x + -0.79y + 4.21z <= 964.98
-2.97x + -9.63y + 6.6z <= 726.48
-5.33x + -5.01y + -0.88z <= 158.97
-4.02x + -2.67y + 4.3z <= 472.27
1.59x + 3.25y + 0.09z <= 641.74
-4.15x + -3.44y + -7.21z <= 193.63
-1.83x + 5.64y + -6.47z <= 714.86
8.23x + 4.22y + 9.61z <= 987.22
4.1x + -6.54y + -3.24z <= 644.37
-6.13x + -2.09y + 3.78z <= 483.58
7.83x + 7.47y + -3.6z <= 326.68
3.89x + -3.68y + 1.32z <= 840.34
-7.61x + 5.0y + 1.23z <= 220.15
-1.7x + 0.11y + 1.52z <= 465.47
-4.08x + -2.04y + 3.49z <= 299.65
5.97x + 3.99y + 8.62z <= 822.48
7.59x + -0.85y + 8.66z <= 370.15
-5.25x + 6.48y + 4.27z <= 689.32
5.2x + 6.09y + 8.81z <= 270.53
3.35x + 5.92y + 1.68z <= 990.32
8.01x + -1.51y + -3.01z <= 423.78
-0.31x + 9.44y + 1.38z <= 946.81
-0.69x + 6.01y + -8.69z <= 294.86
1.35x + 8.57y + -1.83z <= 774.53
4.0x + 8.49y + -5.37z <= 900.59
-3.67x + 6.96y + 6.29z <= 292.65
8.36x + 0.82y + -0.54z <= 820.52
8.22x + 9.0y + 3.92z <= 564.84
6.61x + 8.14y + 1.44z <= 158.37
-7.94x + 4.43y + 6.58z <= 530.36
9.54x + -1.82y + -1.61z <= 347.99
-7.26x + -7.21y + 4.46z <= 871.5
3.82x + -1.21y + -3.85z <= 602.74
3.58x + 7.68y + -7.99z <= 887.99
-9.99x + -9.41y + 1.61z <= 270.27
-1.01x + 4.07y + 7.71z <= 789.05
-6.47x + -5.8y + -6.44z <= 867.41
5.18x + -0.69y + -9.99z <= 298.61
8.73x + 5.92y + -0.25z <= 127.27
7.5x + -1.24y + -4.52z <= 627.05
9.47x + 6.27y + 3.6z <= 161.95
8.23x + -5.3y + 0.06z <= 641.9
-8.99x + -3.64y + -2.11z <= 720.12
0.56x + 0.45y + 5.82z <= 434.04
-6.42x + 2.7y + -3.2z <= 747.36
3.74x + 2.74y + -4.04z <= 342.84
8.67x + 5.74y + 9.0z <= 475.56
5.17x + -2.29y + -2.0z <= 356.23
0.72x + -5.93y + 6.4z <= 639.48
8.8x + -5.21y + -0.88z <= 211.83
8.92x + 1.09y + 9.31z <= 374.18
5.82x + -2.88y + 7.13z <= 930.48
-8.0x + -8.49y + -2.72z <= 633.06
-2.63x + -8.08y + 6.06z <= 468.04
-6.19x + 3.09y + 5.14z <= 195.97
5.11x + 9.65y + 6.3z <= 821.26
-1.69x + 7.92y + -4.73z <= 726.6
8.56x + 3.1y + 7.69z <= 901.28
-8.13x + 1.85y + 3.85z <= 555.44
0.11x + 6.46y + -6.49z <= 922.35
-7.54x + -5.83y + 3.22z <= 712.39
8.38x + 5.67y + 1.11z <= 336.95
8.04x + -8.1y + 1.37z <= 729.53
2.78x + 4.62y + 1.66z <= 856.69
6.27x + -8.38y + -0.23z <= 103.51
7.83x + 9.13y + -8.53z <= 376.45
3.8x + -1.27y + 8.32z <= 393.26
7.04x + -7.08y + -8.47z <= 774.17
-7.52x + -4.15y + -1.06z <= 512.78
-3.42x + -0.46y + 1.71z <= 412.83
0.7x + 0.15y + -4.97z <= 165.14
-7.18x + 9.18y + -0.25z <= 936.54
7.55x + -1.57y + 9.54z <= 861.65
-5.13x + -6.92y + -6.32z <= 521.86
9.28x + -1.3y + 7.05z <= 902.79
-3.58x + 8.45y + -1.28z <= 720.35
-2.96x + 4.99y + -5.23z <= 983.33
-3.93x + -5.73y + -6.49z <= 431.77
-5.86x + -5.48y + -0.87z <= 200.02
0.93x + -5.17y + 4.56z <= 797.46
-7.84x + 2.71y + -1.48z <= 498.57
-9.01x + -5.93y + -4.25z <= 288.34
-9.3x + 4.07y + -6.89z <= 877.32
-5.3x + 6.98y + 6.67z <= 160.89
-8.66x + 9.38y + 5.63z <= 753.28
-4.71x + 1.22y + -3.42z <= 339.24
3.82x + 6.72y + 3.1z <= 361.68
5.91x + 0.48y + -5.48z <= 824.86
-3.34x + -4.07y + 5.35z <= 486.14
-9.66x + -2.03y + 7.63z <= 808.47
4.44x + -3.5y + -1.0z <= 199.1
-2.51x + 8.69y + 3.91z <= 314.92
7.95x + -3.77y + 1.17z <= 229.29
-4.97x + 6.18y + -6.61z <= 681.75
-4.61x + 1.64y + -4.98z <= 146.93
4.92x + -8.47y + -6.2z <= 118.78
-4.72x + -8.24y + 6.96z <= 205.1
5.62x + -7.34y + -5.8z <= 249.1
8.01x + -8.43y + 3.81z <= 945.49
4.73x + -5.05y + 9.25z <= 421.41
-9.25x + 3.43y + -3.24z <= 876.16
7.69x + 2.39y + 4.08z <= 581.76
-1.89x + -8.74y + 9.45z <= 394.65
-7.74x + -2.27y + 5.6z <= 738.76
8.16x + 8.61y + 2.96z <= 185.29
1.27x + 6.58y + -6.08z <= 817.13
1.42x + 1.35y + -3.34z <= 774.69
9.74x + -8.13y + 6.07z <= 218.27
4.86x + -9.61y + 4.46z <= 873.02
-9.97x + 0.32y + -8.93z <= 110.44
6.64x + -2.06y + -8.22z <= 812.82
-9.42x + -3.76y + -5.5z <= 912.44
4.6x + 3.73y + 0.32z <= 243.58
9.45x + 9.15y + -6.38z <= 220.1
2.27x + -1.96y + -4.42z <= 165.95
7.97x + -0.67y + -1.63z <= 490.06
4.8x + 1.47y + -6.64z <= 384.71
-7.11x + 0.96y + 7.35z <= 223.48
-7.87x + 0.44y + -9.92z <= 293.78
3.12x + -7.68y + 7.0z <= 183.74
9.39x + -5.12y + 0.21z <= 402.85
-4.87x + 6.56y + -8.29z <= 950.85
-5.35x + -6.91y + -5.9z <= 206.55
6.43x + 7.91y + 3.75z <= 651.96
4.4x + -4.27y + 2.22z <= 213.79
2.51x + -9.75y + 2.56z <= 270.66
8.57x + 7.58y + -5.37z <= 317.46
3.44x + 2.33y + 0.15z <= 383.07
-4.76x + 6.1y + 4.01z <= 575.23
2.92x + 0.76y + 9.4z <= 234.09
4.34x + 2.31y + -6.28z <= 152.11
1.15x + -0.23y + 6.28z <= 521.76
0.33x + -3.91y + -3.02z <= 607.69
-0.11x + 7.82y + -0.72z <= 936.32
1.8x + -9.86y + -4.69z <= 591.0
-1.02x + 1.92y + -1.25z <= 685.02
2.46x + 2.04y + 7.03z <= 582.15
4.04x + 0.16y + 7.79z <= 438.72
2.81x + 5.22y + -6.29z <= 620.89
9.43x + 7.16y + 4.82z <= 417.82
-4.68x + 5.13y + -5.01z <= 702.68
5.32x + 1.51y + -9.05z <= 959.48
-6.36x + -8.79y + 5.45z <= 747.76
0.68x + 8.03y + 1.0z <= 175.48
-5.27x + -1.3y + 2.98z <= 960.59
1.64x + 5.8y + -5.16z <= 358.99
2.14x + -0.14y + 7.62z <= 397.52
-0.51x + -8.36y + 2.42z <= 673.03
1.41x + -0.26y + 0.46z <= 336.27
8.93x + -0.62y + -9.06z <= 276.49
