max 4.33x + 3.98y + 6.22z
0.47x + -2.27y + 7.11z <= 695.73
-1.05x + -1.64y + 1.47z <= 445.32
-4.73x + 9.13y + -4.54z <= 240.8
9.53x + -9.94y + -7.7z <= 199.17
4.41x + 2.86y + 8.49z <= 704.92
-4.96x + 6.09y + 3.34z <= 810.09
8.23x + -6.39y + -7.15z <= 293.07
-7.72x + -2.9y + -9.39z <= 828.51
-5.55x + -7.05y + 4.77z <= 114.55
8.19x + -9.44y + 0.45z <= 723.84
6.67x + -9.91y + -4.51z <= 470.02
-5.8x + -6.41y + -1.91z <= 694.4
2.52x + 4.78y + -8.99z <= 525.35
-0.6x + -4.32y + 2.72z <= 556.4
6.47x + -7.78y + 6.44z <= 109.04
-3.58x + 3.77y + 1.03z <= 543.27
-5.02x + 5.45y + 2.05z <= 909.79
-0.35x + -1.38y + -6.31z <= 184.31
7.8x + 0.8y + 5.98z <= 634.22
7.91x + 1.43y + -0.24z <= 878.13
5.11x + 4.7y + 7.18z <= 774.85
7.15x + -8.05y + -8.77z <= 488.6
1.21x + -8.56y + -8.07z <= 669.97
-3.04x + -8.9y + 3.54z <= 584.27
5.65x + -0.54y + 2.65z <= 283.75
-1.55x + -9.42y + -9.53z <= 463.23
-9.28x + 2.53y + -9.67z <= 793.58
-9.2x + -1.16y + 9.6z <= 597.49
-3.49x + -9.07y + 1.32z <= 196.38
3.26x + -2.77y + -9.42z <= 885.01
-9.98x + -2.72y + 1.32z <= 132.3
0.97x + -7.53y + 1.11z <= 625.65
-0.44x + -9.34y + 7.64z <= 748.07
0.2x + -5.49y + 4.14z <= 500.6
1.59x + -6.58y + -0.82z <= 158.5
0.69x + 0.84y + 9.06z <= 545.26
1.36x + 3.6y + -9.49z <= 559.81
5.46x + 2.08y + -2.78z <= 785.16
-7.18x + 9.42y + 9.35z <= 386.31
1.4x + -6.48y + 4.58z <= 709.37
-3.63x + 8.89y + -5.68z <= 817.51
-5.94x + 8.58y + 3.84z <= 783.85
1.06x + -8.47y + 7.01z <= 930.05
2.56x + -0.99y + 7.57z <= 531.11
-3.65x + -6.05y + -5.21z <= 262.65
5.17x + 9.19y + -8.14z <= 997.57
0.82x + -7.01y + -7.56z <= 685.45
2.69x + -3.2y + -0.47z <= 788.07
-2.68x + -0.24y + -9.89z <= 863.66
8.63x + 5.3y + 4.25z <= 965.72
-8.04x + 0.74y + 2.31z <= 210.78
-9.18x + 7.91y + 6.6z <= 506.59
-7.34x + 1.59y + 0.12z <= 322.49
-9.95x + -7.55y + -2.74z <= 791.7
6.06x + -6.41y + 3.92z <= 293.88
1.62x + -7.91y + 7.54z <= 767.84
-5.1x + 0.12y + -9.76z <= 489.32
8.77x + 4.67y + -2.13z <= 144.6
-3.03x + -4.81y + 5.94z <= 267.93
-5.2x + 2.5y + 3.23z <= 898.19
-0.3x + -4.43y + -7.15z <= 788.35
6.36x + 1.93y + 8.9z <= 469.19
7.8x + 9.95y + -9.12z <= 551.14
-4.15x + -7.91y + 9.46z <= 335.22
9.04x + -8.5y + 0.55z <= 220.37
-1.67x + -2.6y + 2.69z <= 614.05
2.63x + 4.52y + -0.24z <= 496.5
6.45x + 8.6y + -2.0z <= 879.15
-2.12x + 4.71y + 4.64z <= 461.43
-6.3x + -9.6y + -1.99z <= 559.5
-8.06x + 9.17y + 7.02z <= 350.8
-5.12x + -5.31y + -6.76z <= 648.61
-9.64x + 2.92y + -0.76z <= 647.3
-7.01x + 4.32y + -0.49z <= 290.4
-9.06x + 0.92y + 2.32z <= 570.93
-7.31x + -6.56y + -0.59z <= 404.22
-2.77x + -8.27y + -9.06z <= 261.49
-6.99x + 2.07y + 6.75z <= 112.43
8.39x + 2.09y + 4.42z <= 755.81
3.93x + 5.84y + 7.2z <= 784.96
-0.79x + -9.97y + 3.68z <= 288.99
0.67x + 5.97y + -3.35z <= 262.33
5.97x + -9.08y + -4.62z <= 867.84
-9.52x + 7.07y + 7.37z <= 128.07
6.4x + -4.52y + 5.01z <= 619.61
9.63x + 4.34y + 9.74z <= 649.73
-4.91x + -2.23y + -9.04z <= 765.0
6.4x + 8.63y + -7.52z <= 311.59
-9.03x + -4.72y + 4.83z <= 929.14
-6.22x + 7.45y + 2.73z <= 517.25
0.74x + 8.17y + -1.3z <= 339.34
-6.28x + -7.6y + -4.4z <= 947.09
4.04x + -6.66y + 1.07z <= 682.57
6.99x + -9.56y + 7.22z <= 498.54
4.23x + -5.22y + 7.92z <= 837.97
9.72x + -6.53y + 2.26z <= 689.0
2.44x + 2.02y + -6.78z <= 557.93
-6.25x + 2.87y + 0.14z <= 888.6
7.2x + 1.02y + -9.52z <= 303.48
7.82x + 4.11y + 9.95z <= 184.09
-5.56x + -0.77y + -6.42z <= 714.32
-1.69x + -5.84y + 7.5z <= 914.59
-2.9x + -1.77y + 4.58z <= 176.45
-0.21x + -7.47y + 2.38z <= 473.84
-5.32x + 0.78y + 8.64z <= 106.37
6.64x + -1.7y + -7.08z <= 673.86
-3.98x + 5.54y + 3.77z <= 379.04
-8.58x + 4.46y + -8.23z <= 423.47
-1.78x + 3.37y + 1.54z <= 723.93
-1.38x + 6.45y + 5.77z <= 862.35
-8.95x + -2.87y + 5.49z <= 787.03
-2.26x + -8.62y + -9.87z <= 921.85
8.25x + 9.57y + 3.45z <= 882.31
-1.06x + 8.58y + 6.88z <= 687.96
0.99x + 3.07y + 6.05z <= 246.36
-6.7x + -6.63y + 2.74z <= 921.33
3.03x + 6.21y + -5.6z <= 206.1
6.81x + 5.3y + 7.89z <= 157.85
6.29x + -0.35y + -8.16z <= 642.99
-9.8x + 2.84y + 3.03z <= 682.53
-7.91x + 5.03y + 1.23z <= 115.72
-5.34x + -0.93y + 5.36z <= 676.84
-2.18x + -2.29y + -0.08z <= 447.74
-5.16x + -1.31y + -0.51z <= 105.34
2.72x + -3.07y + -3.07z <= 200.27
-7.96x + 0.84y + 1.19z <= 662.68
-1.37x + 6.23y + 3.08z <= 839.25
-8.14x + 7.17y + 7.6z <= 810.06
7.46x + 4.04y + -4.96z <= 193.56
1.36x + 1.06y + 4.15z <= 328.94
7.18x + -1.61y + 8.35z <= 642.6
-2.47x + -9.73y + -3.07z <= 878.6
-0.66x + 3.76y + 7.08z <= 867.53
1.54x + -8.06y + -2.85z <= 150.55
5.88x + -8.59y + -5.36z <= 257.09
6.53x + -6.97y + 2.52z <= 144.3
0.63x + 6.9y + 1.58z <= 674.21
0.98x + 6.22y + -6.27z <= 361.44
4.03x + 4.67y + -9.71z <= 361.65
1.44x + 5.1y + 5.19z <= 912.83
8.62x + 3.64y + -4.77z <= 149.99
6.11x + -3.31y + -1.45z <= 507.68
9.95x + -9.27y + 3.86z <= 402.24
-9.91x + -2.95y + -7.44z <= 374.41
4.14x + -2.55y + -2.69z <= 119.67
7.41x + 3.14y + -3.83z <= 144.53
6.13x + 4.98y + -5.41z <= 804.79
6.24x + 3.55y + 8.96z <= 819.2
-2.35x + -7.35y + 3.02z <= 526.24
9.01x + -3.79y + -1.81z <= 693.16
-7.69x + 5.49y + 9.11z <= 356.17
-4.32x + 9.4y + -9.98z <= 277.22
-6.92x + 7.03y + -2.45z <= 232.03
6.8x + 7.54y + -9.71z <= 336.13
3.8x + -3.85y + 2.79z <= 206.11
0.44x + 3.7y + 2.51z <= 523.83
-9.02x + 4.59y + 9.13z <= 215.25
4.43x + 6.76y + -2.45z <= 558.82
-2.18x + -3.3y + -9.94z <= 126.41
9.2x + 0.29y + -7.93z <= 858.15
-8.27x + -5.56y + -3.78z <= 553.08
3.88x + -1.28y + -3.18z <= 370.59
-0.26x + 2.17y + -6.37z <= 690.75
6.82x + 8.34y + -4.76z <= 177.75
6.85x + -1.23y + 6.08z <= 348.92
4.45x + 5.19y + -9.75z <= 716.86
-8.3x + -1.54y + -1.8z <= 618.38
-8.91x + 3.19y + 4.65z <= 843.45
0.42x + 1.02y + 5.08z <= 285.56
1.81x + 0.09y + -2.14z <= 696.32
1.14x + -4.58y + -2.75z <= 375.49
-4.23x + 8.05y + -7.54z <= 311.19
-8.67x + 9.13y + 3.17z <= 508.18
6.79x + 2.44y + -2.95z <= 246.8
-8.25x + 0.4y + 8.3z <= 802.18
-6.51x + -6.52y + 6.56z <= 276.2
-8.84x + -9.97y + 8.14z <= 201.61
-9.96x + 9.41y + 3.63z <= 722.25
-2.0x + 7.67y + -6.58z <= 677.02
2.99x + 1.1y + -2.46z <= 684.37
3.26x + 5.18y + -6.99z <= 491.42
1.86x + -1.21y + 8.34z <= 171.8
-0.53x + -2.16y + 9.85z <= 968.21
-0.98x + 0.41y + -5.54z <= 446.72
-9.78x + -6.51y + -0.07z <= 809.0
1.71x + -3.32y + 1.39z <= 478.83
-9.4x + -9.04y + -5.39z <= 278.44
4.4x + 1.39y + 1.81z <= 310.33
5.02x + 7.84y + 5.08z <= 492.62
-8.95x + 7.76y + -9.52z <= 272.26
2.99x + 5.72y + 6.95z <= 496.61
2.89x + -0.42y + -4.23z <= 358.96
-3.46x + -7.06y + -6.75z <= 595.27
6.09x + 5.02y + 8.62z <= 403.9
-5.76x + 0.12y + 7.82z <= 673.21
8.42x + 7.27y + -2.44z <= 220.8
-2.65x + -8.82y + -4.36z <= 746.44
-9.41x + 0.22y + -0.5z <= 568.47
-0.03x + -0.73y + 6.04z <= 673.4
-9.71x + 3.31y + 4.55z <= 160.88
3.63x + -8.27y + -9.82z <= 694.26
-2.76x + -5.34y + -8.23z <= 963.14
-4.78x + -2.47y + -1.09z <= 971.09
-7.01x + 1.02y + 0.51z <= 761.59
-7.79x + -9.59y + -7.53z <= 361.3
8.13x + 0.77y + -4.89z <= 225.29
-0.81x + -6.25y + -3.73z <= 698.74
9.76x + 5.04y + 3.16z <= 961.61
9.13x + -5.69y + 3.23z <= 253.99
-8.66x + 3.35y + 9.72z <= 261.36
5.34x + -8.28y + 7.36z <= 122.23
7.46x + 6.65y + 6.13z <= 104.96
-1.01x + 6.53y + -8.52z <= 760.51
-1.29x + -2.58y + 0.4z <= 263.76
2.05x + -7.49y + -9.3z <= 642.42
1.69x + -2.73y + 7.75z <= 439.98
-0.32x + 7.77y + 2.77z <= 495.88
9.61x + 5.12y + -3.75z <= 728.65
3.39x + -7.42y + -5.96z <= 357.75
-6.71x + -2.21y + 8.52z <= 281.33
4.74x + 3.51y + -6.67z <= 161.25
7.15x + -9.21y + -7.87z <= 368.67
4.56x + -6.2y + 7.49z <= 513.85
2.31x + -6.19y + 2.62z <= 270.36
-1.26x + 2.7y + -6.24z <= 263.91
7.73x + -0.33y + 4.75z <= 422.02
1.5x + 1.14y + 1.61z <= 129.69
-2.23x + -9.59y + 7.71z <= 527.19
7.65x + 5.5y + -3.26z <= 708.54
-5.63x + -3.18y + -5.66z <= 810.81
7.96x + -3.04y + -3.39z <= 550.11
-8.87x + 0.09y + -4.59z <= 289.65
6.17x + 0.12y + 7.06z <= 278.8
3.31x + 1.41y + -6.94z <= 798.12
4.16x + 0.34y + -7.14z <= 548.42
4.8x + -0.52y + 9.17z <= 379.74
-7.98x + -6.12y + 2.08z <= 611.24
-0.55x + -0.13y + -6.46z <= 291.95
-8.27x + 6.02y + 8.79z <= 765.84
1.02x + 8.05y + -5.49z <= 354.66
1.3x + 6.81y + 4.33z <= 958.02
1.56x + 6.47y + 3.4z <= 620.61
8.87x + -3.9y + -2.56z <= 215.59
1.27x + -3.06y + -7.9z <= 307.98
0.99x + -9.68y + -3.84z <= 645.46
1.32x + -2.38y + 2.61z <= 581.84
-3.15x + -5.28y + 8.27z <= 784.52
5.12x + -8.9y + 5.84z <= 633.16
4.85x + 7.26y + -4.26z <= 671.09
1.7x + 0.9y + 2.78z <= 980.87
-8.89x + 6.16y + -9.64z <= 607.49
2.99x + -9.36y + 8.2z <= 237.84
6.09x + 0.91y + -5.97z <= 377.91
0.52x + -9.17y + -3.37z <= 720.61
-3.89x + 7.64y + 4.09z <= 211.76
8.93x + -6.42y + -1.32z <= 271.38
-2.24x + 2.65y + -1.96z <= 494.53
2.0x + 7.93y + -3.48z <= 529.22
-1.12x + 7.97y + 8.71z <= 776.98
0.15x + -0.03y + -1.68z <= 952.29
7.91x + 4.72y + -6.45z <= 235.08
2.03x + -3.39y + 4.94z <= 407.28
-0.26x + -7.13y + -2.08z <= 528.82
0.57x + 5.64y + -3.22z <= 683.42
8.72x + 6.78y + 2.39z <= 731.1
2.5x + -9.82y + -5.02z <= 431.4
1.04x + -9.71y + 6.42z <= 403.98
3.32x + 9.38y + 1.2z <= 260.11
-9.01x + 6.99y + -7.73z <= 128.67
4.95x + 0.4y + -5.02z <= 242.69
7.71x + -9.11y + -6.28z <= 328.61
-7.93x + 8.17y + 1.47z <= 313.61
-2.17x + -7.07y + -4.3z <= 990.67
-6.06x + 3.38y + 4.09z <= 898.7
0.32x + -5.0y + 9.1z <= 319.49
0.07x + -1.06y + -6.46z <= 132.72
-5.61x + -2.81y + 2.31z <= 897.9
0.46x + -4.0y + 5.0z <= 145.19
-1.73x + -1.5y + -9.17z <= 542.65
6.77x + -5.31y + -3.45z <= 586.59
0.07x + 5.0y + -8.24z <= 126.25
-2.22x + 2.73y + -5.58z <= 500.48
-7.33x + -4.72y + 6.63z <= 236.43
-0.52x + -8.71y + 8.82z <= 532.41
-1.36x + 8.1y + -2.08z <= 923.7
-7.82x + -6.29y + -1.85z <= 457.7
9.41x + -4.02y + 7.42z <= 815.73
3.98x + 4.79y + -4.24z <= 284.47
0.15x + 1.79y + -9.56z <= 589.72
3.21x + 4.52y + 8.62z <= 948.47
4.49x + 3.67y + -1.16z <= 766.64
-0.19x + -4.9y + -0.86z <= 755.82
3.45x + -7.51y + 8.24z <= 295.08
1.48x + 6.52y + -4.6z <= 282.19
7.97x + 8.88y + -4.88z <= 515.82
-6.75x + 8.88y + 1.78z <= 178.09
1.78x + -7.35y + 5.83z <= 619.57
-3.32x + -1.25y + 8.68z <= 775.84
7.9x + 0.17y + 9.2z <= 763.7
-6.15x + 6.17y + 3.21z <= 125.25
-8.21x + -9.67y + 3.62z <= 622.14
-2.82x + -5.35y + 5.5z <= 431.41
-6.76x + -5.87y + -6.23z <= 214.98
3.84x + 2.34y + 3.96z <= 560.53
8.87x + -2.04y + 4.12z <= 634.1
-5.81x + -8.73y + -8.17z <= 607.58
3.31x + -2.7y + 3.54z <= 928.81
-8.12x + -9.8y + -2.56z <= 786.07
-7.21x + -4.77y + -8.55z <= 721.82
1.3x + 1.87y + -7.34z <= 503.5
2.93x + 3.51y + -9.31z <= 772.62
4.32x + 6.14y + -2.37z <= 725.32
0.9x + -6.13y + -3.69z <= 400.79
2.55x + -8.01y + -2.89z <= 154.56
-8.63x + 9.81y + -8.76z <= 945.28
-9.41x + 1.38y + -2.91z <= 681.83
-7.4x + -0.32y + -4.69z <= 182.91
6.71x + 0.39y + 3.09z <= 219.32
-0.5x + -0.41y + 2.37z <= 700.4
7.25x + 2.25y + -5.63z <= 226.49
-2.17x + 4.81y + -6.04z <= 364.46
-9.27x + 3.16y + 8.48z <= 570.9
3.23x + -8.83y + 2.86z <= 362.14
4.5x + -2.75y + -3.11z <= 407.71
2.48x + 6.73y + -7.87z <= 454.55
6.1x + -8.4y + -1.6z <= 957.04
9.72x + -2.42y + 9.74z <= 495.66
7.48x + -1.79y + -4.11z <= 953.77
-3.7x + 9.65y + -3.41z <= 552.59
3.17x + -5.6y + -9.8z <= 633.3
-3.05x + 1.7y + 6.83z <= 255.9
-0.52x + -2.07y + 5.87z <= 600.95
-2.41x + -8.38y + -5.4z <= 591.62
-3.55x + -2.93y + -7.7z <= 434.29
7.37x + -9.82y + -7.49z <= 875.69
-2.56x + -6.16y + -1.05z <= 763.57
5.26x + 5.73y + 1.84z <= 405.15
-2.95x + -5.32y + -5.13z <= 314.7
5.22x + 7.04y + 0.45z <= 856.2
4.72x + 9.12y + 2.48z <= 653.48
-7.79x + 1.63y + 8.16z <= 423.09
-0.22x + -1.18y + -4.5z <= 571.52
-1.56x + -2.09y + 9.65z <= 642.96
-2.43x + -8.98y + -5.79z <= 286.34
-9.75x + 2.14y + -1.06z <= 711.42
-7.05x + 8.88y + -3.16z <= 574.83
-3.66x + -6.66y + 4.43z <= 542.68
-1.41x + -1.75y + 1.32z <= 224.05
1.3x + 9.94y + -7.05z <= 179.37
7.73x + 2.22y + 2.22z <= 950.51
9.43x + 7.31y + 1.83z <= 351.16
2.74x + 2.63y + 7.3z <= 895.14
6.39x + 6.64y + -9.53z <= 112.94
-6.43x + 2.6y + 8.92z <= 309.37
2.57x + 2.97y + 5.23z <= 726.09
-5.73x + -5.76y + -8.92z <= 824.78
6.62x + -1.6y + -8.69z <= 655.0
-2.72x + -3.31y + 2.27z <= 119.68
-7.61x + 2.01y + 0.29z <= 290.72
-4.93x + 1.6y + -7.03z <= 488.01
8.59x + -6.27y + -8.45z <= 915.32
4.55x + 3.44y + -2.14z <= 464.83
-9.35x + 1.07y + 4.47z <= 845.07
-0.68x + 7.31y + -6.96z <= 871.62
7.39x + -1.91y + 1.67z <= 183.25
1.39x + -0.41y + 8.05z <= 927.07
5.02x + 9.76y + 2.54z <= 140.68
-1.14x + -5.26y + 6.13z <= 560.8
-2.23x + 7.42y + -2.94z <= 250.61
-7.82x + -9.39y + -3.73z <= 270.44
-1.25x + -8.33y + 3.46z <= 456.42
-6.0x + 6.45y + 5.68z <= 314.45
7.05x + -0.94y + 5.45z <= 932.68
6.35x + -8.01y + 7.86z <= 959.93
0.53x + 8.29y + -0.97z <= 345.47
0.66x + -2.12y + -2.88z <= 119.27
1.91x + -6.91y + -8.31z <= 986.74
9.27x + -0.2y + -7.95z <= 755.54
0.83x + 9.8y + -0.55z <= 951.13
3.21x + -5.52y + -9.73z <= 802.86
8.56x + 4.04y + 6.14z <= 708.83
3.95x + -1.04y + -5.76z <= 536.17
-2.78x + 7.9y + -9.04z <= 966.25
1.17x + 3.09y + 4.15z <= 860.06
-0.45x + -6.07y + 0.22z <= 176.4
-5.83x + 2.51y + -8.38z <= 715.3
7.78x + -6.16y + 7.82z <= 890.55
0.55x + -2.65y + -9.31z <= 829.26
-2.69x + -2.3y + -9.73z <= 240.9
-7.81x + -5.6y + 0.61z <= 642.07
9.49x + 7.32y + 4.82z <= 621.57
4.82x + 7.11y + -9.97z <= 656.7
-8.51x + 2.04y + -9.69z <= 885.55
6.26x + -1.49y + 3.71z <= 103.96
-5.37x + 6.28y + 1.17z <= 703.77
-1.8x + -3.97y + 6.65z <= 930.26
-9.49x + 7.67y + -8.39z <= 996.26
5.48x + -3.24y + -5.04z <= 569.91
-3.22x + -7.18y + 1.87z <= 299.97
9.08x + -7.93y + 8.62z <= 812.51
-6.65x + -9.27y + 2.12z <= 348.95
7.67x + 5.4y + 2.62z <= 326.5
6.14x + 5.3y + 4.3z <= 817.24
-0.99x + -3.82y + 8.75z <= 767.79
-4.65x + -6.77y + -7.09z <= 949.03
-8.42x + 9.59y + -4.67z <= 772.1
3.95x + 1.77y + 6.49z <= 739.59
-1.14x + 4.28y + 4.29z <= 299.27
2.63x + -1.19y + 0.51z <= 946.15
3.97x + -2.93y + -6.82z <= 191.48
8.53x + -6.05y + -4.01z <= 253.84
-5.11x + 9.17y + -8.55z <= 689.04
0.33x + -0.98y + -5.36z <= 746.74
-0.01x + 8.7y + 1.48z <= 203.86
5.39x + -7.67y + 1.32z <= 358.28
-4.53x + -6.39y + 9.56z <= 761.67
9.93x + 9.52y + 5.33z <= 935.92
-8.39x + 3.36y + 0.6z <= 514.16
5.43x + -0.79y + 4.28z <= 480.5
3.24x + 2.93y + 2.32z <= 467.53
7.63x + -7.65y + -8.22z <= 161.78
-8.04x + 3.23y + 2.13z <= 841.53
6.3x + -8.84y + 8.23z <= 591.09
-2.61x + -5.36y + -1.19z <= 570.86
-4.51x + -8.0y + -9.6z <= 865.0
-4.18x + -6.23y + 9.43z <= 899.85
-3.53x + -6.37y + -5.56z <= 788.08
-8.72x + -0.91y + 8.03z <= 244.84
2.41x + -6.6y + 2.51z <= 160.04
8.05x + 4.23y + 4.48z <= 608.35
-0.97x + 0.91y + -4.15z <= 946.09
-9.64x + 7.38y + -1.76z <= 292.58
4.7x + 4.25y + -4.58z <= 559.91
6.57x + -3.11y + -8.17z <= 750.18
-2.33x + -6.07y + 2.68z <= 991.14
-4.09x + -2.48y + -7.6z <= 238.77
-0.65x + -8.78y + -9.26z <= 613.33
-0.26x + -5.42y + 0.17z <= 553.14
-8.16x + -4.02y + -3.03z <= 540.91
-6.33x + -1.92y + -3.78z <= 943.26
5.06x + 2.84y + -9.41z <= 543.06
-5.45x + -8.05y + 8.28z <= 610.47
1.95x + 0.06y + 5.47z <= 864.49
-2.56x + 2.28y + -0.16z <= 990.76
-1.4x + -7.29y + -2.75z <= 668.56
7.5x + -5.38y + -0.01z <= 539.59
0.81x + -2.37y + -9.46z <= 194.68
-6.81x + 9.39y + 1.43z <= 988.52
-1.33x + -2.97y + -7.41z <= 755.18
9.43x + -2.89y + 7.35z <= 477.23
-9.27x + -2.55y + -2.12z <= 641.83
-2.97x + 4.63y + 6.18z <= 235.07
-1.79x + 0.75y + 2.15z <= 360.05
5.99x + -8.95y + -2.08z <= 805.13
-4.83x + 8.21y + 5.64z <= 203.25
-0.41x + 1.98y + -0.92z <= 788.57
3.94x + 6.26y + -1.69z <= 314.12
-1.28x + 2.19y + -5.17z <= 283.49
-1.91x + -5.53y + -9.26z <= 126.06
-4.77x + -1.22y + -7.11z <= 538.79
-3.31x + -2.08y + 3.54z <= 547.44
0.09x + 0.26y + 9.28z <= 464.92
8.47x + 4.42y + 6.03z <= 597.49
-9.61x + 0.27y + -9.55z <= 734.79
-0.28x + 5.97y + 5.05z <= 878.99
7.09x + -5.42y + -3.47z <= 495.26
0.64x + -9.35y + 0.86z <= 420.11
-6.17x + 4.35y + -3.99z <= 433.3
-0.85x + 3.6y + -4.95z <= 543.64
5.13x + -7.34y + -8.76z <= 691.8
2.7x + -2.92y + 0.15z <= 235.94
1.76x + 2.1y + 1.69z <= 584.5
-9.37x + -8.18y + 2.63z <= 773.96
1.72x + 3.66y + -2.0z <= 900.73
-6.68x + -4.44y + -0.53z <= 132.63
-3.0x + -3.78y + 9.83z <= 330.69
0.33x + 0.66y + -6.98z <= 734.15
-1.07x + -7.39y + -6.58z <= 685.75
-7.63x + 2.9y + 4.29z <= 759.08
1.04x + -9.19y + -7.78z <= 991.73
8.72x + -9.76y + 0.71z <= 966.86
6.85x + -9.71y + 7.7z <= 969.7
5.29x + 3.85y + -5.36z <= 456.56
0.37x + 0.07y + -2.08z <= 113.69
2.22x + -2.73y + -3.54z <= 789.74
6.87x + -5.73y + -1.85z <= 685.62
-1.83x + -8.09y + -0.35z <= 748.22
-2.22x + -4.5y + -6.42z <= 499.17
-4.9x + -3.89y + 8.86z <= 116.01
4.66x + 3.03y + 2.42z <= 930.42
-1.99x + 8.24y + -5.81z <= 984.76
4.32x + 3.32y + 3.37z <= 210.88
1.4x + -1.31y + 6.58z <= 600.46
8.35x + -8.64y + -9.66z <= 218.27
-7.9x + 9.18y + 9.69z <= 349.11
-8.54x + 6.2y + 6.26z <= 208.55
-5.13x + -5.67y + 7.56z <= 845.19
1.91x + 4.06y + 4.91z <= 581.26
-8.01x + -1.43y + 9.29z <= 568.79
0.81x + -0.11y + -7.87z <= 450.75
-4.07x + 8.14y + -6.5z <= 300.72
4.56x + 9.65y + 5.53z <= 172.99
9.56x + 9.75y + -3.94z <= 445.91
-0.78x + -2.1y + 7.71z <= 515.77
2.3x + -7.22y + -5.06z <= 172.95
7.98x + -7.23y + -2.13z <= 118.25
-8.61x + -6.78y + -2.94z <= 244.72
6.73x + 8.42y + -3.66z <= 732.38
7.29x + -2.8y + -0.58z <= 244.92
2.77x + -8.52y + 6.78z <= 960.33
-6.94x + 3.23y + 7.82z <= 891.0
-2.5x + -0.39y + 2.53z <= 514.18
7.63x + 8.2y + -1.46z <= 330.35
2.76x + -8.54y + 7.85z <= 805.31
0.84x + 7.16y + -5.58z <= 517.54
3.31x + -3.46y + -1.94z <= 909.86
8.41x + -5.39y + -1.91z <= 755.78
6.97x + -8.28y + 5.0z <= 449.79
-3.21x + -6.25y + 1.77z <= 400.07
-8.68x + -6.29y + 5.47z <= 273.1
-1.27x + -7.93y + -1.82z <= 162.66
-6.39x + 5.13y + 6.46z <= 792.03
-7.47x + -0.37y + 8.7z <= 138.07
9.63x + -6.28y + 4.72z <= 258.85
-3.38x + -5.85y + 9.52z <= 376.97
-6.22x + -1.61y + 1.79z <= 727.79
6.68x + 4.8y + 9.38z <= 875.69
-8.13x + -5.05y + 4.46z <= 772.75
-3.67x + 5.91y + -7.22z <= 123.3
9.02x + 9.67y + 2.41z <= 294.65
-3.02x + -8.12y + 6.39z <= 132.31
9.16x + 9.52y + -3.14z <= 643.21
9.37x + 2.49y + -2.63z <= 498.39
-7.02x + 7.47y + 7.38z <= 141.82
3.17x + 6.15y + -2.93z <= 416.62
1.85x + -3.39y + -2.0z <= 780.63
0.48x + -3.52y + -2.52z <= 511.73
0.44x + -9.65y + -0.05z <= 569.58
-7.55x + 0.37y + -6.3z <= 986.04
7.24x + -0.63y + 8.95z <= 958.08
1.98x + 2.83y + 4.35z <= 367.84
6.67x + 7.1y + 4.21z <= 105.22
0.15x + 3.86y + -0.12z <= 613.33
3.22x + 9.38y + -2.79z <= 425.31
-2.28x + -3.22y + 9.92z <= 469.81
-9.39x + 6.18y + -0.55z <= 478.12
-8.94x + -1.85y + -2.79z <= 843.32
8.01x + -0.81y + 6.7z <= 750.62
9.2x + 5.62y + -2.04z <= 356.15
-2.61x + -6.56y + 5.78z <= 511.37
0.61x + -9.07y + -7.26z <= 118.78
-0.46x + 7.09y + -6.89z <= 998.29
-9.16x + -2.2y + 7.02z <= 647.35
0.23x + 4.08y + -1.02z <= 950.18
-1.65x + 2.97y + -0.9z <= 592.35
-3.2x + 5.37y + 1.67z <= 642.67
0.56x + 2.99y + 0.02z <= 896.2
3.05x + 3.13y + -0.95z <= 383.74
-9.26x + 5.0y + 5.96z <= 907.22
3.06x + 8.87y + -4.47z <= 952.03
-8.87x + -3.0y + 7.9z <= 377.1
2.34x + 4.77y + -4.47z <= 193.11
8.89x + 8.69y + 8.25z <= 248.42
-2.59x + -4.24y + 0.08z <= 228.66
9.95x + 7.09y + 4.57z <= 772.86
5.9x + 4.21y + 2.5z <= 499.87
2.97x + 0.86y + -9.55z <= 958.8
8.53x + -7.27y + 0.01z <= 996.48
-4.86x + 9.32y + -7.61z <= 371.23
2.96x + 2.15y + 1.72z <= 199.1
1.94x + -3.86y + -6.23z <= 466.09
4.56x + 8.96y + -5.06z <= 507.33
-6.6x + 7.17y + -5.26z <= 331.5
9.09x + 7.87y + 8.94z <= 855.73
-2.57x + 0.17y + 3.3z <= 603.8
-9.23x + 5.53y + -3.0z <= 646.97
5.56x + -5.8y + 6.79z <= 376.81
-6.73x + -8.78y + -1.29z <= 168.09
-1.54x + -0.28y + 9.78z <= 832.13
3.85x + 5.02y + 7.43z <= 856.35
5.45x + -4.72y + -0.35z <= 497.74
-0.79x + -6.43y + -5.1z <= 798.37
2.95x + 5.37y + -6.45z <= 499.1
-1.46x + 5.41y + -6.71z <= 222.24
-4.77x + 3.88y + 5.7z <= 568.15
-2.48x + 3.34y + -5.24z <= 901.87
-5.43x + 1.84y + -9.19z <= 665.28
3.33x + 8.12y + 5.51z <= 741.16
3.84x + 0.34y + -2.29z <= 538.14
-1.19x + -8.97y + 6.5z <= 404.6
3.13x + -8.71y + -5.95z <= 343.56
-8.09x + -5.11y + 1.12z <= 569.26
0.21x + -0.2y + -8.45z <= 291.77
-7.03x + -0.32y + -8.15z <= 513.5
9.62x + -7.34y + -0.65z <= 905.8
