max -7.21x + 3.78y + -1.01z
1.52x + -8.61y + 4.73z <= 145.15
-3.11x + -0.12y + 8.89z <= 489.79
-4.53x + -6.95y + 4.86z <= 335.08
2.54x + 3.79y + -2.44z <= 846.82
-9.57x + 8.47y + -3.13z <= 677.19
1.94x + 7.09y + -2.95z <= 259.53
3.47x + -4.94y + 0.72z <= 118.02
-1.41x + 1.43y + -8.41z <= 530.61
-3.27x + 0.42y + -8.71z <= 832.68
-7.28x + -3.22y + 2.94z <= 828.37
-9.41x + -4.5y + -5.16z <= 384.35
5.11x + -0.38y + 5.45z <= 246.42
-7.26x + 9.49y + -1.25z <= 917.66
6.33x + -9.25y + -3.37z <= 219.79
-8.88x + -4.0y + 6.93z <= 351.75
2.78x + -6.51y + 5.92z <= 179.93
7.25x + -2.1y + -6.25z <= 747.34
8.68x + 7.42y + 8.83z <= 850.46
-9.39x + 2.8y + 9.43z <= 654.9
-3.83x + -7.79y + 7.5z <= 256.53
5.71x + -3.08y + -8.12z <= 469.06
9.59x + 2.02y + -6.09z <= 377.47
1.6x + -4.46y + -3.04z <= 699.99
0.74x + 5.14y + -5.33z <= 625.31
6.85x + 4.12y + -3.46z <= 857.22
6.61x + -1.7y + -2.66z <= 285.07
8.74x + -3.86y + -5.81z <= 222.92
-9.42x + -5.65y + -5.64z <= 542.56
9.05x + 5.92y + -2.93z <= 394.54
-6.0x + 7.86y + -2.47z <= 675.24
-3.36x + 5.0y + -0.86z <= 879.51
-4.84x + 3.77y + 9.49z <= 551.93
-5.14x + 4.67y + -5.09z <= 945.02
-6.92x + -6.84y + -8.15z <= 622.01
-7.49x + 6.27y + 7.0z <= 449.58
4.23x + 5.19y + -0.77z <= 195.37
-5.87x + -4.15y + -8.74z <= 510.31
-7.01x + 0.32y + 1.87z <= 501.84
-2.26x + -4.91y + 0.7z <= 193.82
-8.4x + 0.95y + -8.72z <= 833.42
2.03x + -2.99y + -4.67z <= 940.91
-0.23x + 4.73y + 7.39z <= 508.73
-9.43x + -9.19y + 4.44z <= 770.22
8.08x + -7.36y + -8.63z <= 299.25
9.15x + -5.09y + 7.96z <= 766.53
1.28x + 8.49y + 8.05z <= 118.37
-4.19x + 2.36y + 8.33z <= 222.77
7.33x + -7.34y + 2.99z <= 655.69
7.69x + 4.32y + 8.8z <= 660.79
-1.42x + -0.65y + -6.02z <= 626.07
6.28x + -9.48y + 3.47z <= 272.96
9.35x + 2.12y + -3.55z <= 436.8
-3.21x + 8.33y + 2.65z <= 379.14
-1.74x + 8.68y + 0.94z <= 409.05
8.38x + -0.31y + -3.01z <= 187.85
2.38x + -8.04y + 3.96z <= 593.72
-1.78x + 8.5y + 0.74z <= 862.75
-3.65x + -9.08y + 8.52z <= 571.79
2.79x + 5.54y + 9.63z <= 893.73
1.76x + 0.85y + 7.16z <= 395.37
-2.34x + 9.24y + 0.91z <= 253.59
-4.11x + -8.41y + 5.42z <= 759.82
7.91x + -1.76y + -7.18z <= 803.28
8.19x + 6.95y + -9.76z <= 607.25
6.68x + 3.52y + 7.85z <= 928.44
6.06x + -0.71y + 7.5z <= 203.21
7.2x + -0.05y + 9.77z <= 480.61
4.73x + -1.45y + -4.68z <= 566.75
-3.87x + 9.33y + 6.44z <= 843.6
-3.64x + -2.04y + 2.99z <= 540.83
6.58x + -3.04y + 5.88z <= 330.56
-4.23x + 0.5y + 6.11z <= 653.41
-0.74x + -6.08y + 3.83z <= 197.42
-0.32x + -9.15y + -9.42z <= 158.75
-3.9x + 8.15y + 4.94z <= 890.01
-4.11x + 6.07y + 8.07z <= 686.4
2.06x + -8.98y + 7.26z <= 428.12
8.56x + 1.12y + 7.55z <= 649.44
5.54x + 4.98y + 3.28z <= 911.34
3.66x + 0.79y + -2.67z <= 350.5
6.33x + 0.39y + 0.83z <= 170.74
-4.27x + -2.83y + 6.45z <= 712.96
5.41x + 4.81y + -3.14z <= 719.3
1.06x + -2.7y + 1.86z <= 653.28
6.74x + -7.33y + 9.33z <= 357.07
-9.41x + 4.94y + -8.89z <= 207.49
-6.8x + 7.99y + 1.51z <= 993.35
0.41x + 7.11y + -9.64z <= 203.51
3.19x + -8.15y + -6.16z <= 530.52
6.64x + -1.25y + 4.21z <= 516.7
-8.78x + -5.74y + 6.52z <= 988.42
2.23x + 5.31y + 1.44z <= 804.85
-4.53x + 7.87y + 5.09z <= 900.99
8.36x + 2.51y + -3.43z <= 129.53
9.57x + 6.82y + -9.84z <= 428.32
4.29x + 0.73y + 8.68z <= 869.78
5.66x + 9.78y + 6.46z <= 388.13
-6.44x + 1.41y + -1.35z <= 968.4
-2.69x + 3.06y + 7.84z <= 223.8
4.04x + -0.33y + -7.33z <= 114.64
2.33x + 8.17y + 3.69z <= 174.65
-2.49x + -7.69y + -0.86z <= 139.11
-5.74x + -8.12y + -9.64z <= 253.32
-2.29x + -7.37y + 5.77z <= 540.5
-9.29x + -9.01y + 0.72z <= 401.57
1.54x + 3.79y + 7.94z <= 164.35
1.86x + 1.58y + 0.66z <= 731.04
1.21x + 9.71y + 5.13z <= 641.9
5.06x + -2.1y + 4.81z <= 125.56
6.95x + -9.36y + -0.13z <= 513.91
2.61x + -1.18y + 0.95z <= 442.04
-7.37x + -4.19y + -7.87z <= 507.12
3.45x + 8.09y + -8.37z <= 622.18
5.4x + 4.99y + 9.72z <= 329.69
1.49x + 8.61y + 3.28z <= 682.14
-1.03x + -4.23y + 9.45z <= 570.87
0.84x + 9.86y + -2.44z <= 786.83
0.03x + -7.76y + 3.57z <= 686.57
-1.11x + 7.86y + -4.12z <= 968.09
6.8x + -1.06y + 7.81z <= 804.47
-0.18x + 1.5y + 6.28z <= 528.86
0.72x + 3.84y + 3.98z <= 551.12
6.08x + -3.24y + 8.6z <= 301.93
-8.17x + -6.64y + 5.72z <= 971.37
-9.24x + 1.4y + -0.91z <= 429.99
9.4x + 9.19y + 6.0z <= 950.64
-0.51x + 1.01y + -4.72z <= 918.64
6.29x + 7.85y + 6.36z <= 972.29
4.04x + 0.51y + 8.67z <= 617.76
9.79x + 5.89y + -1.37z <= 465.37
-4.26x + -2.54y + -2.57z <= 108.78
-1.47x + -5.17y + -8.74z <= 745.45
5.95x + -1.24y + 5.7z <= 830.33
-5.89x + -8.68y + 6.79z <= 652.66
0.59x + -7.72y + -1.65z <= 629.4
-9.78x + -6.84y + -5.32z <= 261.6
-9.39x + -9.09y + 2.12z <= 526.31
-5.35x + 7.11y + -2.0z <= 689.8
0.17x + -5.91y + -4.59z <= 951.0
1.65x + 0.37y + 6.68z <= 787.83
1.11x + 9.48y + -2.13z <= 376.93
-5.06x + -2.15y + 4.87z <= 788.76
-1.94x + -9.94y + -4.92z <= 430.48
-4.79x + 6.38y + 2.13z <= 755.45
9.37x + -7.87y + 9.37z <= 219.63
-9.67x + 9.7y + 1.87z <= 725.89
5.96x + 1.26y + -9.12z <= 803.41
-0.04x + -1.66y + -2.66z <= 136.99
0.14x + -7.53y + -2.7z <= 483.76
-7.51x + 3.07y + 0.55z <= 926.31
5.81x + -6.51y + -0.7z <= 560.26
-1.81x + 9.38y + 9.1z <= 893.6
-7.55x + -8.82y + 1.83z <= 109.04
4.87x + 3.23y + -3.04z <= 480.8
0.93x + -7.82y + 4.93z <= 619.6
-7.6x + -9.56y + 8.5z <= 118.23
4.46x + 0.39y + 7.27z <= 281.24
-4.45x + -9.29y + -4.46z <= 685.91
9.54x + 9.37y + 5.3z <= 702.55
-7.26x + -3.43y + 2.26z <= 256.79
4.88x + 0.85y + 0.39z <= 606.78
9.83x + 0.78y + 3.63z <= 885.63
-7.6x + -8.02y + -4.78z <= 661.48
2.72x + -1.4y + -8.62z <= 616.88
-5.89x + -5.5y + 2.69z <= 216.82
6.37x + -7.18y + -8.84z <= 915.15
-5.07x + -7.26y + 9.29z <= 305.45
5.86x + 5.51y + 2.8z <= 622.49
9.1x + -2.89y + -1.55z <= 931.43
-2.38x + 5.54y + 8.31z <= 937.99
5.34x + -4.91y + 6.57z <= 269.97
-4.22x + -9.59y + 8.7z <= 388.84
-0.9x + 3.96y + 2.69z <= 776.77
-7.14x + -3.43y + -1.88z <= 979.57
-5.78x + -3.17y + 3.18z <= 413.85
-5.45x + 4.12y + -0.73z <= 118.12
-0.87x + -1.29y + 1.18z <= 406.53
2.76x + 5.82y + 5.25z <= 975.07
5.82x + 1.88y + 1.22z <= 624.17
0.37x + 4.39y + 4.19z <= 525.82
-2.79x + -5.13y + -5.63z <= 168.9
9.02x + -3.77y + 7.26z <= 465.94
-5.17x + 1.2y + -6.54z <= 986.06
-4.34x + 6.22y + 8.63z <= 663.64
4.78x + -6.41y + -2.34z <= 942.72
-1.96x + 2.25y + 5.71z <= 741.21
-8.01x + 0.98y + 8.84z <= 856.08
1.31x + 4.15y + 6.0z <= 200.16
-4.81x + 6.55y + 9.95z <= 751.28
8.64x + -3.2y + -6.47z <= 487.42
6.35x + -7.24y + -4.33z <= 706.47
1.89x + -9.91y + -8.39z <= 428.48
2.38x + 9.85y + -8.38z <= 753.23
-9.31x + -5.84y + 4.73z <= 313.63
-9.65x + -2.02y + 1.25z <= 571.79
-0.75x + -2.26y + -5.56z <= 989.97
3.67x + -8.49y + 1.22z <= 690.96
-7.13x + -8.25y + -9.32z <= 829.73
-4.0x + 5.95y + 0.38z <= 915.48
-1.28x + -6.19y + 7.42z <= 417.47
-1.23x + -9.61y + -5.71z <= 888.19
9.86x + 8.15y + -6.45z <= 665.13
-1.69x + 8.61y + 6.3z <= 244.15
7.27x + 5.03y + 8.93z <= 886.11
-1.73x + 6.84y + -3.63z <= 973.28
-7.64x + -7.89y + -2.36z <= 494.65
9.27x + -2.51y + 6.75z <= 698.0
3.38x + 9.72y + 3.78z <= 223.63
-0.69x + -6.69y + -0.55z <= 612.73
5.87x + -6.95y + -0.59z <= 496.37
4.02x + 1.98y + 2.83z <= 187.36
-7.0x + 4.54y + -4.39z <= 531.79
-7.31x + -6.46y + -9.59z <= 870.73
5.95x + -0.02y + -4.61z <= 464.37
-5.94x + 6.37y + 3.12z <= 993.95
5.58x + 8.52y + 2.12z <= 910.58
-4.31x + 1.02y + -6.7z <= 719.07
8.02x + 9.77y + -4.56z <= 562.26
0.02x + 2.04y + 3.86z <= 328.69
5.56x + 7.91y + -1.57z <= 105.72
4.09x + 2.21y + 5.59z <= 785.73
0.11x + 8.86y + -6.93z <= 642.65
1.28x + -7.15y + 3.8z <= 761.96
2.65x + -9.38y + -8.73z <= 436.82
-4.66x + -7.48y + 3.07z <= 771.52
-5.36x + -1.34y + -8.67z <= 963.32
2.1x + -7.21y + 9.6z <= 709.0
9.76x + -9.43y + 9.14z <= 462.64
7.08x + 1.85y + 4.44z <= 230.32
5.62x + 6.85y + 3.7z <= 705.77
-2.96x + -7.85y + -0.27z <= 371.59
7.56x + 0.15y + -7.46z <= 598.02
6.33x + 5.85y + -1.41z <= 678.31
3.94x + -7.63y + 9.83z <= 662.22
3.68x + -0.62y + -5.42z <= 192.96
6.9x + -4.46y + -6.64z <= 645.71
-4.28x + 9.32y + -1.6z <= 447.67
-1.82x + 7.98y + 8.33z <= 466.89
-3.76x + 1.39y + -4.07z <= 233.06
3.24x + -1.92y + -2.65z <= 685.47
5.48x + -2.51y + -3.49z <= 262.8
9.96x + -3.08y + 6.49z <= 367.44
6.85x + 4.32y + 9.1z <= 639.58
-2.82x + 7.2y + -0.48z <= 491.06
0.3x + 9.57y + -9.9z <= 405.69
4.1x + -5.53y + -7.27z <= 392.34
2.74x + 3.68y + 2.77z <= 847.57
-2.19x + -3.29y + -8.24z <= 782.15
-9.54x + 7.22y + -5.23z <= 564.75
1.87x + -2.49y + -0.89z <= 473.81
-2.71x + 3.79y + 3.95z <= 121.16
1.49x + -1.09y + -6.97z <= 683.47
-1.4x + -0.61y + -1.63z <= 629.04
-4.98x + 9.12y + -6.48z <= 184.37
1.99x + -5.56y + 1.78z <= 700.27
2.54x + -9.76y + 1.19z <= 105.83
3.95x + 2.4y + -9.46z <= 663.16
-5.63x + 5.09y + 7.09z <= 342.64
0.23x + -5.31y + -3.19z <= 979.58
-7.07x + -9.96y + -5.67z <= 861.67
-8.11x + -9.26y + 5.24z <= 757.09
-8.7x + -0.18y + -6.45z <= 153.66
7.47x + 3.97y + -7.92z <= 799.06
0.93x + -4.97y + -0.63z <= 247.38
6.41x + -0.95y + -5.89z <= 247.46
-6.34x + 1.09y + -7.99z <= 984.12
0.88x + -7.55y + 1.92z <= 647.42
-1.61x + 3.0y + -0.8z <= 381.57
-2.65x + 3.78y + 6.67z <= 289.98
-4.55x + 2.75y + 7.39z <= 442.63
-3.24x + -5.13y + 7.93z <= 687.31
9.99x + -9.34y + -5.13z <= 781.11
2.76x + -0.53y + -0.66z <= 826.18
5.35x + -3.87y + 6.25z <= 666.04
2.25x + 5.16y + 2.46z <= 612.09
-7.42x + -0.78y + -9.52z <= 812.02
-2.21x + -5.61y + -4.02z <= 871.76
6.46x + -5.19y + 6.86z <= 816.65
4.34x + 9.24y + -9.91z <= 207.21
-3.93x + -7.5y + -3.33z <= 540.09
-2.32x + 6.44y + 9.85z <= 888.03
1.95x + 7.77y + -7.38z <= 934.65
1.53x + 9.19y + -1.96z <= 172.41
-6.3x + 0.58y + 5.38z <= 252.15
-6.98x + -1.91y + 0.3z <= 636.51
3.48x + 8.7y + -9.99z <= 818.08
7.44x + -5.6y + 0.9z <= 956.04
-3.29x + 7.86y + -2.59z <= 780.31
-4.77x + -5.1y + -1.08z <= 723.85
1.57x + -3.47y + 5.75z <= 994.56
9.72x + -9.59y + 9.76z <= 904.02
-0.95x + -3.9y + -7.41z <= 784.72
1.45x + -3.18y + 6.21z <= 369.34
8.86x + -0.77y + -5.73z <= 862.03
-4.21x + 3.7y + -5.11z <= 636.48
4.57x + 9.4y + 6.21z <= 524.0
4.6x + 5.29y + 8.63z <= 367.84
4.79x + -6.86y + -7.79z <= 927.45
-8.02x + 0.68y + 8.56z <= 513.67
7.02x + 5.88y + -2.46z <= 701.34
3.15x + 3.93y + -0.05z <= 465.13
-4.95x + 2.22y + -2.3z <= 679.61
-4.89x + -3.61y + 0.13z <= 675.26
-0.82x + 0.32y + -3.9z <= 763.76
-6.64x + 3.61y + 1.31z <= 560.78
-1.47x + 0.23y + -3.59z <= 372.81
0.47x + -8.04y + -0.95z <= 477.61
5.57x + -4.57y + -4.86z <= 810.33
-9.26x + 4.21y + 8.97z <= 399.02
2.81x + 1.17y + 8.01z <= 780.38
-1.18x + -6.04y + 0.02z <= 382.96
0.7x + 9.75y + 8.53z <= 346.55
1.57x + 7.4y + -9.26z <= 684.65
-0.35x + 4.08y + 9.25z <= 630.76
6.09x + -1.4y + -0.99z <= 659.14
-7.38x + -5.58y + -5.89z <= 109.13
-4.23x + -8.57y + -5.45z <= 394.18
-6.92x + 1.41y + -5.81z <= 102.19
-2.52x + 6.44y + -9.66z <= 178.89
9.05x + -1.24y + -8.65z <= 273.71
-8.42x + -5.91y + 3.01z <= 464.6
2.88x + -2.39y + -0.4z <= 803.53
-6.9x + 8.8y + 0.59z <= 488.43
5.97x + -9.93y + -5.72z <= 554.68
-2.09x + 7.42y + 0.14z <= 539.42
-8.16x + 6.94y + -2.47z <= 920.8
0.09x + -6.54y + 6.6z <= 784.41
-6.66x + 7.95y + 3.35z <= 907.96
4.71x + -6.26y + 0.76z <= 764.96
-3.28x + 0.52y + -0.38z <= 331.21
5.03x + 0.5y + -2.74z <= 417.65
-8.03x + -8.34y + 3.84z <= 831.55
-0.85x + 0.87y + -4.94z <= 101.94
0.53x + -2.42y + 9.08z <= 682.5
7.72x + -5.91y + 2.88z <= 235.04
-7.86x + 0.96y + -2.0z <= 742.48
-7.87x + 5.92y + -6.82z <= 173.64
0.09x + 5.81y + 9.74z <= 574.7
1.84x + 1.76y + -5.82z <= 788.54
8.81x + -5.51y + -9.01z <= 378.56
4.44x + 8.11y + -6.4z <= 924.74
0.01x + -5.47y + 7.72z <= 804.95
-9.47x + -1.31y + 3.18z <= 408.34
-1.4x + 6.42y + -7.58z <= 635.63
-8.71x + 1.22y + 9.96z <= 574.02
-6.64x + -9.47y + -7.29z <= 970.9
-5.72x + 1.44y + -8.68z <= 184.05
8.09x + -8.0y + 5.18z <= 431.62
9.82x + -3.18y + 7.57z <= 454.39
8.09x + 2.2y + -9.8z <= 781.92
0.66x + -8.13y + 4.41z <= 351.85
-8.48x + 4.19y + 6.66z <= 621.79
-3.52x + -0.57y + 0.88z <= 652.56
8.95x + 6.71y + 7.66z <= 929.39
-6.09x + -3.57y + -5.0z <= 221.49
-9.22x + -3.05y + 1.27z <= 631.3
-7.09x + 8.49y + 9.62z <= 921.64
-5.13x + 8.84y + 1.64z <= 725.69
-7.53x + -1.55y + 2.06z <= 432.49
0.36x + 4.26y + -7.95z <= 435.77
-8.03x + -7.52y + -2.78z <= 691.13
-7.48x + -4.56y + 0.08z <= 416.94
-9.88x + 9.39y + 4.86z <= 745.13
6.59x + -2.77y + 0.39z <= 273.89
-8.23x + -8.2y + -7.28z <= 503.11
7.7x + -4.26y + -6.41z <= 447.93
4.29x + -6.29y + -5.56z <= 878.23
2.96x + -5.68y + -0.6z <= 372.38
5.3x + 8.07y + 5.04z <= 537.23
-0.64x + -4.19y + 5.11z <= 915.76
7.83x + -9.69y + 4.59z <= 728.09
-6.24x + 4.28y + 8.01z <= 638.22
9.15x + -0.41y + -5.09z <= 163.02
-2.29x + -9.11y + 9.87z <= 992.38
7.47x + 8.15y + -2.82z <= 972.44
-9.39x + -4.39y + -0.14z <= 137.39
1.58x + -0.21y + 1.03z <= 955.3
1.22x + -7.38y + 0.3z <= 436.07
8.14x + 8.83y + -4.03z <= 898.81
-1.43x + 9.26y + 4.98z <= 164.11
3.54x + 6.46y + -5.46z <= 590.38
1.05x + 0.21y + -7.54z <= 158.6
6.0x + -2.61y + 4.0z <= 891.29
-2.4x + 9.19y + -8.68z <= 445.65
4.73x + 5.31y + -8.12z <= 196.92
9.57x + -0.47y + -6.4z <= 424.52
4.35x + 0.96y + -1.5z <= 698.77
4.48x + 9.15y + 3.32z <= 121.83
6.38x + -7.76y + -6.72z <= 352.56
2.56x + -7.63y + 7.96z <= 274.61
1.81x + -2.62y + 2.44z <= 375.13
7.1x + 7.83y + -4.64z <= 172.66
7.12x + -9.8y + 9.13z <= 760.94
-8.07x + 1.72y + 5.65z <= 239.77
9.56x + -5.76y + -4.71z <= 474.91
6.72x + 3.07y + 4.39z <= 764.86
4.15x + -1.24y + -0.27z <= 422.79
5.16x + 8.13y + -5.14z <= 737.95
-0.64x + -6.85y + -1.94z <= 290.97
-9.88x + -4.56y + 5.98z <= 112.39
-7.97x + -3.79y + 3.53z <= 319.93
-8.15x + 4.46y + 7.46z <= 187.84
2.9x + -9.68y + -0.96z <= 802.27
-8.74x + -6.31y + 5.72z <= 239.89
3.29x + 5.13y + -9.49z <= 873.3
1.08x + -8.13y + 5.72z <= 169.9
-6.65x + 8.04y + -3.53z <= 786.1
-9.2x + 5.6y + -4.15z <= 712.6
7.59x + -9.58y + -7.2z <= 602.29
-0.51x + -4.28y + -0.41z <= 257.47
-8.24x + 6.61y + -9.83z <= 448.12
8.36x + 5.29y + -9.15z <= 162.87
-2.52x + -6.1y + 4.68z <= 915.79
-6.34x + 6.53y + -0.48z <= 755.28
2.66x + -0.25y + 6.6z <= 370.66
2.25x + -1.1y + -1.19z <= 416.61
8.8x + -5.4y + 3.95z <= 210.31
-1.63x + -0.61y + -5.35z <= 812.15
2.12x + -7.76y + -1.87z <= 195.51
-1.36x + 8.44y + 4.84z <= 391.03
-1.2x + 3.17y + 3.04z <= 335.13
-8.14x + 3.38y + -2.99z <= 453.04
-4.19x + 8.55y + 5.93z <= 160.0
0.93x + -2.96y + 1.74z <= 744.61
-8.48x + -2.43y + 4.43z <= 627.41
7.04x + -1.33y + 2.74z <= 932.72
-7.12x + -8.61y + -6.07z <= 523.32
9.78x + -1.79y + -2.23z <= 441.53
-9.69x + 6.65y + -9.01z <= 233.43
-2.96x + -2.55y + -9.42z <= 365.66
-8.01x + -0.2y + -6.69z <= 938.62
6.93x + -7.45y + -2.73z <= 304.45
-9.18x + -9.81y + -7.11z <= 765.87
4.52x + -9.9y + -0.27z <= 128.02
-2.08x + -1.81y + 3.55z <= 917.17
-6.29x + 6.22y + 7.4z <= 714.34
-1.47x + -0.36y + -2.43z <= 232.07
5.93x + -0.77y + 5.03z <= 453.61
7.9x + 0.66y + 0.94z <= 942.53
-4.56x + 5.55y + -7.33z <= 172.32
9.6x + -3.38y + -7.75z <= 449.05
7.83x + 5.36y + 8.8z <= 511.82
6.42x + 1.06y + -3.39z <= 949.71
-5.69x + -7.64y + -4.94z <= 445.85
-2.2x + 0.28y + 9.84z <= 464.67
-2.67x + 6.71y + -2.65z <= 683.59
8.97x + 1.79y + -5.19z <= 868.12
2.84x + 1.87y + -6.04z <= 359.98
-2.35x + -3.98y + 2.51z <= 720.73
-4.8x + 4.54y + -7.79z <= 981.04
-7.66x + 1.62y + 3.56z <= 540.83
6.08x + 8.88y + -5.77z <= 174.9
3.81x + -1.78y + 6.17z <= 603.08
6.37x + -3.23y + 8.77z <= 339.81
-9.65x + -7.57y + -5.75z <= 997.26
-7.05x + -3.03y + 2.89z <= 255.9
5.54x + -3.91y + -5.8z <= 289.93
-6.38x + -9.27y + -4.72z <= 759.85
-5.5x + -9.9y + 7.76z <= 557.12
7.86x + 6.88y + -5.98z <= 872.81
-1.48x + -6.07y + 5.87z <= 640.83
3.95x + 7.5y + 7.83z <= 393.35
-5.32x + -4.93y + -0.23z <= 399.84
8.72x + -3.05y + 6.57z <= 818.49
6.59x + 0.73y + -5.39z <= 546.26
8.54x + -9.39y + 8.79z <= 341.13
-4.07x + 7.76y + 8.0z <= 634.27
-5.12x + -3.7y + 2.36z <= 124.86
-4.02x + -9.59y + 4.62z <= 629.49
-7.76x + -5.32y + -4.07z <= 997.46
-8.35x + 4.78y + 5.54z <= 578.34
7.09x + -7.24y + -8.14z <= 649.42
2.2x + -4.8y + -5.14z <= 556.25
5.27x + -8.98y + 6.21z <= 567.87
-0.51x + -2.57y + 9.16z <= 544.42
-0.03x + 2.09y + 7.48z <= 617.37
6.74x + -0.81y + 8.5z <= 105.09
-9.71x + -1.14y + -5.38z <= 558.19
1.06x + -0.39y + -1.91z <= 906.9
-1.23x + -1.7y + 1.18z <= 862.13
3.07x + 9.34y + -2.9z <= 338.47
7.98x + 2.11y + 3.09z <= 675.79
8.34x + -6.19y + 8.83z <= 194.21
2.6x + 2.76y + 5.74z <= 469.22
-1.94x + -2.29y + -4.16z <= 991.93
-0.9x + -7.12y + -0.96z <= 541.82
6.84x + 0.22y + 0.01z <= 450.09
2.66x + -5.13y + 9.84z <= 681.9
8.46x + 1.91y + 3.37z <= 664.92
-0.5x + 1.37y + 4.42z <= 816.77
8.36x + -0.09y + -9.54z <= 665.59
-2.22x + 3.56y + -8.23z <= 947.26
-2.79x + -6.61y + -0.5z <= 123.76
8.92x + -7.58y + 6.43z <= 670.7
0.48x + -5.54y + -2.64z <= 502.83
8.85x + -0.85y + 4.91z <= 648.94
1.5x + -1.55y + 3.71z <= 985.75
0.82x + 9.07y + -1.8z <= 300.44
-7.39x + -0.86y + -7.74z <= 579.5
-4.94x + 4.61y + 7.12z <= 259.0
0.55x + 6.42y + -5.11z <= 637.79
2.98x + 2.28y + -2.84z <= 912.06
-1.07x + 3.76y + 9.87z <= 898.16
-0.4x + -2.76y + -4.23z <= 908.66
-1.24x + 0.3y + 5.28z <= 166.42
9.96x + 9.68y + 1.28z <= 752.77
3.08x + 5.57y + 7.47z <= 672.21
-6.27x + -2.79y + -2.14z <= 476.01
4.09x + -5.38y + -5.54z <= 324.53
4.02x + 4.36y + 3.7z <= 973.36
-8.64x + 4.3y + 8.56z <= 769.24
-7.77x + -4.41y + -9.69z <= 452.45
-2.08x + 9.29y + -0.43z <= 946.04
-9.4x + 5.99y + 0.3z <= 274.51
6.87x + -0.36y + 4.85z <= 368.68
-5.72x + -8.43y + -5.81z <= 598.58
-3.32x + -4.77y + 9.51z <= 586.51
-1.52x + 0.4y + -2.99z <= 679.81
-8.95x + 3.3y + -7.5z <= 817.13
9.47x + 4.84y + 1.61z <= 554.63
-3.22x + -6.45y + -4.52z <= 209.13
-5.11x + 3.59y + 7.61z <= 366.27
-2.07x + -5.7y + 8.62z <= 888.38
7.0x + -1.91y + 4.98z <= 641.61
-0.8x + -8.87y + -4.88z <= 823.29
7.42x + -6.59y + -9.48z <= 631.75
4.99x + 2.34y + 2.73z <= 291.3
-1.34x + -1.82y + -7.04z <= 203.03
-3.51x + -0.51y + -5.78z <= 633.9
-8.86x + -8.48y + 9.06z <= 647.67
3.59x + 0.25y + 0.59z <= 430.83
-8.86x + -2.66y + 4.8z <= 467.86
0.41x + 6.52y + -3.63z <= 961.51
-2.38x + 5.78y + -6.09z <= 897.51
3.59x + -2.29y + -9.55z <= 202.52
1.73x + 0.18y + 8.94z <= 280.38
8.64x + 6.6y + -0.25z <= 700.54
-9.2x + -7.24y + 7.36z <= 351.14
5.86x + -6.18y + -9.93z <= 520.18
9.24x + -4.13y + 8.16z <= 493.8
9.63x + -7.23y + 4.86z <= 311.58
-1.49x + -2.44y + 3.9z <= 415.21
4.82x + -4.06y + 4.83z <= 938.85
0.28x + -3.79y + 3.24z <= 532.74
-5.7x + -5.12y + 6.16z <= 876.87
-8.46x + 2.1y + 4.25z <= 354.88
-5.29x + 1.22y + 7.33z <= 870.11
2.75x + 9.9y + 9.61z <= 740.31
2.11x + 8.17y + 3.47z <= 643.77
-1.36x + -7.92y + 3.67z <= 367.23
3.25x + -6.31y + 1.48z <= 512.59
6.93x + 2.2y + 4.24z <= 570.09
6.02x + 4.2y + -5.36z <= 744.31
-6.77x + -7.66y + 4.89z <= 534.82
-1.86x + 2.31y + -3.34z <= 127.2
-7.29x + 7.63y + -9.15z <= 783.76
1.79x + -7.3y + -7.96z <= 105.23
5.74x + -8.65y + 6.31z <= 492.36
0.49x + 2.91y + -8.35z <= 771.92
9.14x + -0.86y + -2.44z <= 436.98
-5.9x + -9.97y + -3.76z <= 485.5
-5.71x + -6.02y + -5.82z <= 368.23
1.44x + -7.56y + 3.47z <= 924.81
2.39x + -9.17y + 6.33z <= 883.07
-9.16x + 3.07y + 3.0z <= 146.95
-1.81x + -3.36y + -0.03z <= 595.19
2.53x + -1.1y + 3.08z <= 543.37
7.22x + 3.27y + 1.31z <= 681.35
-7.73x + 4.5y + 5.4z <= 729.54
-9.85x + -7.49y + 1.19z <= 439.44
-2.85x + 8.35y + -0.9z <= 572.8
7.86x + -0.32y + 4.59z <= 614.46
-2.64x + -5.37y + -8.46z <= 599.56
-1.78x + 4.86y + -1.11z <= 312.19
-4.4x + 4.82y + -6.25z <= 669.22
3.86x + 2.71y + -5.73z <= 358.06
-5.85x + 8.36y + 5.8z <= 178.46
-8.34x + 4.73y + -2.81z <= 455.4
5.37x + 6.73y + -1.45z <= 499.42
-2.8x + -9.14y + 7.72z <= 898.14
7.71x + 1.44y + 2.96z <= 805.73
7.6x + 0.44y + 6.93z <= 120.48
-0.53x + 5.32y + -8.26z <= 767.19
3.88x + 6.02y + 4.51z <= 389.5
9.6x + 0.12y + 5.92z <= 345.54
9.95x + 5.38y + 1.95z <= 119.43
8.37x + 8.36y + -6.4z <= 190.13
9.08x + -1.09y + -8.45z <= 410.87
-1.45x + -4.27y + 3.52z <= 302.04
-3.28x + -2.65y + -6.25z <= 114.22
6.0x + -0.47y + 4.4z <= 306.1
-9.04x + 5.17y + 5.76z <= 363.16
3.08x + -8.64y + -2.18z <= 666.09
-0.63x + -7.64y + 4.39z <= 972.56
4.05x + -7.62y + -6.12z <= 525.26
