max -3.89x + 5.62y + 2.47z
-0.86x + -6.8y + -0.49z <= 868.4
-1.66x + 7.16y + -5.61z <= 545.14
4.99x + 5.95y + 3.72z <= 369.73
-9.0x + -9.54y + -1.91z <= 907.48
-5.98x + 7.73y + -0.88z <= 601.41
-4.25x + 9.88y + -0.13z <= 301.38
-2.73x + 6.13y + 5.2z <= 681.46
-7.72x + 4.77y + 1.44z <= 163.81
6.66x + -5.43y + 1.74z <= 827.37
5.75x + -2.0y + 5.29z <= 327.58
7.89x + -1.86y + -9.5z <= 454.21
-4.28x + 1.04y + -3.39z <= 445.27
1.3x + 0.86y + -9.32z <= 813.51
0.13x + -9.47y + 8.41z <= 784.41
2.86x + 4.52y + -6.58z <= 118.21
8.38x + -7.34y + 0.97z <= 798.18
-2.58x + 5.85y + 5.88z <= 262.56
-0.4x + 3.08y + 0.36z <= 734.3
-1.69x + 7.42y + 2.03z <= 120.14
-6.49x + 9.59y + -3.38z <= 131.45
-1.99x + 2.69y + 1.87z <= 484.38
9.73x + 4.11y + -7.96z <= 776.06
6.6x + 2.61y + -8.71z <= 742.9
5.8x + 2.94y + -1.0z <= 500.7
6.41x + 2.06y + -6.54z <= 830.86
-8.44x + 9.33y + -7.64z <= 641.38
-7.76x + 5.17y + -2.7z <= 575.12
-6.84x + -1.37y + -4.33z <= 707.77
-8.84x + 5.56y + -9.92z <= 636.8
-9.96x + 2.0y + 8.75z <= 164.85
8.48x + 5.94y + 9.79z <= 373.76
-3.68x + -5.72y + -3.54z <= 907.55
4.53x + 6.92y + 1.63z <= 696.1
-3.79x + 9.85y + 10.0z <= 814.04
-2.72x + -9.16y + -2.23z <= 347.08
8.77x + -6.33y + -1.78z <= 818.92
-9.26x + -0.7y + 6.52z <= 847.02
-0.09x + 0.75y + -9.18z <= 405.16
-3.25x + 5.34y + 8.14z <= 561.1
-1.03x + -0.76y + -4.27z <= 514.28
8.28x + -6.69y + -5.25z <= 304.56
3.64x + -7.81y + 8.09z <= 106.38
5.14x + -7.14y + -1.15z <= 980.07
-8.88x + -0.54y + 2.84z <= 804.66
-9.1x + 4.8y + -9.07z <= 379.03
-5.22x + 4.02y + -9.75z <= 418.23
2.33x + -1.74y + 7.65z <= 515.53
5.46x + 1.24y + 6.17z <= 622.61
6.76x + -3.73y + -7.72z <= 304.26
-1.99x + -3.61y + 7.68z <= 230.81
3.45x + 9.54y + -7.92z <= 157.93
-7.23x + 6.73y + 9.6z <= 286.68
-2.38x + 0.24y + 2.93z <= 515.06
0.47x + -8.54y + -4.71z <= 638.54
9.37x + 8.98y + 7.26z <= 249.93
1.18x + -4.11y + 0.24z <= 475.32
-2.11x + 5.33y + -4.15z <= 573.79
6.25x + -9.05y + 5.29z <= 603.63
4.41x + 2.48y + -7.39z <= 814.4
-5.34x + 5.96y + -2.25z <= 906.14
-9.52x + 0.51y + -9.19z <= 935.05
-1.97x + 1.94y + -4.69z <= 942.41
-1.18x + -7.26y + -3.26z <= 579.11
-4.71x + -1.06y + 4.89z <= 581.94
-2.69x + -3.59y + 0.14z <= 745.42
-1.32x + 5.1y + 0.1z <= 366.13
-3.8x + 5.41y + -4.26z <= 912.04
0.94x + -1.73y + 9.43z <= 671.08
-1.22x + 5.06y + -1.74z <= 175.09
9.39x + -0.77y + -8.47z <= 408.16
9.66x + 4.65y + 7.98z <= 872.87
-3.52x + 1.93y + -5.67z <= 176.33
1.26x + -6.03y + -0.89z <= 729.91
7.33x + -9.81y + 5.67z <= 412.24
-0.99x + -3.65y + 8.03z <= 764.07
-8.41x + 4.65y + -9.39z <= 382.82
-7.03x + 1.5y + -9.31z <= 562.35
2.68x + 8.16y + 4.79z <= 718.98
-4.26x + 3.81y + 0.08z <= 922.5
-8.19x + -5.17y + 1.11z <= 335.33
9.41x + -6.65y + 8.93z <= 317.8
3.39x + 1.4y + 3.2z <= 179.9
4.82x + -6.9y + 6.01z <= 523.06
6.19x + 1.63y + -6.06z <= 389.1
6.55x + -2.73y + -6.65z <= 385.32
5.47x + -1.81y + -9.06z <= 575.91
3.26x + 0.9y + 4.36z <= 696.17
-4.99x + 7.66y + -9.92z <= 827.01
8.09x + -8.7y + -3.26z <= 274.09
-4.67x + -8.29y + -8.57z <= 424.65
-6.16x + 7.41y + 5.86z <= 168.79
7.59x + 4.27y + -4.5z <= 461.64
0.24x + 2.87y + 1.77z <= 314.31
2.87x + 0.1y + 0.11z <= 744.78
-7.95x + 7.06y + 0.55z <= 101.15
-5.23x + 5.87y + 3.45z <= 742.09
-1.64x + 1.91y + -0.17z <= 179.62
8.42x + 3.62y + 9.51z <= 517.47
9.54x + -6.27y + -2.2z <= 717.87
8.58x + -2.74y + -3.74z <= 965.56
7.25x + 7.85y + -1.35z <= 420.9
-4.13x + -1.42y + -5.15z <= 609.35
8.84x + -5.12y + -8.33z <= 960.39
-2.46x + 6.57y + -4.44z <= 779.48
8.61x + 7.86y + 0.49z <= 772.39
-0.48x + -0.46y + -1.13z <= 274.85
6.28x + -5.61y + -5.21z <= 574.46
0.6x + -2.44y + -0.06z <= 430.35
8.73x + -8.95y + -4.13z <= 193.63
5.21x + -6.56y + 5.01z <= 490.04
6.06x + -1.24y + 3.4z <= 503.55
1.57x + -6.14y + -8.5z <= 478.69
4.85x + -5.08y + 4.21z <= 944.5
-3.34x + 2.33y + 8.87z <= 824.97
-0.07x + -5.53y + 1.0z <= 544.77
0.94x + 5.48y + 7.93z <= 544.78
-3.68x + -7.79y + -4.13z <= 366.44
-6.57x + 5.87y + -6.42z <= 981.9
-5.63x + 5.07y + 9.2z <= 321.15
0.22x + 8.92y + 2.12z <= 824.44
-8.44x + 0.91y + 7.41z <= 214.22
7.12x + 4.35y + 9.97z <= 313.0
-2.38x + -0.16y + 0.39z <= 839.17
-4.75x + -3.38y + -7.25z <= 126.55
-4.78x + -6.81y + -7.11z <= 835.45
4.01x + -0.25y + 2.53z <= 615.77
7.72x + -1.04y + 9.7z <= 402.15
-3.13x + -1.17y + 1.49z <= 828.04
-2.73x + -0.16y + 0.77z <= 640.02
4.61x + -0.91y + -0.52z <= 698.39
-0.86x + -9.39y + -1.49z <= 251.3
-4.3x + -4.75y + -3.56z <= 846.59
-1.2x + -1.37y + -4.86z <= 205.1
8.81x + 6.08y + 4.11z <= 241.37
-0.92x + -8.64y + -1.8z <= 148.53
-0.09x + -6.64y + -1.23z <= 978.16
-7.1x + -2.26y + -8.62z <= 547.7
1.45x + -6.1y + -4.12z <= 181.73
-5.74x + -6.23y + -4.07z <= 433.04
1.99x + 0.29y + 6.05z <= 267.5
-5.14x + 2.71y + 8.2z <= 266.06
5.07x + -3.83y + -4.78z <= 387.2
-6.67x + 2.71y + 2.41z <= 371.03
-0.85x + -0.42y + -6.21z <= 698.15
5.41x + -4.5y + 4.31z <= 270.54
1.42x + -8.59y + -2.82z <= 351.98
1.8x + -3.29y + -0.01z <= 632.55
7.53x + 7.64y + -6.76z <= 847.97
-3.43x + 9.47y + -6.28z <= 351.3
1.53x + -0.2y + -6.84z <= 774.05
-9.18x + 1.66y + -9.38z <= 853.78
-1.28x + 1.27y + -7.51z <= 831.98
-1.67x + 9.22y + -2.92z <= 736.4
7.81x + 5.91y + 7.77z <= 241.39
-8.3x + 6.07y + 3.71z <= 234.66
6.24x + -6.36y + 9.13z <= 681.35
6.72x + 5.58y + 2.87z <= 495.73
-9.01x + 5.26y + -4.17z <= 400.35
7.08x + -0.26y + -0.33z <= 743.5
-0.83x + -5.16y + 5.33z <= 564.56
0.71x + -2.76y + 7.19z <= 412.36
9.44x + 4.52y + -6.14z <= 855.1
0.71x + -5.3y + -8.44z <= 814.06
-9.85x + 3.75y + 6.59z <= 779.25
-4.3x + -7.16y + -6.49z <= 310.56
0.3x + 6.48y + -0.81z <= 869.45
-0.75x + 2.19y + -0.54z <= 243.63
-6.11x + 2.06y + 8.58z <= 318.64
-0.84x + -2.82y + -0.16z <= 375.36
-1.59x + 3.79y + -9.69z <= 607.1
3.79x + 4.63y + -4.04z <= 345.12
-4.02x + -6.51y + -3.89z <= 397.96
-4.22x + -7.61y + 2.48z <= 319.16
-0.92x + -5.36y + 7.54z <= 896.32
6.93x + 5.86y + 4.33z <= 530.54
-8.52x + 8.05y + 6.1z <= 880.46
6.52x + -1.46y + 2.97z <= 869.13
-0.08x + 6.2y + -8.58z <= 248.82
-8.25x + 6.63y + 3.43z <= 910.01
-5.82x + 3.83y + -4.25z <= 575.42
-7.38x + -3.59y + 9.64z <= 538.73
-5.9x + 2.97y + -6.77z <= 217.76
-0.96x + -2.2y + -7.05z <= 862.52
-8.57x + -0.44y + -3.42z <= 552.83
-6.37x + -9.94y + -8.26z <= 810.78
5.99x + 6.19y + 3.91z <= 399.47
-1.64x + 2.32y + -8.39z <= 828.85
-2.4x + 1.99y + 5.19z <= 225.62
-0.1x + 3.48y + 9.74z <= 549.36
-1.83x + -8.72y + 7.07z <= 505.71
-8.38x + 8.96y + 4.0z <= 207.42
2.34x + 5.28y + -0.64z <= 300.69
9.7x + -0.2y + -7.85z <= 446.79
-8.35x + 2.53y + -4.32z <= 642.11
1.9x + -2.73y + 9.63z <= 125.06
-2.16x + 5.54y + -8.52z <= 924.91
-9.09x + 3.74y + 1.06z <= 780.68
3.46x + 4.0y + 1.97z <= 764.98
1.8x + 4.6y + -3.16z <= 676.39
3.3x + 0.18y + 0.24z <= 366.55
-9.78x + 5.82y + 1.98z <= 758.38
-0.94x + 8.26y + -4.55z <= 325.45
-4.17x + -5.66y + -5.79z <= 699.67
-0.26x + -7.84y + 6.95z <= 509.53
-9.94x + 0.82y + 6.86z <= 273.61
5.32x + 0.94y + -9.76z <= 285.87
-8.31x + 6.47y + 9.89z <= 130.78
-7.44x + 0.55y + 9.85z <= 211.98
-5.84x + -3.36y + 6.42z <= 525.59
-9.19x + 2.1y + -4.67z <= 701.63
-8.22x + -2.59y + -7.57z <= 901.89
-5.69x + -6.92y + -4.44z <= 111.34
9.31x + -7.77y + 6.99z <= 245.49
4.53x + 8.85y + 8.54z <= 121.8
-1.74x + -8.53y + 9.77z <= 869.87
-4.0x + 7.31y + 1.74z <= 505.48
-1.95x + 9.82y + -3.23z <= 139.18
3.13x + 9.7y + 0.28z <= 753.15
-0.19x + 1.09y + -4.77z <= 824.36
-7.33x + -6.16y + 8.51z <= 316.1
2.69x + 3.78y + 8.33z <= 957.9
6.79x + -8.77y + -8.68z <= 741.01
2.16x + 0.3y + 2.79z <= 774.24
-4.15x + -3.25y + -2.81z <= 953.07
-2.09x + 4.81y + 0.16z <= 825.77
-7.93x + 5.7y + 9.5z <= 460.0
9.08x + 5.22y + -8.43z <= 802.61
3.6x + -0.03y + -9.09z <= 741.07
-4.71x + 8.31y + -1.89z <= 826.28
0.48x + -1.3y + -1.47z <= 533.6
8.23x + -7.64y + -2.58z <= 534.14
-0.7x + -1.54y + 7.96z <= 848.85
-7.5x + -2.96y + -5.43z <= 672.4
9.78x + 7.27y + 3.12z <= 964.92
0.35x + 9.18y + 5.61z <= 392.71
3.56x + -3.56y + 4.42z <= 670.44
7.1x + -4.31y + -4.77z <= 552.75
5.13x + 4.73y + 1.03z <= 136.95
7.05x + -1.23y + -8.05z <= 288.34
9.85x + -1.55y + 9.43z <= 928.59
-1.48x + 0.07y + 5.75z <= 649.88
-3.53x + -4.17y + 6.83z <= 527.9
3.08x + -8.94y + 8.8z <= 424.21
6.8x + -8.62y + -6.48z <= 406.39
-5.26x + -0.14y + -0.21z <= 741.09
0.54x + 6.42y + -0.14z <= 771.44
-1.78x + -9.94y + -6.02z <= 637.13
-9.95x + 4.91y + -4.33z <= 953.79
6.62x + -1.35y + 1.82z <= 230.95
8.19x + 6.19y + 0.35z <= 343.27
4.74x + 1.04y + -5.28z <= 615.54
5.29x + -5.29y + -7.2z <= 590.64
3.55x + -8.61y + -8.32z <= 678.01
-9.56x + 3.83y + -7.64z <= 634.88
-5.21x + -1.33y + 6.9z <= 277.24
-6.17x + -1.06y + 4.61z <= 238.27
-8.88x + 1.45y + 9.45z <= 791.27
-4.83x + 4.73y + -1.01z <= 767.47
2.42x + -5.94y + 1.74z <= 104.29
-2.99x + 7.47y + 0.59z <= 421.09
-8.89x + 1.43y + 1.8z <= 767.61
3.57x + -9.19y + -4.38z <= 725.94
-6.16x + 9.58y + -6.18z <= 842.28
-6.17x + 5.64y + 3.54z <= 832.46
-2.81x + -2.26y + 5.23z <= 822.33
-2.19x + -0.44y + 1.7z <= 840.38
4.88x + 6.34y + -1.99z <= 683.63
5.6x + -2.18y + -3.95z <= 385.02
7.44x + -2.12y + 4.21z <= 210.24
-4.14x + 0.23y + -6.53z <= 321.18
4.24x + -3.15y + 3.07z <= 834.74
-5.36x + 4.13y + -6.36z <= 269.53
-7.41x + -7.14y + -9.77z <= 161.77
-2.43x + 1.57y + -4.35z <= 224.77
4.49x + 3.96y + -4.26z <= 315.57
-1.23x + 9.58y + -4.45z <= 972.01
2.55x + 8.9y + 9.54z <= 268.22
-0.84x + -3.17y + 8.09z <= 241.08
-0.43x + 3.29y + -0.66z <= 191.12
-5.71x + 3.8y + 4.2z <= 349.83
7.26x + 3.67y + 2.7z <= 448.2
-2.7x + 0.35y + 4.76z <= 779.78
2.6x + 5.18y + -1.63z <= 196.66
7.7x + 8.44y + -4.62z <= 332.1
-8.09x + 9.91y + 8.94z <= 348.26
-7.54x + -6.2y + -9.15z <= 653.62
-6.44x + 1.23y + -0.66z <= 359.57
-1.64x + -6.84y + -2.26z <= 342.13
-2.36x + -3.33y + -8.15z <= 595.39
-0.48x + -7.16y + -8.49z <= 518.43
9.21x + -7.83y + 9.24z <= 868.64
0.91x + 3.78y + 9.04z <= 954.37
7.85x + -1.37y + -4.16z <= 468.68
-0.04x + -2.36y + 2.13z <= 103.29
-5.0x + -7.35y + -7.71z <= 286.27
-2.61x + -4.72y + -1.98z <= 762.62
6.04x + 2.45y + -5.01z <= 968.79
-0.7x + -9.26y + 4.75z <= 522.43
-4.57x + 3.63y + 5.8z <= 365.26
0.4x + 5.89y + -3.0z <= 660.58
-2.65x + 7.16y + -1.66z <= 399.39
-4.57x + 9.92y + -5.61z <= 133.69
1.63x + -9.58y + -9.42z <= 736.78
8.75x + 0.78y + -2.99z <= 710.37
-2.34x + 0.05y + -8.69z <= 165.58
-7.4x + -6.57y + 4.19z <= 474.12
1.34x + -1.02y + 3.17z <= 427.43
5.35x + -1.96y + 7.71z <= 483.99
0.25x + -2.91y + 1.87z <= 819.82
0.7x + -1.08y + 1.97z <= 582.23
9.16x + -6.96y + -7.86z <= 412.98
-1.34x + -4.45y + -7.24z <= 861.83
-2.04x + -9.19y + -9.29z <= 590.31
2.7x + 4.53y + -1.48z <= 782.26
-2.99x + -2.64y + 2.08z <= 903.1
5.4x + -9.22y + -0.36z <= 678.28
8.29x + -4.34y + 3.78z <= 960.92
-2.83x + 4.66y + -5.43z <= 493.28
4.46x + -7.83y + -7.06z <= 620.59
8.58x + 4.72y + -2.99z <= 998.56
-6.39x + 8.17y + 8.44z <= 294.36
-6.81x + -9.55y + -5.78z <= 905.02
1.45x + 3.09y + -6.69z <= 528.95
-2.04x + 5.87y + -4.98z <= 835.82
-6.9x + 8.76y + 9.38z <= 308.15
7.61x + -5.68y + 3.8z <= 165.56
2.34x + -6.08y + 2.77z <= 903.34
9.82x + -2.31y + -6.39z <= 796.62
6.96x + -7.24y + -9.59z <= 982.88
0.26x + 7.78y + 7.38z <= 644.04
9.04x + -6.36y + 5.75z <= 195.31
-3.52x + -3.04y + 1.14z <= 434.43
0.56x + 7.16y + 7.72z <= 134.03
-0.04x + 2.09y + 2.27z <= 723.48
6.39x + -9.78y + -7.27z <= 768.52
0.39x + -3.69y + 3.68z <= 382.48
1.28x + -0.17y + -5.42z <= 187.03
-3.0x + -1.64y + 1.3z <= 388.23
7.09x + 0.29y + -3.41z <= 400.86
-9.75x + -6.05y + 3.87z <= 831.11
6.89x + 7.93y + 2.66z <= 257.79
-9.34x + -0.86y + -1.43z <= 447.98
-5.0x + 5.89y + -9.14z <= 765.77
0.52x + -5.47y + -8.93z <= 657.91
-1.69x + -2.62y + 6.92z <= 584.25
-8.77x + -0.58y + 8.57z <= 677.1
5.39x + 9.41y + -7.52z <= 479.96
-4.47x + 5.42y + -8.31z <= 830.62
4.82x + -5.01y + 2.86z <= 419.78
0.22x + 0.33y + -9.0z <= 997.13
-5.57x + -4.93y + 8.69z <= 547.04
1.76x + -5.75y + -1.57z <= 627.16
5.74x + -2.61y + -3.08z <= 602.36
2.91x + -5.96y + 6.89z <= 214.54
1.75x + -1.16y + 6.03z <= 513.48
8.45x + 0.16y + 9.9z <= 441.15
6.59x + 2.38y + -3.17z <= 220.12
6.38x + -9.82y + -9.82z <= 567.42
2.58x + 1.83y + 8.85z <= 183.71
-3.04x + -4.78y + 0.05z <= 243.97
-1.27x + 9.05y + 0.47z <= 622.54
-1.65x + -8.79y + -1.78z <= 899.8
-8.71x + -0.46y + 1.37z <= 677.25
-3.31x + -6.33y + 2.05z <= 738.3
-7.41x + -7.79y + 8.46z <= 870.85
-9.3x + -7.82y + -8.87z <= 641.43
-3.28x + -3.61y + 8.22z <= 837.62
-7.53x + 1.54y + -8.53z <= 729.81
-9.72x + -0.75y + -4.1z <= 457.13
-0.78x + 2.63y + 7.51z <= 192.45
-0.88x + -3.62y + 1.68z <= 523.63
-0.64x + -4.99y + 6.11z <= 810.62
-2.99x + -6.72y + 7.83z <= 609.35
-1.31x + 0.85y + -7.09z <= 861.47
5.36x + -7.87y + 1.06z <= 681.28
-8.33x + 5.29y + -6.02z <= 976.39
-2.98x + -8.84y + 6.78z <= 274.16
-2.82x + -9.43y + -8.0z <= 483.84
7.48x + -7.74y + -0.53z <= 788.22
2.85x + -8.34y + 4.46z <= 467.89
-5.45x + 3.29y + 2.62z <= 819.66
-7.41x + -3.77y + -3.79z <= 962.12
-4.84x + -7.23y + 0.4z <= 105.1
-6.46x + -1.37y + -9.62z <= 936.24
7.76x + 3.11y + -2.73z <= 539.07
6.03x + -5.65y + -6.26z <= 754.66
-8.71x + -0.69y + -3.92z <= 668.16
0.52x + 1.78y + 0.24z <= 387.19
-8.48x + 1.11y + -4.91z <= 893.99
-6.16x + 1.03y + 2.0z <= 608.26
-2.29x + 4.38y + -5.74z <= 230.16
1.92x + 3.31y + -0.21z <= 287.15
3.11x + 1.39y + 6.08z <= 344.39
-7.36x + 4.93y + 9.9z <= 301.47
3.9x + 9.02y + 6.75z <= 258.55
-4.2x + 6.73y + 1.48z <= 891.8
6.69x + 3.75y + 9.9z <= 406.23
4.54x + 6.79y + 3.72z <= 247.25
3.48x + -1.93y + 9.3z <= 723.88
3.66x + 6.7y + -3.93z <= 324.93
-0.29x + -8.56y + 6.97z <= 710.16
3.47x + 4.17y + -0.68z <= 306.15
-1.22x + -4.38y + 1.36z <= 790.23
-2.0x + -0.05y + -3.07z <= 949.67
-5.77x + -7.2y + -6.58z <= 264.03
-3.65x + -2.44y + 1.33z <= 374.26
1.3x + 5.92y + -0.1z <= 979.73
-9.76x + -3.86y + 7.83z <= 151.07
7.68x + -2.48y + -7.12z <= 526.07
3.46x + 9.22y + 9.01z <= 847.35
-9.33x + -7.19y + 8.82z <= 491.89
-0.11x + 4.9y + -1.13z <= 778.0
-1.96x + 7.07y + -3.73z <= 465.1
1.06x + -9.36y + -0.69z <= 696.27
-3.14x + -7.21y + -1.16z <= 834.22
-8.42x + 1.61y + -7.65z <= 649.31
7.0x + -8.8y + -5.66z <= 409.28
0.63x + 2.33y + 9.08z <= 975.29
-2.43x + 0.9y + -6.23z <= 551.39
-5.66x + 0.69y + -2.8z <= 801.86
-1.76x + 5.56y + -9.5z <= 171.51
-8.31x + 8.76y + -3.96z <= 904.96
-7.33x + -9.1y + 7.18z <= 517.92
-5.56x + 5.64y + -1.87z <= 717.18
-9.25x + 2.08y + 2.52z <= 611.34
-8.2x + -3.88y + -2.95z <= 838.04
9.48x + 8.0y + 6.72z <= 319.47
6.93x + 9.47y + -8.43z <= 193.05
-1.92x + 1.85y + 1.77z <= 971.45
2.16x + 7.94y + -1.82z <= 901.8
-6.1x + -0.02y + 6.61z <= 557.68
-8.32x + 5.87y + -1.72z <= 994.65
-8.68x + 1.99y + -4.62z <= 784.45
-8.92x + 7.93y + -3.18z <= 271.21
-1.75x + -5.4y + 0.88z <= 976.97
-0.18x + -4.06y + 2.84z <= 327.71
-3.29x + -5.67y + 0.38z <= 887.56
-0.49x + -5.48y + -2.94z <= 144.27
-6.53x + 6.01y + 6.86z <= 172.58
8.71x + -3.22y + 0.58z <= 582.23
0.49x + -7.56y + -5.61z <= 992.53
4.94x + 4.73y + -2.17z <= 408.99
7.66x + 7.2y + 5.63z <= 731.48
-8.4x + 3.7y + -3.79z <= 432.01
0.78x + 3.05y + -6.02z <= 420.95
3.45x + -3.18y + 7.22z <= 807.82
6.96x + -8.19y + -4.99z <= 947.32
9.34x + -2.59y + -0.11z <= 680.87
-5.04x + -1.09y + -7.14z <= 289.75
3.15x + -7.82y + -4.32z <= 837.86
2.05x + -6.58y + -5.47z <= 521.7
-3.73x + 0.35y + 5.48z <= 664.04
1.5x + 1.96y + 4.41z <= 351.86
0.78x + 7.26y + -6.94z <= 627.51
6.43x + -5.89y + 7.14z <= 878.9
0.48x + -8.13y + 2.75z <= 327.8
4.36x + -1.46y + 8.09z <= 648.64
-5.8x + -5.26y + -6.59z <= 771.01
-3.56x + 7.09y + 8.17z <= 321.83
4.85x + 0.14y + -4.86z <= 996.07
-3.48x + -9.02y + -2.76z <= 847.61
-2.15x + 2.01y + 2.18z <= 345.26
7.02x + 0.08y + -9.57z <= 437.91
-2.52x + -5.12y + -4.67z <= 707.1
9.21x + 6.03y + 4.81z <= 626.23
5.95x + 6.17y + 5.02z <= 734.21
8.71x + 2.74y + -1.9z <= 627.73
-7.81x + -5.18y + 5.47z <= 653.71
-7.21x + 0.1y + 4.95z <= 124.16
5.38x + 4.06y + -4.47z <= 630.5
2.67x + 9.8y + -0.05z <= 300.09
-6.22x + -8.46y + 9.85z <= 821.65
-4.62x + -7.7y + 0.4z <= 484.5
-3.92x + -9.31y + -7.6z <= 108.36
-6.39x + 2.46y + 3.47z <= 865.9
6.78x + -4.46y + 0.29z <= 811.72
-6.72x + -4.35y + -2.23z <= 378.13
-6.35x + -9.06y + 0.96z <= 124.9
2.55x + -1.84y + 1.05z <= 315.18
2.27x + 4.14y + -5.46z <= 906.75
1.77x + -6.37y + -5.2z <= 581.06
8.24x + -4.08y + -7.59z <= 794.12
-8.3x + 4.09y + 1.55z <= 867.64
-5.87x + 2.46y + -5.62z <= 836.52
6.42x + 6.58y + -9.02z <= 593.57
4.81x + -9.87y + -3.11z <= 534.45
4.93x + -0.33y + 9.17z <= 617.11
-3.19x + 9.41y + -9.93z <= 459.02
-9.95x + -0.56y + 0.5z <= 518.93
-9.55x + 0.12y + -6.16z <= 711.14
7.72x + -0.9y + -9.5z <= 681.04
1.74x + 6.63y + -1.82z <= 845.3
-2.42x + 7.86y + 4.86z <= 503.91
9.49x + 4.32y + 3.09z <= 307.77
9.47x + -2.26y + 7.03z <= 302.82
4.58x + 5.37y + -7.38z <= 480.35
-1.7x + -0.28y + 6.49z <= 848.78
5.65x + -9.07y + 1.61z <= 374.2
-1.14x + 6.61y + -1.82z <= 265.38
1.84x + -8.69y + 1.89z <= 228.82
0.37x + -1.61y + -8.66z <= 588.87
5.07x + 7.44y + -9.07z <= 841.03
9.47x + 9.94y + -6.15z <= 318.2
-9.03x + 2.71y + -6.14z <= 567.86
2.4x + 4.45y + 8.6z <= 747.84
-7.47x + 8.68y + 4.53z <= 593.16
5.96x + -0.06y + 4.8z <= 804.13
-1.61x + -8.23y + -2.66z <= 367.69
-0.11x + -1.22y + -3.91z <= 810.61
3.93x + -0.95y + -3.21z <= 371.32
3.14x + 7.56y + 5.0z <= 873.62
4.14x + -6.0y + -2.3z <= 398.72
3.67x + 8.35y + -1.32z <= 112.75
5.37x + 0.15y + -2.57z <= 249.82
-1.49x + 5.79y + -0.69z <= 489.66
-6.79x + -0.35y + 4.08z <= 520.4
8.54x + -9.63y + 9.65z <= 960.55
-5.28x + -9.53y + -9.57z <= 122.93
0.09x + 5.55y + 3.44z <= 348.32
3.52x + -4.31y + 5.95z <= 537.52
-8.07x + 7.42y + -2.8z <= 715.82
4.52x + 6.88y + -0.32z <= 425.46
-2.15x + 5.93y + 2.12z <= 425.95
-3.12x + 1.18y + 8.06z <= 274.08
5.72x + -6.12y + 3.16z <= 747.56
7.71x + -4.09y + -2.88z <= 414.51
0.22x + -3.93y + 2.94z <= 708.31
-1.12x + 4.44y + -6.18z <= 243.23
-5.47x + -3.21y + -4.05z <= 975.78
0.35x + -4.46y + -3.44z <= 328.77
6.49x + 0.91y + -8.78z <= 754.81
-4.35x + 2.87y + -5.29z <= 813.94
0.33x + -9.62y + 2.71z <= 570.93
1.98x + -8.75y + 6.81z <= 654.17
9.36x + -1.06y + -7.29z <= 864.17
8.6x + -1.54y + 6.48z <= 207.88
-0.17x + -2.05y + -9.13z <= 473.54
0.04x + -2.3y + -0.19z <= 201.13
-7.42x + -4.14y + 4.55z <= 359.82
-4.57x + -1.58y + 7.85z <= 970.81
-2.13x + -8.26y + 3.4z <= 946.85
3.64x + -5.96y + -8.6z <= 209.13
8.89x + -7.06y + -0.1z <= 761.4
-4.33x + -6.0y + -9.44z <= 288.85
-4.84x + -4.95y + 6.06z <= 860.03
4.58x + 3.39y + 9.18z <= 807.62
3.1x + -3.35y + 8.97z <= 865.93
-5.25x + 8.0y + -2.29z <= 988.06
-8.5x + -4.28y + 4.84z <= 267.12
5.53x + -8.96y + -7.75z <= 934.95
-8.12x + 1.69y + -0.29z <= 645.46
-9.39x + 2.21y + 9.6z <= 761.2
-2.91x + -7.68y + 3.93z <= 829.4
4.85x + -4.48y + 2.59z <= 850.49
-1.57x + -8.28y + -9.6z <= 807.45
7.05x + 3.7y + -5.06z <= 501.42
-6.53x + -8.8y + 3.18z <= 613.34
-2.05x + 0.02y + -0.36z <= 257.07
-3.27x + 8.83y + -4.14z <= 631.43
-4.49x + 9.97y + -3.03z <= 315.52
8.01x + -2.11y + -9.69z <= 917.62
-5.11x + -1.64y + 7.68z <= 221.11
2.2x + -1.89y + -8.39z <= 140.27
-3.34x + -5.7y + 5.18z <= 438.51
7.01x + 6.0y + -1.18z <= 601.09
2.24x + -6.11y + 3.09z <= 133.0
-8.0x + -3.63y + -0.5z <= 995.58
2.53x + 4.12y + 6.81z <= 862.12
-4.89x + -6.09y + 5.06z <= 297.51
2.82x + 5.91y + -5.44z <= 213.95
2.29x + 0.75y + 9.17z <= 148.13
7.97x + -0.64y + 5.98z <= 798.49
5.48x + -4.36y + -3.92z <= 930.15
-3.0x + 1.4y + 0.08z <= 352.89
9.2x + 3.75y + -2.95z <= 556.59
5.45x + -2.09y + -1.21z <= 576.65
4.33x + -5.62y + -9.03z <= 309.66
-6.64x + -7.56y + -3.54z <= 520.96
8.35x + -6.54y + 3.8z <= 136.68
0.31x + 9.37y + 0.43z <= 578.84
3.44x + 0.18y + 7.41z <= 280.03
2.36x + -3.84y + -9.66z <= 976.56
-0.01x + 8.61y + -0.88z <= 839.87
6.15x + 0.64y + -9.93z <= 395.33
-7.32x + -1.81y + -1.35z <= 146.63
-1.63x + -3.04y + -7.79z <= 124.37
0.07x + -4.88y + -1.35z <= 275.2
2.58x + 7.29y + 3.53z <= 712.09
-2.27x + 1.8y + -9.26z <= 852.0
2.16x + 7.53y + -5.4z <= 168.34
-3.58x + -5.49y + -4.77z <= 186.98
8.18x + 0.86y + 4.11z <= 787.96
-0.15x + 7.93y + 5.11z <= 727.67
4.33x + 8.72y + -8.97z <= 690.55
