max 9.47x + 1.74y + -4.7z
-6.29x + -1.62y + 2.34z <= 287.1
6.22x + 5.21y + 1.15z <= 458.8
5.73x + -5.73y + -0.82z <= 780.44
6.57x + 0.79y + -3.53z <= 643.12
-7.49x + 9.93y + 3.49z <= 395.74
6.44x + 5.83y + 0.81z <= 735.28
5.16x + -2.92y + 2.94z <= 244.64
-7.08x + 7.41y + 0.32z <= 813.45
7.31x + -0.08y + -6.3z <= 981.3
-4.21x + -5.47y + 2.92z <= 367.7
-6.42x + -0.08y + -2.7z <= 430.56
1.87x + 9.88y + 7.19z <= 384.85
-3.88x + -0.88y + 6.55z <= 139.19
-4.84x + 0.04y + -0.8z <= 413.54
-1.91x + -9.23y + 8.32z <= 624.24
-8.1x + -7.77y + -4.69z <= 427.1
-1.64x + 7.06y + -5.8z <= 734.9
5.44x + 1.33y + -0.63z <= 278.73
-1.51x + 5.36y + 9.76z <= 156.03
5.56x + 5.72y + 2.1z <= 947.39
-9.99x + 9.85y + 6.03z <= 882.16
-5.92x + 5.14y + -1.7z <= 829.51
-7.74x + 2.98y + 9.69z <= 522.69
-5.13x + 5.41y + 0.75z <= 349.42
-6.89x + 1.73y + -7.88z <= 852.79
-6.26x + -1.88y + -3.78z <= 587.98
-1.27x + 2.28y + -0.37z <= 542.39
-8.1x + -5.78y + -9.51z <= 844.41
-8.83x + -5.15y + 3.26z <= 435.76
3.35x + 2.52y + -1.83z <= 870.37
-7.69x + -5.45y + 9.35z <= 544.59
4.89x + 1.86y + 6.23z <= 150.39
-7.78x + -8.05y + 0.58z <= 846.11
2.63x + -1.3y + 3.81z <= 773.15
-8.17x + 8.9y + 1.6z <= 848.96
1.35x + -1.27y + 6.47z <= 383.27
6.82x + 0.69y + 1.88z <= 395.53
0.14x + -1.14y + -7.89z <= 858.25
2.57x + 2.39y + -1.62z <= 861.57
7.42x + 5.14y + -8.56z <= 386.34
2.37x + 6.21y + 0.37z <= 934.79
1.37x + 7.98y + 4.81z <= 199.58
-2.15x + -8.28y + 1.73z <= 998.82
4.27x + -6.22y + -4.46z <= 103.99
5.39x + 0.71y + 9.98z <= 640.29
3.27x + 3.12y + 4.03z <= 874.11
4.48x + 5.42y + -9.09z <= 788.68
9.68x + 7.92y + -7.38z <= 852.64
-5.28x + -2.64y + -8.67z <= 683.51
-3.29x + 0.94y + 3.87z <= 188.83
-3.78x + 8.27y + -1.93z <= 500.4
-6.47x + -0.75y + 4.5z <= 688.4
3.06x + -3.57y + 1.72z <= 683.2
-5.2x + -9.14y + -7.64z <= 548.17
-5.73x + -1.92y + -2.84z <= 363.74
3.1x + -6.19y + 0.28z <= 656.89
4.52x + -7.49y + 9.63z <= 850.43
-8.88x + -6.65y + 3.17z <= 379.17
-8.84x + 7.06y + -2.22z <= 620.43
9.99x + 2.53y + -9.42z <= 788.02
-6.44x + 8.2y + -9.37z <= 651.86
3.78x + -2.41y + -1.9z <= 390.4
8.87x + -8.43y + -9.9z <= 438.55
9.21x + 2.8y + 9.66z <= 765.03
8.26x + -3.66y + -8.42z <= 384.36
-8.19x + 6.37y + 5.6z <= 229.28
8.32x + -3.29y + 1.38z <= 178.1
-2.59x + -7.56y + 9.75z <= 284.54
-8.38x + -6.59y + 0.09z <= 474.16
7.71x + -0.21y + -9.73z <= 754.09
-7.84x + 0.38y + -2.78z <= 138.35
-4.96x + -6.44y + -2.75z <= 637.5
-5.56x + 9.43y + -5.25z <= 141.02
-9.37x + 5.31y + 3.45z <= 683.9
7.59x + 3.8y + 8.44z <= 976.78
7.12x + -2.95y + 6.89z <= 416.37
8.48x + 0.1y + 8.62z <= 340.33
-3.94x + -5.62y + -2.54z <= 761.43
7.71x + 0.76y + 6.1z <= 195.22
5.85x + 5.93y + -6.66z <= 647.09
-5.25x + -0.89y + -1.32z <= 141.79
-9.2x + 9.02y + 2.14z <= 735.7
-2.97x + 4.17y + 6.91z <= 735.84
5.81x + -7.45y + -6.88z <= 969.15
-0.12x + 3.0y + -1.85z <= 934.0
-6.78x + -4.42y + 8.91z <= 116.11
4.71x + 5.86y + 6.24z <= 624.09
5.44x + 7.73y + 5.63z <= 211.96
4.46x + 1.85y + -8.03z <= 216.63
-5.85x + 1.75y + 6.25z <= 625.05
7.47x + 7.41y + -7.87z <= 845.95
7.97x + -8.62y + 3.49z <= 429.27
5.87x + -6.96y + -2.98z <= 438.51
-4.08x + 8.52y + -0.82z <= 226.39
-2.01x + 0.88y + -9.02z <= 670.47
4.88x + -8.39y + 8.27z <= 130.22
-2.74x + -7.3y + 8.34z <= 613.9
1.52x + 4.4y + 5.86z <= 912.37
5.28x + 0.38y + -0.33z <= 318.81
-7.33x + 6.07y + -2.1z <= 781.31
-1.6x + -0.8y + 9.74z <= 727.01
1.57x + -0.24y + 1.77z <= 672.58
2.25x + 5.41y + -5.43z <= 274.9
6.68x + 5.5y + -5.39z <= 950.68
-2.17x + -1.26y + 7.36z <= 476.97
7.95x + -3.59y + -8.45z <= 853.33
0.16x + -3.83y + -1.68z <= 116.83
3.91x + -8.47y + -5.76z <= 141.27
8.21x + -0.69y + 3.12z <= 754.13
3.63x + -5.73y + -9.59z <= 591.7
5.28x + 4.06y + 7.35z <= 557.51
0.36x + -2.27y + 3.12z <= 582.32
-6.9x + 5.92y + 1.07z <= 800.78
-7.26x + -3.89y + 2.78z <= 217.96
1.61x + 2.15y + -0.58z <= 417.01
-1.57x + 3.21y + 3.79z <= 396.63
-8.68x + -1.41y + -6.8z <= 544.37
-0.77x + -4.12y + 1.86z <= 140.83
-3.45x + -9.3y + -3.98z <= 299.69
-9.85x + -8.74y + -5.08z <= 949.37
10.0x + 0.56y + -2.46z <= 186.14
-6.21x + -7.73y + 2.11z <= 104.28
-1.94x + 2.34y + 1.3z <= 244.31
-8.24x + 8.49y + -6.71z <= 479.47
-5.32x + 4.56y + 0.7z <= 411.79
-4.43x + -7.49y + -8.21z <= 520.07
7.17x + 3.46y + 3.46z <= 512.67
0.83x + 8.48y + -6.96z <= 483.95
-0.33x + 0.58y + 8.13z <= 486.19
2.79x + -9.34y + 5.18z <= 655.71
2.05x + -1.29y + 0.43z <= 332.59
-0.38x + 0.66y + -3.05z <= 327.92
-8.34x + -4.65y + -7.1z <= 869.14
-0.95x + -0.07y + 2.1z <= 504.56
-0.53x + -4.33y + -0.21z <= 841.66
8.53x + 8.78y + 8.16z <= 419.06
-3.96x + -6.63y + -1.9z <= 733.63
-8.66x + -8.16y + 2.46z <= 899.06
5.59x + -7.36y + 5.78z <= 196.5
4.1x + 4.97y + 6.78z <= 737.72
7.56x + 2.82y + -7.69z <= 659.56
-6.79x + 2.99y + 4.6z <= 777.52
5.79x + -0.17y + -6.32z <= 877.31
-0.33x + 7.92y + -4.03z <= 895.56
-6.22x + 7.1y + -5.5z <= 936.28
0.99x + -1.87y + -1.42z <= 888.27
8.93x + 8.44y + -6.81z <= 409.96
8.76x + 1.25y + 1.21z <= 372.95
4.88x + 8.81y + 8.15z <= 755.47
5.9x + 0.8y + -5.23z <= 527.95
2.89x + 5.21y + -3.6z <= 664.1
-1.46x + -2.8y + 4.3z <= 144.32
-5.64x + 3.08y + 2.81z <= 204.89
7.34x + -8.97y + -6.06z <= 744.43
-7.39x + 4.95y + 9.64z <= 447.89
-7.7x + -4.21y + 7.76z <= 155.92
-8.97x + 0.78y + -3.28z <= 392.63
-7.98x + 8.84y + 9.04z <= 409.83
1.51x + 5.24y + -3.08z <= 760.97
4.76x + -5.22y + 1.7z <= 519.87
-8.54x + 3.2y + 9.75z <= 966.59
3.36x + -0.27y + -3.18z <= 904.17
5.49x + 6.34y + -1.96z <= 182.98
0.3x + -7.49y + -2.15z <= 882.23
-1.82x + 4.47y + 4.36z <= 320.77
3.34x + 2.48y + -1.81z <= 843.67
-4.03x + -2.43y + -1.89z <= 342.09
-0.58x + -4.99y + 1.14z <= 986.19
6.14x + -9.52y + 9.31z <= 717.62
6.83x + 7.64y + 10.0z <= 478.02
6.2x + 0.85y + -5.52z <= 753.27
5.37x + -9.86y + -9.75z <= 881.11
-2.25x + 1.09y + -4.82z <= 403.28
1.08x + -6.27y + 4.09z <= 264.43
6.14x + 8.56y + -4.91z <= 789.86
-9.1x + -9.03y + -6.84z <= 134.53
-4.42x + 7.86y + -5.63z <= 830.14
5.96x + -8.66y + 3.1z <= 824.13
8.91x + -4.84y + 5.13z <= 463.24
6.57x + -2.73y + -3.77z <= 989.27
8.18x + 6.53y + -3.38z <= 807.55
-5.8x + -4.89y + -2.01z <= 692.12
4.28x + 4.3y + 3.72z <= 916.58
5.88x + 2.26y + 3.89z <= 867.74
-5.88x + -8.86y + -4.77z <= 132.02
7.0x + -0.04y + -5.94z <= 378.47
-5.47x + -4.93y + 6.49z <= 960.4
-9.87x + 0.38y + 1.71z <= 631.98
-1.3x + 9.34y + 0.25z <= 186.04
1.69x + 1.07y + 0.82z <= 264.5
-0.95x + -9.0y + -2.64z <= 206.15
-9.8x + 8.9y + 4.06z <= 339.73
-7.64x + 4.18y + 5.63z <= 436.44
-1.94x + 9.72y + 3.93z <= 894.48
-6.11x + -0.37y + 0.88z <= 530.58
9.77x + 7.06y + -5.09z <= 808.14
2.72x + -5.13y + -4.31z <= 519.69
4.22x + -4.97y + 8.46z <= 835.86
-6.51x + 3.62y + -0.96z <= 232.33
5.35x + -4.55y + 4.14z <= 843.46
4.92x + 3.62y + -6.82z <= 280.43
-7.63x + 4.04y + 5.7z <= 214.64
-0.19x + 9.01y + 2.4z <= 224.5
-4.42x + 2.45y + 1.05z <= 362.83
0.33x + -2.19y + 4.94z <= 520.21
3.6x + 6.41y + -7.46z <= 401.38
-3.51x + 2.81y + 0.96z <= 354.01
1.03x + 8.79y + -7.93z <= 329.69
-6.19x + 5.38y + -2.6z <= 711.58
-0.82x + -0.41y + 4.16z <= 605.49
-2.21x + 1.34y + 2.88z <= 684.74
-3.84x + -8.81y + 0.89z <= 821.28
-6.43x + 0.96y + 6.84z <= 306.48
-1.85x + 9.13y + 2.34z <= 540.3
-9.37x + -7.29y + -3.12z <= 376.15
9.94x + 8.37y + 9.29z <= 522.21
1.5x + -2.94y + -7.03z <= 757.77
-8.07x + -6.22y + 0.48z <= 675.66
0.35x + -2.79y + -9.79z <= 947.72
7.17x + -2.32y + -6.5z <= 672.17
-6.59x + 9.85y + -8.4z <= 135.92
4.38x + 2.12y + 5.45z <= 572.19
-5.05x + 1.92y + 4.29z <= 416.08
3.06x + -1.3y + -7.11z <= 637.47
2.89x + 0.84y + -4.38z <= 677.23
-0.15x + -5.98y + -9.59z <= 357.52
-5.17x + 1.45y + -9.97z <= 405.19
4.72x + 3.32y + -7.57z <= 491.47
9.45x + 2.65y + 9.5z <= 310.22
-8.0x + -9.18y + 4.9z <= 347.41
-3.52x + 3.71y + 7.73z <= 290.56
6.8x + 9.63y + 9.1z <= 236.37
6.48x + 6.61y + 0.16z <= 779.54
-1.66x + -3.45y + 7.2z <= 251.41
-2.56x + 1.5y + -9.17z <= 783.78
7.31x + -6.76y + 9.26z <= 643.25
0.88x + 7.05y + 9.01z <= 525.64
-1.34x + -7.63y + -0.23z <= 227.51
-8.32x + -3.07y + -8.11z <= 837.14
6.82x + -9.21y + -5.7z <= 456.33
-0.15x + -0.89y + -6.89z <= 611.1
-7.73x + 9.89y + 6.34z <= 626.73
-7.79x + -5.3y + 6.67z <= 692.41
-5.35x + 3.64y + -3.29z <= 385.66
-3.66x + -5.29y + -6.17z <= 760.7
-9.67x + 0.6y + -3.33z <= 854.42
1.88x + 2.64y + 2.83z <= 628.62
8.46x + -7.94y + -4.63z <= 855.61
5.06x + 6.54y + 6.04z <= 631.24
-7.22x + 9.2y + 5.77z <= 649.75
6.41x + 0.58y + -0.27z <= 736.16
8.66x + -9.34y + -1.77z <= 659.51
-1.98x + 2.68y + 8.63z <= 393.11
-8.37x + -2.44y + 4.25z <= 773.47
-5.74x + -1.35y + 2.87z <= 899.64
-7.55x + 7.21y + 4.8z <= 841.97
-7.08x + 6.38y + 9.43z <= 335.86
-5.21x + 0.84y + 7.94z <= 808.09
9.24x + -6.41y + -7.76z <= 991.47
3.11x + 6.32y + 8.13z <= 597.56
4.4x + 4.51y + -9.26z <= 240.68
8.25x + 2.74y + -8.68z <= 293.11
-5.61x + 5.98y + 5.73z <= 542.61
-2.96x + 0.16y + -2.61z <= 444.6
8.68x + 5.19y + -8.3z <= 526.72
-3.83x + -3.14y + 3.94z <= 699.31
2.17x + -3.63y + 4.52z <= 773.52
-0.7x + 8.69y + 9.65z <= 135.7
-3.72x + 7.09y + 5.32z <= 426.26
1.54x + 2.76y + -9.79z <= 975.9
9.23x + -3.35y + 3.13z <= 761.75
2.11x + 6.05y + -3.65z <= 261.23
-6.3x + -9.25y + 2.91z <= 129.8
1.25x + 6.11y + 5.06z <= 870.65
2.55x + 0.7y + -6.91z <= 605.31
-7.41x + -2.54y + -9.73z <= 710.77
-1.17x + 2.94y + -7.31z <= 523.43
0.82x + 5.3y + 5.64z <= 971.84
3.29x + 8.17y + -6.1z <= 442.02
9.99x + 4.5y + -0.31z <= 272.66
-5.38x + -0.67y + 8.74z <= 521.95
-5.51x + -4.02y + -6.47z <= 115.93
-1.89x + -7.66y + -2.65z <= 726.33
9.02x + 0.52y + -1.78z <= 805.88
5.7x + -6.75y + -8.99z <= 459.96
-4.32x + -8.27y + -0.06z <= 738.7
6.93x + -1.85y + 7.56z <= 581.61
4.58x + 0.98y + -6.93z <= 801.15
7.49x + -0.08y + 3.06z <= 317.71
-0.13x + -0.62y + 4.34z <= 561.7
-4.61x + -8.33y + -4.94z <= 515.83
-0.98x + -7.97y + 3.72z <= 113.53
-0.2x + 1.59y + -0.24z <= 236.4
-9.63x + -3.45y + -0.31z <= 887.13
3.9x + -7.4y + 2.82z <= 292.91
3.67x + 6.78y + 6.24z <= 262.64
-7.43x + -5.82y + -2.25z <= 807.99
6.23x + -0.82y + -4.47z <= 268.78
1.86x + -7.56y + 5.55z <= 946.17
0.51x + -2.2y + 3.71z <= 897.69
-4.69x + -0.83y + 2.35z <= 673.3
-4.37x + -9.62y + -7.24z <= 416.03
1.47x + 6.01y + 8.43z <= 227.9
8.02x + 9.93y + -4.31z <= 239.34
3.98x + 3.77y + -1.1z <= 633.99
-9.43x + -8.26y + -1.79z <= 146.26
-8.32x + -2.44y + 2.63z <= 160.93
-3.49x + -4.24y + 3.77z <= 539.66
1.02x + -0.91y + -2.17z <= 769.6
-3.63x + -4.86y + 9.02z <= 797.39
9.04x + -7.26y + -5.45z <= 448.26
-2.94x + 9.05y + 4.86z <= 803.79
-4.08x + 5.21y + 6.03z <= 984.78
-3.71x + 5.59y + 9.39z <= 905.57
5.62x + -4.7y + 4.14z <= 506.95
-7.0x + -6.39y + 4.83z <= 508.65
-3.74x + 6.57y + -8.49z <= 831.1
2.33x + 3.63y + 3.07z <= 817.48
-8.02x + 4.43y + -1.45z <= 332.4
-5.12x + 2.25y + -5.99z <= 708.54
-4.42x + -0.86y + -5.94z <= 522.04
5.3x + -3.57y + 6.42z <= 906.99
9.74x + -6.82y + 6.56z <= 641.65
7.21x + -3.34y + 7.04z <= 867.11
3.56x + -0.13y + -6.44z <= 889.93
6.67x + 9.54y + 6.99z <= 645.61
1.69x + -7.43y + 6.22z <= 491.49
-4.37x + -0.67y + 7.2z <= 444.33
2.26x + 6.34y + 8.37z <= 838.39
7.37x + 3.55y + -8.13z <= 229.21
0.43x + -2.71y + -8.17z <= 705.44
9.9x + 1.61y + 9.7z <= 577.65
-3.96x + -5.32y + -2.37z <= 427.67
-1.62x + 7.86y + 2.46z <= 531.58
1.43x + 2.34y + -8.2z <= 902.29
-4.14x + 9.63y + -8.73z <= 758.61
-1.98x + -8.17y + 3.18z <= 162.19
5.85x + 8.85y + -9.53z <= 931.32
9.13x + 6.2y + 8.11z <= 753.12
-3.65x + -5.17y + -8.28z <= 941.14
-8.75x + 2.28y + -9.88z <= 297.13
3.49x + -4.26y + -9.84z <= 575.41
5.77x + 6.11y + -8.35z <= 421.14
7.56x + 9.93y + -4.12z <= 668.76
8.64x + 2.26y + 8.92z <= 313.88
1.14x + -2.42y + -9.86z <= 614.91
1.04x + -7.2y + 5.57z <= 646.39
-4.69x + 6.53y + -1.24z <= 785.31
5.71x + -2.32y + -8.61z <= 736.12
-5.65x + 4.64y + -6.76z <= 532.46
8.84x + 6.3y + -9.71z <= 350.49
1.25x + 8.96y + -2.49z <= 967.77
-6.87x + -8.37y + 8.88z <= 369.97
-6.79x + -4.29y + 2.69z <= 497.97
-1.97x + -3.49y + -8.39z <= 231.04
8.4x + -8.86y + -8.54z <= 472.18
-7.34x + -7.21y + -9.83z <= 490.26
-7.11x + -0.81y + 9.48z <= 918.16
8.7x + -0.88y + -1.29z <= 561.09
5.56x + -1.13y + -2.13z <= 517.04
2.89x + 8.16y + -3.66z <= 649.29
7.62x + -9.04y + -5.92z <= 815.01
-0.83x + 5.0y + -7.09z <= 765.13
7.85x + 3.45y + -0.46z <= 660.2
2.75x + 3.48y + -3.34z <= 673.4
8.18x + -7.75y + -8.13z <= 642.57
1.29x + -7.13y + -2.06z <= 619.55
7.32x + 0.96y + -2.03z <= 680.32
-7.44x + 8.48y + -9.11z <= 104.93
-4.86x + -0.53y + -4.94z <= 444.67
-6.06x + 2.45y + 7.7z <= 503.83
-9.15x + -3.66y + 2.42z <= 184.54
-4.88x + -9.71y + -5.78z <= 639.39
3.29x + -4.54y + 3.36z <= 423.82
4.97x + 0.45y + -0.33z <= 660.56
-1.85x + 0.62y + 4.44z <= 620.3
6.15x + -1.97y + 7.88z <= 483.95
7.1x + 6.18y + 1.66z <= 913.01
0.52x + -4.37y + 2.63z <= 684.84
2.94x + -9.11y + 6.15z <= 560.72
4.66x + -9.62y + 9.64z <= 956.17
2.81x + 4.51y + 8.87z <= 113.12
-2.24x + -5.69y + -3.91z <= 863.98
-4.84x + 8.56y + 6.94z <= 723.91
-4.58x + -6.86y + -9.27z <= 188.19
9.86x + 6.77y + -8.64z <= 429.22
-6.93x + -1.4y + 7.99z <= 770.68
7.54x + -5.5y + 0.61z <= 842.48
6.61x + -7.02y + 6.9z <= 683.93
6.22x + -0.91y + 1.75z <= 209.18
8.43x + -8.68y + -1.9z <= 501.62
0.74x + 1.14y + 9.31z <= 575.24
-7.61x + -0.76y + -7.09z <= 927.85
6.61x + 6.21y + 2.32z <= 587.32
-6.34x + -7.26y + -7.54z <= 100.18
-7.7x + -6.42y + 2.42z <= 623.08
0.88x + -0.04y + 0.92z <= 601.73
2.03x + -4.38y + 5.11z <= 387.01
2.57x + 8.07y + -9.32z <= 742.93
-6.74x + 6.82y + -1.34z <= 628.2
6.81x + 8.66y + -9.57z <= 337.13
-6.53x + 8.34y + 2.82z <= 151.3
-0.17x + 0.36y + -6.29z <= 540.78
-2.41x + 1.48y + 0.38z <= 153.91
4.68x + -4.15y + 4.47z <= 120.62
-0.4x + -7.55y + -7.67z <= 640.55
7.2x + -5.01y + -9.27z <= 378.52
-1.23x + -8.83y + -7.46z <= 476.31
-4.06x + -6.74y + -8.16z <= 187.95
5.82x + 6.0y + 6.45z <= 660.41
4.39x + -9.3y + -4.63z <= 748.92
7.06x + 2.97y + 9.46z <= 546.74
6.52x + 4.19y + 3.77z <= 509.78
-7.2x + -9.22y + 3.48z <= 931.78
9.98x + -0.86y + 5.12z <= 319.78
-6.89x + 2.92y + -9.0z <= 793.91
-9.83x + -1.83y + -6.7z <= 676.03
-9.27x + -8.38y + 8.58z <= 950.9
7.83x + -1.96y + -6.61z <= 186.91
9.8x + -7.3y + -1.13z <= 700.4
-7.13x + 9.63y + -2.09z <= 122.76
5.53x + 3.72y + -1.46z <= 767.85
2.09x + -2.02y + 6.59z <= 532.01
6.0x + -0.42y + 3.45z <= 409.14
9.03x + 9.99y + -5.43z <= 977.83
-1.78x + 3.54y + -3.76z <= 254.53
7.48x + 8.86y + 5.44z <= 988.02
-5.8x + 3.81y + 6.62z <= 723.36
-8.08x + 5.76y + 2.93z <= 933.43
9.79x + -1.72y + 8.52z <= 618.57
-6.68x + 7.89y + 7.81z <= 703.43
8.57x + 5.73y + -9.19z <= 154.13
8.14x + -1.12y + -3.87z <= 167.21
-4.73x + 8.48y + 3.6z <= 792.57
-0.2x + -7.17y + -5.36z <= 996.32
4.62x + -2.44y + 5.35z <= 255.17
-0.75x + -9.02y + -1.83z <= 109.81
-2.57x + 1.25y + 8.35z <= 600.32
-9.47x + 1.88y + -4.4z <= 761.45
-4.57x + 5.05y + 0.9z <= 750.44
3.76x + -6.99y + 7.98z <= 128.6
5.14x + -7.29y + 6.46z <= 458.42
-2.63x + 6.44y + -7.91z <= 282.91
-0.09x + 7.91y + -6.37z <= 192.06
7.36x + -6.59y + -1.72z <= 698.92
-1.05x + 8.04y + 9.53z <= 543.3
-0.44x + 6.88y + -8.46z <= 646.22
7.04x + -8.25y + -7.12z <= 290.43
3.1x + -7.91y + -1.1z <= 442.58
-7.74x + -4.05y + 4.57z <= 379.69
7.8x + -3.48y + -9.74z <= 480.2
6.06x + -1.68y + 3.74z <= 535.86
-2.6x + 2.21y + -0.13z <= 611.6
-4.96x + 1.18y + 7.29z <= 667.47
-5.36x + 6.0y + -2.88z <= 247.24
6.36x + -3.94y + -7.82z <= 974.93
6.5x + 1.85y + -1.38z <= 162.38
-7.47x + 9.49y + 6.34z <= 675.2
6.51x + 5.47y + 4.96z <= 816.59
-3.25x + -9.77y + -6.04z <= 483.44
-9.51x + 1.42y + 7.59z <= 217.59
-5.84x + -4.53y + 3.64z <= 810.91
9.31x + 4.47y + 6.38z <= 898.44
5.25x + -8.18y + 3.53z <= 775.7
-5.36x + -8.77y + 0.71z <= 703.26
-5.27x + -9.76y + 1.93z <= 831.0
-6.06x + -4.76y + -9.36z <= 120.54
9.07x + -4.01y + -4.49z <= 647.63
-5.93x + 1.6y + -1.69z <= 866.23
-8.46x + -8.42y + 4.98z <= 212.79
3.19x + -5.96y + 3.4z <= 116.17
9.38x + 6.04y + 1.31z <= 711.26
-1.85x + -4.47y + 6.83z <= 657.06
-5.65x + -3.2y + -2.97z <= 669.46
4.72x + 9.66y + -9.19z <= 182.07
9.21x + 9.64y + 6.7z <= 830.71
2.66x + -5.23y + 6.21z <= 596.34
5.62x + -0.7y + -7.89z <= 476.92
1.17x + 3.18y + 7.27z <= 192.69
-8.96x + 3.6y + -9.71z <= 301.46
-2.97x + -8.53y + -3.87z <= 120.88
-3.98x + -9.03y + -8.76z <= 387.47
-1.0x + -7.98y + 1.54z <= 944.72
8.04x + 9.93y + -4.04z <= 823.06
9.48x + 5.4y + -3.91z <= 675.14
9.82x + 7.03y + 2.28z <= 359.68
6.56x + -7.91y + 0.12z <= 427.83
1.54x + 4.79y + -1.83z <= 236.24
5.26x + 8.07y + 8.22z <= 477.09
-1.0x + -0.37y + 7.14z <= 470.07
6.28x + -5.87y + -3.6z <= 433.06
7.8x + 2.84y + 4.7z <= 897.75
4.3x + -9.01y + -0.69z <= 847.53
4.68x + -0.88y + 3.95z <= 127.7
9.15x + -7.04y + -7.23z <= 911.24
0.25x + -0.67y + -9.33z <= 997.33
-1.5x + -9.75y + 4.63z <= 606.81
4.68x + -0.32y + -6.12z <= 842.67
0.37x + 8.28y + 2.34z <= 104.26
-5.46x + 8.64y + 9.85z <= 740.68
6.55x + -1.01y + -2.5z <= 235.07
6.12x + 4.64y + -3.2z <= 914.2
-7.29x + 5.72y + -5.24z <= 755.01
-3.13x + -2.64y + -8.58z <= 730.72
-1.03x + -7.77y + 6.83z <= 149.11
7.05x + 2.05y + 0.4z <= 504.59
-2.41x + 6.29y + 7.57z <= 452.22
1.75x + -7.56y + 2.12z <= 234.33
-5.03x + 0.17y + 1.09z <= 510.55
2.46x + -8.0y + 7.1z <= 382.51
2.62x + -8.44y + 3.95z <= 840.5
-6.13x + -2.38y + -4.1z <= 167.42
4.16x + -9.14y + -6.43z <= 543.93
6.5x + 3.93y + -3.09z <= 963.63
-8.6x + -7.27y + 9.43z <= 802.67
-0.08x + 7.44y + -0.79z <= 973.39
7.13x + -2.24y + 0.07z <= 147.65
5.9x + -1.47y + -5.14z <= 633.84
-4.57x + 9.01y + 5.38z <= 750.97
9.93x + -5.25y + -2.73z <= 907.67
5.01x + 7.59y + -3.38z <= 995.69
0.74x + 5.12y + 5.11z <= 903.94
-8.97x + 8.4y + -2.42z <= 625.67
-5.71x + -1.04y + -8.89z <= 102.28
2.17x + 4.07y + -8.81z <= 957.88
-0.91x + 5.11y + 8.32z <= 529.88
-1.43x + -7.5y + -8.35z <= 675.43
9.68x + 8.2y + 5.32z <= 287.52
-5.41x + 8.61y + 1.57z <= 530.54
4.13x + 5.39y + 2.08z <= 916.01
-9.44x + -5.91y + -7.77z <= 720.49
-2.29x + 7.23y + -4.76z <= 334.29
2.32x + 3.17y + 7.29z <= 302.88
-6.47x + 9.79y + -6.58z <= 721.72
1.06x + -3.64y + 4.15z <= 786.37
-6.92x + 1.5y + -2.05z <= 686.78
3.59x + -3.2y + 9.47z <= 109.57
1.17x + -9.74y + 5.33z <= 264.58
9.05x + -7.32y + -8.11z <= 402.84
-5.33x + 4.07y + 4.19z <= 662.48
6.79x + 7.8y + 8.51z <= 963.43
-7.72x + 0.97y + -7.27z <= 872.38
-5.81x + 7.28y + 1.58z <= 123.6
-9.95x + -8.02y + -5.31z <= 489.35
-9.17x + 2.92y + 2.57z <= 861.81
1.23x + 5.55y + 7.41z <= 912.03
3.04x + 2.11y + -8.27z <= 681.42
2.67x + -2.31y + 5.55z <= 470.53
-5.95x + 3.75y + -2.76z <= 568.74
-7.91x + 8.33y + -4.82z <= 514.82
0.11x + 3.8y + -7.08z <= 899.83
8.6x + -1.61y + -1.71z <= 595.51
5.71x + 7.94y + 9.39z <= 663.33
-1.76x + -9.51y + -4.84z <= 693.55
6.47x + 6.2y + 8.74z <= 448.62
-0.92x + -3.13y + 7.28z <= 256.44
-0.25x + 8.82y + 7.68z <= 997.42
3.87x + -2.04y + 3.58z <= 777.78
-8.91x + 1.55y + 9.63z <= 950.46
5.48x + -3.12y + 5.15z <= 800.58
-4.54x + -7.25y + 2.8z <= 511.87
0.12x + -6.85y + -8.1z <= 468.73
9.8x + -2.93y + -7.85z <= 176.28
7.8x + 1.99y + 9.76z <= 991.57
3.76x + -3.58y + -3.1z <= 569.95
2.92x + 5.11y + 5.84z <= 160.37
0.81x + -9.07y + 6.52z <= 333.58
-5.53x + -7.68y + 3.95z <= 380.74
6.32x + 7.14y + -5.76z <= 413.51
-3.0x + -9.64y + -1.97z <= 534.61
7.24x + -3.92y + 7.81z <= 373.31
-7.57x + -7.97y + -0.03z <= 550.59
-6.45x + -0.07y + -1.38z <= 849.47
-9.11x + 7.34y + -0.24z <= 149.81
-2.81x + -9.1y + -3.25z <= 322.69
-2.12x + 8.21y + 6.26z <= 841.82
7.91x + 1.95y + 7.63z <= 984.46
-7.18x + 8.09y + 9.55z <= 212.24
-6.19x + 6.77y + 5.91z <= 392.09
-8.07x + 5.35y + -4.92z <= 189.19
5.33x + 9.92y + 4.76z <= 482.82
3.57x + 4.88y + 2.73z <= 912.37
2.98x + 6.2y + -7.98z <= 888.55
-5.22x + 8.69y + -6.09z <= 842.68
-8.33x + 9.48y + -9.06z <= 808.07
6.53x + 4.3y + 9.04z <= 250.32
9.06x + 9.51y + -8.37z <= 538.24
-1.15x + -8.55y + -4.22z <= 558.78
-4.06x + -0.53y + -7.81z <= 101.3
8.54x + 4.99y + 0.5z <= 491.42
1.75x + 7.97y + 5.03z <= 630.4
-2.32x + 7.74y + 3.48z <= 556.58
6.51x + -9.43y + -2.4z <= 997.2
8.22x + -6.39y + 0.96z <= 237.67
2.94x + 4.16y + -3.76z <= 563.54
