max 7.17x + -0.93y + -4.52z
-6.99x + 5.1y + -5.97z <= 692.79
-6.0x + 0.75y + -4.13z <= 256.94
6.01x + -0.85y + -4.41z <= 211.34
-7.54x + -9.11y + 9.28z <= 703.64
-6.12x + 8.85y + 0.1z <= 310.44
0.51x + 8.43y + -4.26z <= 283.39
-0.21x + 0.76y + 5.05z <= 982.92
-0.32x + -9.23y + -5.79z <= 290.84
-6.44x + -6.77y + -9.59z <= 231.84
6.9x + -2.75y + 3.37z <= 602.41
7.12x + -7.95y + -5.4z <= 404.14
-1.13x + -2.16y + -5.26z <= 665.22
-5.14x + -2.13y + -5.11z <= 432.06
-4.21x + -1.98y + 6.09z <= 980.4
-7.02x + -4.21y + 3.64z <= 518.49
0.15x + 1.41y + 0.8z <= 346.78
-8.06x + -9.72y + -6.28z <= 190.71
-7.33x + -3.19y + -9.36z <= 725.52
-9.54x + 7.54y + 9.14z <= 677.87
-0.69x + 0.48y + -2.0z <= 480.01
5.05x + -7.34y + 6.98z <= 923.12
-1.74x + -2.9y + -9.12z <= 714.46
2.22x + -5.7y + -6.8z <= 476.44
1.14x + -0.27y + 9.13z <= 304.32
5.86x + 7.52y + 8.97z <= 871.9
-5.68x + 8.71y + -3.2z <= 289.75
5.39x + 2.87y + -7.74z <= 980.4
-5.13x + -6.25y + 7.53z <= 471.63
8.31x + 0.8y + -5.44z <= 865.08
3.8x + -5.86y + -5.5z <= 779.21
-9.78x + 1.45y + -7.92z <= 484.03
9.93x + 1.87y + -1.0z <= 803.83
-0.78x + 0.6y + -6.57z <= 185.5
4.04x + -8.03y + -9.13z <= 245.42
-9.54x + 2.26y + -8.86z <= 183.49
9.63x + -8.52y + -2.7z <= 705.2
-6.62x + -2.67y + 2.64z <= 708.13
5.01x + 3.85y + -8.01z <= 290.14
2.96x + -1.66y + 4.7z <= 493.55
-4.21x + 6.05y + 6.01z <= 800.48
-1.1x + -2.58y + 4.39z <= 702.0
-0.54x + 2.45y + -1.04z <= 619.4
-6.69x + 3.93y + 4.93z <= 212.58
6.49x + -6.97y + 8.07z <= 399.01
-5.73x + 8.86y + 4.78z <= 551.19
-8.11x + -3.12y + -6.65z <= 990.1
-6.41x + -9.41y + 1.46z <= 540.03
0.13x + -6.97y + -2.3z <= 215.36
-7.08x + 1.47y + -2.94z <= 946.9
1.93x + -0.88y + -8.84z <= 729.11
5.19x + 1.64y + -7.08z <= 595.79
-0.5x + 6.52y + -1.59z <= 190.35
6.7x + -6.15y + -3.53z <= 468.36
9.39x + 8.08y + -6.28z <= 978.44
8.52x + -0.83y + -7.57z <= 789.16
1.94x + -5.54y + 9.18z <= 332.33
0.36x + -6.5y + 9.21z <= 577.65
-2.73x + 3.04y + -8.87z <= 665.78
2.58x + -5.33y + 4.12z <= 950.02
-2.01x + -3.87y + -5.87z <= 784.64
4.71x + -5.34y + 7.46z <= 740.51
9.24x + -6.75y + -3.81z <= 385.04
9.17x + 9.63y + 6.65z <= 739.97
8.51x + 7.84y + 4.62z <= 973.13
-9.24x + -4.75y + 2.26z <= 232.6
9.45x + 1.28y + 4.78z <= 893.69
3.4x + -9.82y + -1.82z <= 188.45
-4.19x + -4.21y + 6.26z <= 526.29
9.17x + 5.22y + -5.78z <= 587.97
-4.25x + -7.89y + 0.04z <= 381.62
-8.47x + -7.21y + -6.08z <= 804.49
1.26x + 2.8y + 4.32z <= 779.63
-0.4x + 2.13y + -5.98z <= 124.07
-0.91x + 6.37y + -1.5z <= 932.14
5.58x + 8.64y + -2.53z <= 796.88
-0.43x + 1.06y + -0.04z <= 590.19
-5.55x + 0.15y + 5.33z <= 457.58
4.35x + -5.18y + 5.43z <= 566.52
0.56x + -8.2y + 0.05z <= 309.9
-0.03x + 4.72y + 0.51z <= 919.4
5.9x + -2.22y + 7.42z <= 656.41
5.13x + 2.61y + -6.95z <= 258.59
0.67x + -8.56y + 0.96z <= 622.29
-0.01x + -0.45y + -9.68z <= 928.66
6.4x + -6.88y + 5.42z <= 274.17
-9.52x + 9.84y + 8.76z <= 277.27
1.93x + 0.96y + -4.36z <= 973.71
-8.49x + 9.73y + -6.61z <= 626.5
9.83x + 9.73y + 7.99z <= 567.92
2.76x + 9.36y + 2.66z <= 489.59
-7.18x + -4.16y + -7.88z <= 948.09
0.27x + -9.68y + -8.8z <= 979.94
-0.38x + -6.24y + -2.21z <= 681.1
7.17x + -5.44y + -9.2z <= 451.31
-3.16x + 4.08y + -3.5z <= 643.8
-7.02x + 7.95y + -5.73z <= 355.44
-9.82x + 9.85y + -9.36z <= 846.73
-3.49x + 2.72y + -8.37z <= 732.25
-0.23x + -0.05y + 7.95z <= 357.79
-7.81x + 3.87y + 8.07z <= 968.99
-7.13x + -7.14y + -6.54z <= 158.11
-6.72x + -1.64y + -4.8z <= 770.6
-0.68x + -4.45y + 3.84z <= 420.09
4.15x + -0.28y + -0.14z <= 287.77
-4.56x + 9.88y + -9.55z <= 414.05
0.06x + -4.05y + -0.86z <= 457.47
-3.98x + 3.5y + -9.07z <= 533.2
-5.47x + -4.12y + 0.12z <= 680.73
-3.3x + -0.05y + -9.32z <= 413.04
-5.0x + -2.73y + 6.78z <= 473.51
-6.13x + -3.65y + -6.93z <= 512.89
-0.49x + -3.95y + -0.6z <= 461.01
1.72x + 4.06y + 6.72z <= 148.26
-2.6x + -6.08y + -8.15z <= 735.27
3.8x + 9.55y + -1.75z <= 489.33
-3.04x + 7.95y + 8.96z <= 260.13
-3.13x + -5.9y + -5.8z <= 794.33
-4.44x + -7.26y + 0.44z <= 173.52
7.88x + -6.25y + 1.37z <= 195.34
-8.18x + 1.32y + 5.44z <= 678.04
-6.46x + -6.37y + 8.39z <= 130.09
5.42x + -0.73y + -4.8z <= 553.05
-4.28x + -3.64y + -3.93z <= 888.72
-4.92x + -8.97y + 4.22z <= 346.7
-0.49x + -4.78y + -4.43z <= 905.55
-4.46x + -3.08y + -8.99z <= 197.68
4.23x + 5.37y + -5.49z <= 320.34
8.69x + -6.95y + 7.41z <= 965.48
-5.97x + -4.84y + 7.06z <= 147.51
-2.28x + -9.5y + -5.4z <= 200.05
-2.91x + -6.81y + -4.53z <= 514.64
6.0x + 2.19y + 1.47z <= 794.89
-2.31x + -5.86y + -9.79z <= 890.12
4.69x + 3.38y + 7.06z <= 326.35
-5.19x + -7.42y + -4.65z <= 655.14
-3.11x + 4.18y + 4.12z <= 607.37
0.94x + 5.2y + -1.57z <= 804.24
-1.32x + 5.77y + 1.89z <= 180.24
-4.82x + -8.85y + 7.95z <= 883.72
8.74x + -2.05y + -9.99z <= 267.02
9.88x + -4.24y + 5.89z <= 464.18
-5.5x + -5.8y + -7.02z <= 309.21
-5.31x + 6.0y + -9.76z <= 827.28
4.28x + -6.1y + -4.35z <= 628.23
4.53x + -7.59y + -7.35z <= 684.51
-2.25x + -2.51y + -2.47z <= 531.72
1.6x + 9.08y + -5.78z <= 587.39
-4.0x + -7.32y + 9.26z <= 701.95
8.88x + 0.43y + 1.03z <= 219.55
7.79x + -5.68y + -1.17z <= 329.28
2.52x + -3.15y + 8.45z <= 775.86
9.44x + -9.73y + -7.89z <= 755.88
3.81x + -8.93y + -4.9z <= 676.05
0.75x + -4.91y + -6.84z <= 899.81
7.62x + 2.4y + -9.09z <= 126.38
7.67x + 7.92y + -7.25z <= 740.61
-3.18x + 9.3y + 3.37z <= 231.71
4.17x + -5.08y + -3.22z <= 648.74
4.59x + -7.17y + 0.45z <= 974.67
-9.47x + 4.18y + -4.8z <= 571.24
9.96x + 6.61y + 2.99z <= 790.72
6.24x + 8.9y + 1.28z <= 734.98
1.56x + -7.26y + 0.85z <= 278.09
7.83x + 6.93y + 6.57z <= 380.9
-8.99x + -8.46y + 5.59z <= 252.05
5.74x + 6.22y + -5.4z <= 741.78
1.83x + -9.7y + -8.49z <= 327.04
0.87x + -7.56y + -3.76z <= 926.57
-0.92x + -7.03y + -8.03z <= 894.29
6.34x + 5.73y + 4.9z <= 160.45
1.95x + -7.13y + 2.97z <= 619.66
-3.38x + -4.93y + -7.8z <= 129.77
-0.15x + 6.31y + 8.79z <= 767.98
6.0x + 9.09y + -6.44z <= 404.77
4.54x + -5.31y + -1.22z <= 481.24
8.75x + -9.78y + -4.63z <= 507.57
7.55x + -5.55y + 4.09z <= 214.03
9.06x + 0.25y + -8.03z <= 939.67
3.72x + 6.67y + 2.86z <= 228.83
6.51x + 9.4y + -6.56z <= 928.19
-2.68x + -5.27y + -4.23z <= 916.46
6.98x + 2.48y + -3.11z <= 545.58
-7.86x + 6.16y + -1.24z <= 549.3
-3.95x + 3.41y + -3.87z <= 772.46
-9.22x + -4.86y + -4.21z <= 332.68
-8.68x + 5.72y + 0.9z <= 647.94
-8.08x + 8.1y + 1.09z <= 284.58
-8.48x + -6.06y + -4.84z <= 141.68
-8.3x + 1.44y + 5.65z <= 198.37
-9.73x + -9.85y + 2.38z <= 262.28
-9.18x + 3.02y + -6.93z <= 115.49
-1.91x + -1.2y + 3.57z <= 811.21
-9.13x + -6.2y + -8.17z <= 317.72
-0.17x + 3.04y + 4.85z <= 334.46
-7.16x + 8.14y + 6.96z <= 615.44
-7.15x + -5.07y + -6.11z <= 923.85
4.1x + 3.83y + -9.33z <= 283.56
-8.52x + -3.27y + -4.05z <= 353.68
2.34x + -6.43y + 1.09z <= 139.43
1.27x + 0.96y + -9.21z <= 457.14
-6.56x + 9.55y + 0.1z <= 195.54
-5.41x + -8.87y + 9.67z <= 511.49
-3.61x + -3.89y + -0.41z <= 537.38
-4.98x + 0.5y + 7.86z <= 316.47
-0.86x + 0.46y + -8.35z <= 420.03
-3.96x + 3.98y + -1.91z <= 993.93
-8.65x + 9.3y + 2.74z <= 419.75
-0.68x + -2.93y + -3.1z <= 674.59
0.71x + -8.19y + 1.36z <= 159.36
8.4x + -8.79y + -3.4z <= 304.46
4.24x + 9.15y + -3.6z <= 602.25
3.5x + 0.09y + -4.09z <= 911.27
5.13x + 0.42y + -9.12z <= 627.25
-1.9x + 4.72y + 5.89z <= 807.78
5.84x + -7.26y + -5.71z <= 783.82
-2.1x + 5.81y + -9.16z <= 866.15
-2.27x + -4.92y + 0.06z <= 517.66
8.8x + 2.62y + 3.0z <= 730.42
6.23x + -8.54y + -5.32z <= 242.22
1.74x + -6.88y + 9.93z <= 392.86
-9.22x + 8.75y + -9.11z <= 732.88
5.6x + 8.13y + 9.42z <= 643.09
-0.35x + -9.8y + 2.24z <= 230.51
-6.07x + 9.92y + 7.49z <= 349.26
-7.9x + 9.16y + 6.15z <= 421.92
-1.86x + 8.88y + 5.53z <= 162.02
2.82x + 7.68y + -6.53z <= 808.69
-9.05x + 4.64y + -1.08z <= 586.65
0.88x + 9.18y + -9.72z <= 329.36
-6.6x + 9.09y + -1.16z <= 151.69
-4.22x + 3.94y + -1.11z <= 207.93
-0.37x + 0.67y + 1.35z <= 685.51
-6.49x + -9.69y + -6.99z <= 298.94
4.51x + 5.99y + 7.48z <= 974.61
9.17x + 1.46y + 7.57z <= 124.91
1.4x + -6.35y + -8.32z <= 326.79
-3.97x + 2.79y + -8.49z <= 888.83
0.55x + -7.65y + -2.71z <= 422.94
-2.2x + 1.04y + -8.83z <= 723.11
-4.43x + -8.04y + -2.57z <= 898.79
-6.7x + -9.31y + -1.5z <= 279.52
3.78x + 8.98y + -1.33z <= 896.73
-2.75x + -4.86y + 6.08z <= 504.44
6.36x + 5.68y + 0.17z <= 259.32
5.83x + 7.14y + 4.89z <= 861.82
-0.05x + 8.01y + -2.18z <= 799.85
-1.89x + 5.54y + 9.68z <= 996.32
3.15x + 8.29y + -7.52z <= 930.89
-4.36x + 1.98y + -9.39z <= 625.81
6.71x + -2.51y + 0.66z <= 939.24
-1.45x + -9.22y + 5.6z <= 120.22
8.99x + 1.18y + -7.35z <= 821.16
6.9x + 2.99y + -5.21z <= 144.29
-1.84x + 5.91y + 2.59z <= 439.7
9.32x + 9.73y + -6.08z <= 344.43
0.17x + -4.21y + -4.94z <= 137.28
-4.87x + 0.76y + 1.01z <= 906.44
-2.5x + 8.12y + 9.08z <= 638.17
-5.71x + -4.7y + 7.34z <= 348.94
-9.42x + -9.11y + 1.81z <= 623.01
-3.55x + -1.25y + 1.31z <= 743.07
7.39x + -4.16y + 5.32z <= 924.16
0.12x + -0.75y + -5.0z <= 382.66
9.13x + 3.31y + -2.98z <= 970.82
-7.25x + 9.17y + -1.33z <= 184.88
3.34x + -3.03y + -7.38z <= 710.99
2.0x + 5.8y + 9.64z <= 168.39
5.66x + -1.17y + -3.28z <= 504.65
4.4x + -1.76y + 3.44z <= 615.22
2.12x + 6.23y + 9.8z <= 466.57
-0.28x + 4.67y + -8.48z <= 327.87
9.97x + -5.77y + 9.76z <= 667.86
7.0x + 3.08y + -5.71z <= 244.09
-1.89x + -8.96y + 2.57z <= 376.77
6.22x + 9.33y + 1.12z <= 457.19
-6.83x + -6.71y + -7.03z <= 956.18
-0.67x + -5.0y + 4.05z <= 354.83
-4.94x + 2.07y + 3.3z <= 391.38
-0.01x + -1.13y + 8.75z <= 871.61
-0.18x + 5.41y + 8.45z <= 196.5
3.82x + 7.34y + -8.71z <= 355.65
-6.72x + 2.59y + 4.77z <= 413.43
6.21x + -2.54y + -2.88z <= 558.13
-3.57x + -0.14y + -0.03z <= 716.8
6.82x + -1.38y + -4.82z <= 505.69
-6.06x + 3.96y + 7.8z <= 610.38
-0.98x + -2.06y + -5.49z <= 466.96
-9.24x + 2.54y + -5.03z <= 424.77
6.82x + -2.69y + 2.37z <= 467.37
-8.1x + 8.54y + -1.73z <= 657.78
-6.04x + 1.97y + 3.98z <= 874.99
5.2x + -8.76y + 7.86z <= 581.35
-1.48x + -7.01y + -9.39z <= 337.37
9.62x + -3.88y + -1.11z <= 368.52
2.04x + 4.48y + 8.49z <= 213.62
9.7x + -1.45y + 5.45z <= 159.42
-8.22x + -3.59y + 6.19z <= 805.27
5.87x + 8.04y + -7.96z <= 613.56
-7.56x + -9.95y + -5.72z <= 169.24
-5.1x + 7.15y + 8.28z <= 644.35
-5.59x + 4.1y + -2.06z <= 733.32
-7.55x + -5.9y + 4.92z <= 218.63
-5.84x + -6.18y + 0.86z <= 189.06
-7.62x + -4.38y + 2.18z <= 547.29
0.25x + -5.88y + -6.56z <= 174.45
4.22x + 9.45y + -3.54z <= 266.54
-3.85x + -7.33y + 1.46z <= 751.26
-2.76x + 5.78y + 2.42z <= 531.92
1.2x + 8.46y + 4.61z <= 158.45
8.74x + -5.64y + -8.05z <= 596.22
-6.19x + -7.48y + -3.08z <= 480.41
-2.37x + -7.32y + 9.35z <= 529.31
-2.6x + -3.63y + 2.55z <= 237.95
2.36x + -4.92y + -1.02z <= 147.11
1.71x + 4.93y + 3.52z <= 750.87
-9.9x + -0.12y + 1.27z <= 332.74
6.02x + 9.22y + 5.35z <= 840.65
2.18x + 1.5y + 5.63z <= 723.08
-6.87x + 0.97y + 7.94z <= 175.18
0.04x + 5.28y + -8.7z <= 555.62
-7.15x + -3.48y + -8.11z <= 875.01
9.62x + -6.85y + -7.61z <= 729.33
1.32x + -6.06y + -5.17z <= 768.36
-3.86x + -4.53y + -4.56z <= 637.41
8.45x + 9.84y + -3.95z <= 323.79
6.41x + -5.4y + -0.69z <= 383.21
-6.16x + -5.87y + 5.25z <= 327.02
-5.63x + -9.75y + -9.72z <= 716.28
-2.91x + 8.33y + 8.9z <= 428.41
-8.0x + -4.27y + 8.82z <= 146.8
-9.81x + -9.15y + 6.78z <= 649.62
7.01x + -7.27y + 5.16z <= 824.22
3.01x + -0.26y + -4.97z <= 814.27
9.92x + 8.84y + 0.53z <= 707.5
2.72x + -6.44y + 6.18z <= 278.98
-9.56x + -7.27y + 5.21z <= 753.51
-7.51x + -5.81y + -9.41z <= 496.33
7.7x + -0.41y + -8.22z <= 321.28
-2.91x + 6.03y + -2.32z <= 835.33
2.1x + -2.7y + 4.98z <= 234.76
-9.46x + -6.87y + -8.28z <= 697.56
3.29x + 7.38y + 2.74z <= 762.59
5.97x + 0.71y + 9.32z <= 125.58
-7.95x + -0.4y + 9.03z <= 900.39
0.83x + 4.28y + 3.67z <= 828.86
-1.61x + -6.27y + 7.16z <= 213.06
-9.65x + 1.3y + -2.15z <= 386.02
-0.5x + -0.11y + -9.95z <= 681.96
0.68x + 4.51y + -0.04z <= 286.45
-8.94x + -7.21y + -1.2z <= 307.17
-3.63x + -4.81y + 7.48z <= 160.28
0.28x + -6.3y + 1.41z <= 871.64
-0.69x + -1.15y + -9.98z <= 381.84
-1.05x + -1.68y + 7.06z <= 970.76
-7.98x + -6.4y + -3.14z <= 383.8
-3.58x + -0.28y + 5.14z <= 529.29
-3.01x + -10.0y + -9.17z <= 193.5
-7.66x + -1.92y + 9.76z <= 561.84
-8.89x + 3.48y + -1.44z <= 749.29
5.89x + -3.48y + -6.61z <= 604.18
4.46x + -1.16y + -6.5z <= 168.0
-8.89x + 8.99y + 1.68z <= 839.53
1.41x + 8.94y + 6.56z <= 255.21
-3.94x + 4.77y + -7.16z <= 349.19
1.18x + -0.71y + -5.35z <= 378.64
6.68x + 8.73y + -5.17z <= 348.57
-9.2x + -7.86y + -6.51z <= 500.77
-4.25x + -1.8y + 6.33z <= 233.47
-2.46x + 1.57y + 8.68z <= 513.61
-4.08x + -9.55y + -3.55z <= 944.74
2.89x + -7.2y + 5.86z <= 719.86
3.85x + 9.71y + -7.36z <= 252.99
-7.39x + 9.52y + 5.77z <= 313.62
-4.74x + 9.52y + 0.04z <= 865.23
5.19x + -1.24y + 0.33z <= 801.92
-2.46x + -2.29y + 6.47z <= 906.86
-2.38x + -0.76y + -2.05z <= 466.71
-6.79x + 6.63y + -3.81z <= 943.18
8.29x + -2.79y + 9.55z <= 314.61
8.95x + -5.0y + 1.4z <= 818.93
-4.64x + -4.05y + -1.44z <= 469.75
-5.1x + -6.96y + -8.21z <= 711.49
-5.99x + -5.61y + 1.62z <= 134.6
3.57x + 3.45y + -9.84z <= 323.89
1.33x + -9.8y + -7.12z <= 708.0
-3.7x + -0.29y + 6.99z <= 444.9
1.45x + 3.63y + 0.83z <= 324.73
3.81x + -7.76y + -1.63z <= 676.91
-1.72x + 4.42y + 4.48z <= 451.41
-4.28x + -7.7y + 3.93z <= 473.68
-3.49x + 8.29y + 8.68z <= 276.98
-8.59x + 7.76y + -2.4z <= 217.21
7.45x + 4.42y + -9.75z <= 922.65
1.79x + 9.76y + -9.93z <= 185.03
6.58x + 6.96y + -2.14z <= 955.12
-1.44x + -7.09y + -1.73z <= 478.88
7.37x + 4.38y + 8.1z <= 929.32
6.64x + -4.02y + 4.88z <= 251.32
-9.7x + -4.5y + -2.2z <= 327.89
0.33x + -8.04y + -7.97z <= 412.68
-7.11x + 7.88y + -4.92z <= 556.07
-5.12x + -7.03y + 6.0z <= 744.59
0.75x + 6.65y + -1.4z <= 327.36
9.23x + -2.82y + 7.96z <= 487.92
-6.81x + 5.12y + -3.3z <= 414.28
9.85x + 6.25y + -6.24z <= 693.85
-9.1x + 1.64y + -6.84z <= 817.41
2.89x + -6.9y + 2.79z <= 969.2
8.22x + -2.83y + -2.69z <= 238.82
-8.0x + -0.43y + -4.4z <= 936.68
-5.63x + -1.0y + 8.22z <= 587.39
-2.89x + -9.88y + 0.18z <= 720.04
-7.03x + 4.71y + -3.06z <= 209.87
-0.06x + 2.16y + -1.79z <= 773.4
-0.5x + -5.87y + -9.08z <= 503.72
-3.8x + -4.61y + -0.11z <= 983.1
1.96x + -1.87y + 2.23z <= 481.87
-2.2x + 7.83y + -1.46z <= 518.28
-7.27x + -4.35y + -3.15z <= 974.81
-7.68x + -5.26y + -2.85z <= 131.95
7.95x + -9.96y + -4.2z <= 880.69
-9.06x + -4.11y + -7.41z <= 804.21
0.19x + 5.08y + 8.88z <= 414.53
-5.1x + 1.24y + 9.49z <= 386.24
-4.73x + -4.12y + -7.59z <= 643.5
6.45x + -0.95y + -8.34z <= 915.98
-5.25x + -5.8y + 9.18z <= 649.87
-4.32x + -6.45y + 0.93z <= 792.32
-8.96x + 4.52y + -1.91z <= 521.72
8.58x + -5.48y + 0.06z <= 208.54
5.02x + -3.52y + -2.48z <= 807.45
6.19x + -3.55y + -5.07z <= 714.8
-4.74x + 6.08y + 2.45z <= 679.83
-8.85x + -9.66y + 9.72z <= 962.11
-4.34x + -5.88y + -6.1z <= 386.21
9.94x + 2.1y + -7.4z <= 765.12
-6.81x + -2.92y + 3.29z <= 191.63
9.5x + -2.79y + 1.63z <= 268.55
0.33x + 5.24y + 7.59z <= 177.81
-2.71x + -1.41y + 8.7z <= 935.95
-2.56x + 6.12y + -1.53z <= 336.62
-4.76x + 4.86y + -8.07z <= 516.87
9.01x + -3.99y + -5.73z <= 847.69
1.47x + -0.76y + 5.57z <= 267.94
5.63x + -6.14y + -3.5z <= 910.25
4.71x + -7.6y + -7.45z <= 990.15
-1.75x + -5.22y + -5.66z <= 728.79
5.0x + 6.16y + 3.0z <= 514.53
-2.72x + 3.79y + 1.87z <= 783.82
2.5x + -7.74y + -6.04z <= 997.37
-9.87x + 5.05y + 8.21z <= 807.54
-0.58x + -1.7y + 1.15z <= 949.23
-0.99x + -9.75y + -3.21z <= 680.16
-6.51x + 6.11y + -0.62z <= 517.46
-8.28x + -2.06y + 7.33z <= 667.2
-1.2x + 7.02y + -1.33z <= 960.31
-0.98x + -8.42y + -0.31z <= 118.35
6.76x + -3.6y + 0.22z <= 887.08
-4.23x + 3.26y + 3.78z <= 711.2
-7.53x + 2.82y + -7.12z <= 427.24
-9.7x + 7.09y + 3.69z <= 555.42
6.54x + -2.41y + -8.83z <= 889.77
3.03x + -4.67y + 9.87z <= 333.4
2.24x + 0.66y + -2.25z <= 459.07
-6.91x + -8.92y + -3.57z <= 441.74
7.25x + -8.73y + -4.52z <= 562.31
4.78x + -4.2y + 3.09z <= 569.67
6.03x + -7.23y + -2.48z <= 451.27
-5.51x + -1.22y + 3.36z <= 266.73
-5.77x + 7.74y + -0.31z <= 699.72
-4.37x + 5.18y + 2.34z <= 326.68
-8.17x + 9.63y + -0.69z <= 346.44
-7.15x + -0.96y + 8.99z <= 489.42
-8.29x + 9.1y + 9.87z <= 748.44
0.37x + -0.84y + 8.2z <= 894.04
2.16x + 7.05y + 4.61z <= 685.27
9.19x + -7.25y + 7.74z <= 563.14
4.61x + 8.35y + 0.09z <= 958.32
-1.72x + -4.92y + 0.56z <= 799.23
2.94x + -4.6y + -0.68z <= 413.32
2.18x + -6.61y + 3.11z <= 897.66
3.25x + -3.87y + 9.12z <= 170.16
9.79x + 1.75y + -7.07z <= 496.09
-4.84x + -8.03y + 6.77z <= 582.54
0.45x + 9.77y + 9.72z <= 428.81
2.72x + -0.64y + -7.78z <= 514.27
-2.55x + -2.84y + 8.38z <= 127.43
-4.49x + -4.88y + -8.36z <= 361.13
0.58x + 6.09y + -1.04z <= 706.22
-7.1x + -8.61y + -5.58z <= 459.87
1.34x + -1.68y + 1.63z <= 254.77
7.52x + -2.02y + -5.54z <= 269.62
-2.3x + 3.37y + -2.84z <= 208.32
8.34x + -4.7y + -1.41z <= 247.55
4.43x + 4.59y + 0.6z <= 530.66
-6.15x + 7.9y + 2.64z <= 806.36
8.45x + 7.88y + 2.11z <= 884.24
5.1x + 2.56y + 2.14z <= 827.23
-3.9x + 9.14y + -2.18z <= 202.41
-1.3x + -1.25y + -3.08z <= 119.06
2.26x + 6.62y + -8.0z <= 289.55
8.23x + 3.68y + 8.13z <= 114.62
3.89x + 0.08y + 4.04z <= 558.84
0.06x + 4.68y + 6.72z <= 153.94
-6.28x + -5.97y + -1.46z <= 404.39
-9.77x + -8.66y + 2.97z <= 167.38
-2.43x + -0.5y + -0.4z <= 884.56
-7.5x + 8.71y + -6.85z <= 388.68
-0.65x + -0.72y + 2.84z <= 480.95
-6.46x + -9.81y + -7.64z <= 941.61
7.75x + -0.02y + -1.58z <= 878.78
7.77x + 5.46y + -8.12z <= 823.46
-9.75x + 9.97y + -1.4z <= 474.45
-1.59x + 6.94y + -1.9z <= 996.45
1.18x + -2.72y + 2.83z <= 872.83
3.66x + -3.97y + 0.31z <= 279.86
0.26x + 7.96y + -1.37z <= 961.89
8.54x + -7.84y + 0.13z <= 888.49
2.34x + -5.86y + 7.56z <= 923.95
2.16x + 8.31y + 4.17z <= 674.5
3.49x + -1.26y + 6.49z <= 955.25
2.43x + -2.69y + -0.88z <= 915.27
-7.41x + -2.18y + -0.9z <= 926.27
-5.45x + 8.93y + 9.59z <= 925.45
6.35x + -9.28y + -2.94z <= 421.44
9.65x + -6.52y + -3.17z <= 300.23
-0.01x + 7.86y + -0.89z <= 766.8
-4.99x + 4.5y + 7.97z <= 201.3
-9.71x + 4.14y + 0.88z <= 824.58
-9.55x + 6.69y + -1.51z <= 936.04
-1.47x + -8.28y + 4.83z <= 988.68
6.13x + -8.32y + -0.79z <= 205.9
-8.53x + -1.45y + 8.83z <= 178.53
-3.9x + 6.72y + -7.04z <= 824.01
3.21x + -5.34y + -4.76z <= 533.23
-6.21x + -7.3y + -4.11z <= 831.58
-2.23x + -1.49y + 1.65z <= 113.58
-1.81x + -9.54y + -2.27z <= 909.33
-9.76x + -7.27y + 9.56z <= 810.54
6.96x + -6.11y + 5.48z <= 237.95
7.57x + -2.49y + -3.81z <= 435.89
6.25x + -1.21y + 4.26z <= 373.52
0.38x + 9.44y + 8.58z <= 446.57
-8.43x + -0.82y + 3.0z <= 395.92
-0.62x + -9.58y + -5.65z <= 727.07
-0.66x + 6.41y + -1.01z <= 500.14
4.87x + 4.09y + -0.68z <= 897.05
-6.64x + -5.29y + 4.7z <= 664.04
6.4x + -7.28y + 6.41z <= 610.03
-7.58x + 4.49y + 4.73z <= 179.36
-2.3x + 7.13y + 1.69z <= 228.48
8.91x + -8.95y + -0.18z <= 308.99
-4.03x + -8.15y + -9.59z <= 734.06
-1.43x + 8.47y + 3.91z <= 726.82
-8.07x + 0.14y + -6.05z <= 354.15
4.44x + -2.48y + 5.33z <= 717.5
-8.84x + 4.75y + -8.5z <= 971.42
4.03x + -3.55y + 4.06z <= 771.17
-2.31x + -8.04y + -9.16z <= 403.95
-6.04x + 2.63y + -7.98z <= 741.67
-3.75x + 2.26y + -1.59z <= 797.04
9.79x + -4.77y + -1.93z <= 296.8
8.24x + 9.71y + 0.04z <= 251.08
5.95x + -9.58y + 6.76z <= 470.97
-2.59x + 2.02y + 7.62z <= 557.98
2.46x + 1.92y + 5.17z <= 639.97
4.03x + 4.51y + -8.51z <= 329.64
-4.63x + -2.63y + 7.36z <= 597.06
9.43x + 0.77y + -9.94z <= 877.67
8.12x + -5.29y + 7.33z <= 909.74
-8.21x + -7.92y + -4.71z <= 459.05
6.14x + 0.48y + 6.95z <= 314.76
4.76x + -9.28y + -2.78z <= 485.12
6.06x + -4.5y + -6.51z <= 412.0
8.09x + -7.44y + -3.12z <= 517.6
9.29x + 2.52y + -0.95z <= 996.1
5.87x + 8.02y + -3.96z <= 952.25
6.04x + -9.34y + 4.96z <= 957.55
-7.15x + -6.88y + 1.75z <= 977.72
1.79x + 9.97y + 5.47z <= 458.57
-7.91x + -0.84y + 5.1z <= 263.0
-5.12x + 9.61y + 7.77z <= 871.45
6.93x + -8.85y + 5.43z <= 690.9
-7.34x + -2.93y + -5.87z <= 456.47
-2.69x + -3.91y + 9.29z <= 618.84
5.25x + -8.23y + -7.12z <= 936.75
9.54x + -2.42y + -0.03z <= 611.11
3.55x + 4.38y + 0.47z <= 302.93
-2.44x + -9.35y + -3.35z <= 887.82
7.25x + -8.58y + -8.41z <= 644.87
1.77x + -9.61y + 3.67z <= 641.82
8.83x + 1.8y + 1.5z <= 289.84
-8.64x + 6.04y + -6.86z <= 322.44
6.18x + -2.17y + 7.17z <= 514.65
