max -7.92x + -0.77y + -8.39z
5.69x + 3.41y + -6.49z <= 198.45
3.68x + -6.27y + -2.28z <= 878.23
8.24x + 2.48y + 1.68z <= 844.89
-2.25x + -3.39y + 7.92z <= 800.41
9.15x + 4.95y + 5.69z <= 543.22
3.22x + 9.95y + 1.25z <= 823.47
4.32x + 0.05y + -4.68z <= 120.96
1.52x + 3.23y + 2.99z <= 193.03
-0.47x + -5.89y + 5.14z <= 756.57
-3.92x + -3.52y + 1.75z <= 886.42
4.0x + 7.46y + -0.74z <= 682.8
-6.34x + 9.25y + -3.39z <= 484.94
5.7x + 2.16y + 8.02z <= 962.78
1.6x + 5.68y + 6.32z <= 432.44
-3.25x + 7.61y + 1.25z <= 872.36
-5.68x + -9.49y + -3.53z <= 242.7
8.83x + -4.04y + -0.08z <= 748.48
-6.42x + -2.11y + -2.82z <= 387.38
1.88x + 3.48y + 0.36z <= 892.47
-8.35x + 7.14y + -9.07z <= 788.99
-6.7x + 2.9y + 7.43z <= 320.94
8.83x + 0.15y + 3.38z <= 210.41
8.35x + -6.44y + 9.69z <= 456.46
3.21x + -5.39y + 2.61z <= 948.33
-1.62x + -5.96y + -5.07z <= 381.9
6.52x + -7.2y + -9.22z <= 973.19
-8.59x + 8.02y + 7.88z <= 128.45
-0.1x + -3.6y + -4.03z <= 764.14
-0.54x + 9.46y + 1.68z <= 772.66
7.53x + -0.41y + 9.15z <= 731.68
7.41x + -6.33y + 1.14z <= 449.72
-8.97x + -3.33y + -4.98z <= 836.7
2.99x + 1.01y + -8.9z <= 904.59
4.06x + -9.15y + -0.25z <= 183.47
5.05x + 6.84y + 2.38z <= 585.36
-3.97x + -5.37y + -2.13z <= 955.65
-8.32x + -8.53y + 6.25z <= 968.66
-5.63x + 7.0y + -3.82z <= 218.03
-1.06x + 9.88y + 9.65z <= 540.2
0.49x + 0.28y + -0.87z <= 812.23
-5.97x + -3.62y + 3.56z <= 158.51
6.37x + 0.57y + -7.31z <= 725.49
4.08x + -4.23y + -3.16z <= 329.36
-9.22x + -6.92y + 9.48z <= 640.96
0.45x + 2.29y + 9.72z <= 694.23
-0.76x + -5.46y + 1.12z <= 154.51
8.87x + -2.36y + -7.53z <= 173.28
-3.17x + 6.79y + -1.09z <= 229.61
-9.71x + 8.82y + 8.68z <= 973.08
-7.68x + 3.89y + -3.33z <= 950.67
-6.13x + 6.25y + 7.65z <= 893.35
-0.51x + -1.43y + 4.79z <= 604.59
-6.52x + 8.29y + -7.18z <= 165.39
1.27x + 5.15y + 5.47z <= 773.09
-5.89x + 1.07y + 1.97z <= 668.46
6.1x + -6.45y + 9.0z <= 284.74
-9.33x + -0.97y + 9.77z <= 200.17
5.82x + -5.96y + -6.59z <= 650.76
-3.07x + -7.19y + 7.47z <= 673.08
-9.62x + -9.72y + -0.6z <= 123.81
5.85x + 6.55y + 2.0z <= 313.26
9.81x + 9.13y + -6.47z <= 108.75
0.6x + 6.73y + 1.64z <= 165.78
-1.58x + 2.82y + -3.0z <= 490.74
7.28x + 6.42y + -4.55z <= 659.07
3.34x + 6.81y + 5.52z <= 356.12
6.82x + 1.42y + -7.31z <= 522.66
-9.19x + -0.36y + 5.1z <= 377.61
-5.2x + 9.34y + -5.29z <= 137.63
5.0x + -0.4y + -1.75z <= 578.19
-3.68x + -1.96y + 8.52z <= 251.6
9.17x + -2.28y + -3.54z <= 304.16
6.58x + -8.76y + 5.61z <= 331.23
4.05x + -1.79y + -1.8z <= 849.91
-2.36x + 7.62y + -0.74z <= 302.45
-5.45x + 3.55y + 8.94z <= 466.31
-4.99x + 0.55y + -6.26z <= 877.83
-4.63x + -0.28y + -5.22z <= 765.27
-9.02x + 8.18y + -4.0z <= 596.63
4.54x + -4.7y + 7.72z <= 421.32
-8.33x + -1.39y + 1.39z <= 468.09
3.67x + -7.07y + 2.3z <= 250.25
-0.37x + 0.34y + -6.78z <= 938.61
1.66x + 6.1y + -9.64z <= 196.84
-8.48x + 7.31y + -7.21z <= 743.01
-3.23x + 1.5y + 2.2z <= 659.0
7.16x + 8.47y + -4.65z <= 861.1
5.51x + -9.86y + -6.85z <= 783.8
3.03x + 4.77y + -6.71z <= 459.95
1.15x + 9.43y + 4.7z <= 515.46
0.13x + 4.62y + -2.9z <= 949.73
9.67x + 1.56y + -0.66z <= 542.83
6.19x + -2.99y + -2.0z <= 548.1
-4.22x + -0.88y + 2.23z <= 440.37
2.52x + 2.35y + -8.11z <= 609.72
-6.12x + 9.78y + 2.52z <= 346.86
5.23x + 9.55y + -9.06z <= 680.8
0.64x + 0.2y + -1.22z <= 293.78
6.79x + -0.85y + -4.51z <= 208.59
8.56x + -0.47y + -7.17z <= 542.03
-3.04x + 8.87y + -1.79z <= 948.39
0.98x + -7.59y + 9.73z <= 894.67
-8.77x + -7.25y + -4.02z <= 269.1
4.04x + 9.4y + 9.51z <= 649.22
5.13x + -8.01y + -4.57z <= 923.42
2.48x + 3.46y + 7.62z <= 235.75
7.64x + -9.62y + -9.1z <= 321.55
-2.1x + -5.38y + -1.71z <= 810.38
8.03x + -4.48y + 6.38z <= 385.36
6.25x + 2.79y + 8.37z <= 845.2
2.19x + -8.02y + 1.56z <= 484.28
8.36x + -7.74y + 0.32z <= 462.75
-3.61x + 4.59y + 0.15z <= 145.69
1.96x + 3.27y + 7.98z <= 337.23
-5.97x + -4.5y + 8.31z <= 725.68
-8.9x + -9.8y + -7.0z <= 471.44
4.33x + -1.43y + -3.44z <= 108.03
-3.48x + 0.77y + -0.56z <= 942.85
5.81x + 2.85y + 7.47z <= 930.61
0.61x + -5.34y + 8.12z <= 285.52
0.88x + 6.01y + 9.5z <= 187.31
-1.44x + -9.39y + -6.71z <= 442.15
-9.24x + -2.16y + 0.74z <= 807.34
-8.36x + -2.91y + 3.61z <= 327.2
-5.18x + 2.74y + -5.29z <= 398.38
0.98x + -2.41y + -5.53z <= 659.87
-3.94x + -9.41y + -2.91z <= 863.9
9.8x + -6.5y + 5.53z <= 139.79
-6.13x + -9.56y + -7.11z <= 790.35
-1.84x + -2.54y + 8.69z <= 179.15
6.01x + -8.44y + 4.7z <= 817.85
3.97x + -2.8y + 4.77z <= 277.79
1.91x + 4.08y + 2.47z <= 451.89
-3.0x + 1.11y + 8.88z <= 307.86
1.58x + 4.13y + 3.04z <= 592.43
-7.68x + -8.82y + 8.76z <= 797.65
-5.41x + -1.67y + 0.12z <= 324.46
-6.87x + 9.14y + 6.99z <= 587.12
-9.2x + -3.97y + -1.35z <= 699.63
-8.53x + 10.0y + -9.0z <= 439.65
2.2x + 1.35y + 2.09z <= 172.79
9.03x + 8.44y + 5.94z <= 825.26
-6.1x + -3.77y + -8.16z <= 160.82
-7.63x + -8.84y + 6.13z <= 314.76
-3.85x + 4.28y + -3.56z <= 288.58
-2.48x + 8.56y + 3.54z <= 775.03
-3.06x + 3.12y + -1.71z <= 518.48
-6.31x + 3.69y + 3.99z <= 816.1
-9.96x + 0.09y + 1.79z <= 157.56
5.81x + 8.63y + 7.25z <= 197.57
-2.33x + 4.4y + -5.98z <= 693.88
-8.48x + 9.73y + 3.74z <= 779.42
1.54x + -9.79y + -1.09z <= 560.06
0.27x + -0.11y + -5.34z <= 712.14
-7.75x + -9.61y + -3.06z <= 231.47
3.07x + 7.96y + -0.97z <= 693.33
-3.51x + 1.52y + 2.29z <= 134.72
4.44x + 4.84y + 1.76z <= 581.45
0.06x + -3.71y + 7.59z <= 666.62
8.45x + 6.03y + -6.39z <= 818.65
-7.16x + -2.33y + -6.96z <= 816.64
-0.01x + 5.99y + -2.44z <= 325.03
7.78x + 5.43y + 6.66z <= 260.35
5.52x + -4.57y + 9.52z <= 679.01
0.1x + -4.14y + 6.37z <= 137.37
1.49x + 9.68y + -0.68z <= 833.76
-5.48x + 5.94y + 3.14z <= 529.97
6.92x + 7.16y + 9.81z <= 835.4
-0.23x + -6.26y + 0.64z <= 397.17
-2.72x + -3.39y + 1.67z <= 707.29
-5.43x + -7.96y + -2.3z <= 843.23
0.41x + -1.62y + -1.92z <= 809.51
-5.35x + 9.02y + 7.9z <= 903.77
-7.22x + 4.78y + -2.24z <= 971.07
-6.84x + 6.53y + 1.61z <= 983.7
8.95x + -5.28y + -1.1z <= 600.1
8.07x + -3.17y + -1.74z <= 515.77
1.37x + -7.18y + 8.78z <= 462.39
5.93x + 7.22y + -6.57z <= 357.06
-7.55x + 0.65y + -0.87z <= 689.49
3.2x + 4.3y + -9.45z <= 997.04
7.31x + -7.29y + -6.42z <= 836.47
-4.94x + -8.21y + 2.46z <= 651.49
-1.08x + -4.55y + 7.41z <= 409.85
7.99x + -0.2y + 6.11z <= 107.5
-6.85x + 8.43y + -9.04z <= 657.28
1.73x + -8.58y + 8.96z <= 644.59
-0.35x + 4.91y + -6.9z <= 824.03
0.73x + 7.43y + -0.37z <= 363.66
-3.23x + -7.67y + -1.44z <= 451.87
-8.23x + 8.71y + 7.41z <= 293.11
7.51x + 1.8y + 0.63z <= 436.45
-6.95x + -9.0y + -8.86z <= 237.68
-2.69x + -8.87y + 6.81z <= 137.86
5.07x + -2.48y + 7.87z <= 704.81
6.32x + -5.32y + -4.79z <= 238.1
-6.24x + -8.46y + -9.02z <= 343.64
-4.66x + 1.1y + -6.16z <= 396.64
7.53x + -7.27y + -9.36z <= 954.28
3.95x + -3.88y + 3.5z <= 539.76
5.0x + 3.59y + -2.71z <= 169.32
-8.69x + -2.24y + 9.71z <= 338.64
-0.49x + -5.3y + 0.68z <= 117.94
3.78x + -7.21y + 3.14z <= 951.77
7.61x + -1.61y + 5.95z <= 739.21
7.91x + -0.58y + 4.74z <= 578.98
-1.26x + 6.29y + 9.86z <= 269.73
-4.3x + 4.25y + 9.15z <= 646.35
-3.81x + -3.03y + -0.83z <= 139.23
2.39x + 6.51y + -2.95z <= 781.5
-0.25x + -2.68y + 0.87z <= 234.56
-7.58x + -5.2y + -1.27z <= 488.2
0.61x + -3.45y + 8.97z <= 824.5
-6.37x + -7.17y + 0.47z <= 333.58
-1.55x + -9.68y + 1.6z <= 441.39
4.15x + 4.31y + -1.06z <= 473.25
-4.41x + 0.13y + -5.17z <= 252.73
-9.41x + 2.06y + -5.06z <= 975.28
9.06x + 6.17y + -4.11z <= 608.34
-7.46x + -8.29y + -2.28z <= 932.95
7.05x + -3.03y + -4.56z <= 393.4
4.67x + -1.73y + -0.89z <= 378.06
6.39x + -2.78y + -2.05z <= 485.05
-7.63x + -6.87y + -0.45z <= 441.37
5.22x + 4.58y + -3.24z <= 198.36
-7.74x + 3.37y + 3.83z <= 452.89
-6.44x + 3.9y + -2.06z <= 464.76
-7.33x + -1.26y + -3.64z <= 743.96
9.88x + -3.5y + 4.49z <= 614.3
-2.19x + -0.94y + 7.6z <= 657.39
-4.87x + -3.83y + 4.18z <= 576.35
-9.95x + 3.71y + 8.32z <= 706.4
-2.38x + -1.25y + 5.83z <= 277.9
-2.62x + -6.74y + 0.94z <= 222.02
9.26x + -0.84y + -5.29z <= 542.94
-9.26x + 2.94y + 6.19z <= 687.93
-4.98x + -8.31y + 3.98z <= 409.8
5.32x + 9.0y + -9.36z <= 435.44
-9.21x + 9.39y + 0.78z <= 266.0
8.53x + 2.27y + -4.24z <= 835.17
-4.64x + -4.56y + 7.0z <= 608.94
9.82x + -0.91y + -1.56z <= 199.31
1.13x + -3.08y + 4.91z <= 329.0
9.57x + -9.38y + 7.55z <= 831.63
-8.52x + 1.94y + 9.76z <= 698.25
3.65x + 0.08y + 7.29z <= 128.53
3.11x + 8.21y + 1.69z <= 983.15
0.69x + 9.61y + 8.28z <= 745.49
-3.24x + 9.13y + 8.69z <= 132.63
-0.27x + 2.7y + 9.8z <= 763.85
9.57x + 0.05y + -1.46z <= 491.35
-9.13x + -1.53y + -2.59z <= 577.63
4.23x + 3.67y + 6.15z <= 274.97
-6.62x + 3.87y + -2.46z <= 590.3
-1.08x + -2.25y + 9.12z <= 307.33
-9.29x + -4.05y + -7.55z <= 305.89
-3.55x + -1.77y + 6.73z <= 899.54
8.53x + 8.91y + 3.92z <= 845.57
1.37x + 1.76y + -3.62z <= 541.54
-3.08x + -4.81y + 0.75z <= 356.69
-2.93x + -9.6y + 5.98z <= 509.59
3.6x + -3.51y + 2.47z <= 799.02
-1.13x + 1.48y + 4.98z <= 552.81
-2.64x + 7.16y + 9.99z <= 608.87
1.98x + -4.17y + -8.3z <= 473.27
4.18x + -2.29y + -6.74z <= 844.62
4.34x + 7.73y + 7.84z <= 867.34
6.06x + -1.9y + -8.56z <= 352.78
2.61x + -3.7y + 5.29z <= 374.41
-6.06x + 1.2y + -0.76z <= 957.29
8.6x + 6.84y + 8.7z <= 301.48
-6.95x + -8.41y + 0.7z <= 865.88
-9.65x + -6.3y + -8.65z <= 363.73
-4.97x + -8.87y + -3.14z <= 828.06
0.75x + -2.43y + -0.62z <= 643.25
6.07x + -2.66y + -7.69z <= 862.87
1.04x + 0.11y + 0.22z <= 478.33
5.08x + -8.79y + 3.37z <= 889.21
0.23x + -6.66y + 4.16z <= 183.14
5.95x + 7.55y + -6.44z <= 651.21
-9.62x + -5.85y + 5.99z <= 446.58
-2.99x + 3.68y + 9.56z <= 936.51
-4.57x + -7.0y + 2.79z <= 338.33
0.18x + 4.58y + 7.82z <= 644.77
-5.25x + -6.5y + -3.72z <= 726.71
-1.85x + 7.92y + 4.02z <= 507.46
1.64x + 6.46y + -6.2z <= 786.08
-6.83x + -1.77y + 9.6z <= 858.78
4.43x + 7.52y + -4.89z <= 732.87
-2.53x + 3.3y + 0.6z <= 750.22
1.3x + 9.21y + -3.36z <= 312.76
5.35x + 8.11y + -0.07z <= 776.23
-2.15x + -3.01y + -3.35z <= 187.19
6.34x + 4.54y + 4.23z <= 361.61
7.77x + 2.21y + 3.12z <= 135.98
5.21x + -4.87y + -1.72z <= 332.57
-6.39x + 2.06y + 8.6z <= 645.98
-4.64x + 3.57y + -3.41z <= 285.37
9.12x + -0.84y + -5.01z <= 726.46
-4.52x + 4.18y + -1.9z <= 659.73
-4.33x + 6.82y + 1.27z <= 340.5
-1.33x + 1.52y + 2.48z <= 375.92
-7.88x + 5.65y + 5.95z <= 134.38
0.28x + 2.44y + -9.74z <= 909.79
-7.39x + -5.94y + -7.53z <= 171.8
9.35x + -0.29y + -1.81z <= 158.37
0.85x + -4.97y + -1.87z <= 581.53
-9.3x + 8.33y + 2.29z <= 970.42
-4.21x + -4.47y + 6.4z <= 468.31
-6.3x + 0.44y + -7.8z <= 933.27
7.62x + -7.13y + -6.44z <= 565.24
-1.39x + -0.59y + -4.22z <= 573.64
-5.71x + -3.74y + 5.27z <= 672.79
7.32x + 1.18y + 6.01z <= 250.4
4.09x + 4.48y + -0.79z <= 399.62
0.05x + -0.28y + 7.77z <= 911.68
-9.51x + -8.18y + -6.66z <= 674.82
-3.53x + -4.29y + 9.09z <= 695.89
-6.15x + -2.25y + 7.97z <= 145.51
-9.81x + -3.73y + 7.38z <= 221.62
2.04x + 8.67y + 3.13z <= 958.92
6.88x + 8.23y + -3.99z <= 696.23
-5.44x + 6.64y + -2.94z <= 870.43
-8.21x + -3.0y + -7.19z <= 581.24
1.0x + -0.56y + -3.97z <= 690.81
2.98x + -5.31y + 6.71z <= 197.77
0.88x + -2.86y + -6.61z <= 938.93
6.99x + 7.85y + 9.41z <= 518.5
8.25x + -6.67y + 0.23z <= 274.81
-0.1x + -9.47y + -1.85z <= 390.15
9.33x + 7.98y + -4.12z <= 108.99
6.06x + -7.41y + 7.7z <= 887.66
8.24x + -8.46y + -8.49z <= 134.91
-4.98x + -6.08y + 8.0z <= 413.48
5.63x + -8.16y + -3.16z <= 678.07
-2.48x + 0.05y + 3.86z <= 805.68
-1.25x + 4.89y + -6.45z <= 966.16
-7.59x + -3.6y + 1.2z <= 921.58
7.78x + -4.69y + 7.82z <= 634.27
-6.69x + 0.16y + 1.6z <= 175.53
-0.29x + 8.17y + 0.37z <= 864.92
-0.33x + 9.34y + -2.44z <= 799.63
4.19x + 6.0y + -3.02z <= 604.85
0.54x + -6.23y + -7.67z <= 638.01
8.5x + -0.49y + -9.61z <= 582.69
-4.11x + -4.82y + 5.94z <= 359.17
9.97x + -6.25y + 3.28z <= 228.79
-3.18x + -4.39y + 6.54z <= 627.17
-2.85x + -4.61y + -8.12z <= 933.04
2.68x + 9.64y + 1.84z <= 573.78
7.01x + 9.87y + -8.38z <= 191.34
5.56x + 9.99y + -4.96z <= 978.21
6.94x + -5.06y + 2.94z <= 644.93
-5.68x + -2.17y + 6.93z <= 486.94
8.48x + -0.4y + -7.15z <= 325.13
7.01x + 5.56y + -1.76z <= 516.18
2.07x + -7.16y + 2.08z <= 522.36
4.65x + 5.4y + -8.96z <= 632.49
1.51x + 6.05y + 1.55z <= 162.21
-4.79x + -2.85y + 4.38z <= 693.84
-6.49x + 1.73y + 8.42z <= 727.72
9.35x + -8.11y + -8.5z <= 897.64
-8.87x + -9.14y + -3.49z <= 749.69
2.39x + 8.6y + 7.57z <= 626.59
-2.42x + 9.8y + -6.7z <= 619.22
-3.44x + -5.03y + 5.15z <= 403.47
5.37x + 6.21y + 0.38z <= 538.01
2.99x + -4.48y + -0.96z <= 381.51
-5.81x + 3.31y + 8.21z <= 630.29
-8.12x + 7.85y + -8.34z <= 323.4
4.36x + -1.09y + -4.82z <= 382.39
-8.48x + 9.26y + 0.26z <= 759.41
-0.5x + 1.5y + 3.41z <= 702.92
-7.8x + -0.2y + 9.74z <= 640.9
9.3x + -8.2y + 5.99z <= 783.63
-5.58x + 7.84y + 9.2z <= 880.44
-4.89x + 4.08y + 0.18z <= 397.66
-4.45x + -1.61y + -3.41z <= 828.41
2.83x + -4.5y + -4.6z <= 390.81
-0.15x + -6.27y + -2.1z <= 998.14
6.79x + -0.59y + -2.77z <= 114.71
-2.43x + 8.18y + 9.69z <= 371.92
-4.42x + -3.55y + 8.07z <= 586.21
-4.23x + 0.63y + 4.7z <= 824.51
-7.57x + 9.58y + 5.2z <= 755.08
-5.74x + -0.83y + -4.05z <= 715.79
9.82x + -9.53y + -8.77z <= 907.58
1.1x + -7.03y + -1.07z <= 387.03
0.07x + 4.24y + 6.26z <= 960.75
6.04x + -5.79y + 3.12z <= 657.61
-0.63x + -7.92y + 5.03z <= 794.82
-2.02x + 1.7y + -1.84z <= 907.2
5.67x + -5.92y + 1.55z <= 627.05
1.27x + 7.36y + 9.46z <= 476.63
1.28x + 1.48y + 6.22z <= 126.82
-0.96x + -5.73y + -6.88z <= 830.62
6.92x + 8.01y + 3.07z <= 957.28
6.48x + -9.28y + -5.34z <= 977.64
3.89x + 6.73y + 0.14z <= 178.83
2.05x + 7.97y + 4.49z <= 922.64
5.49x + -2.42y + 7.13z <= 676.35
4.28x + 0.95y + 1.34z <= 826.41
-5.16x + 9.71y + -5.38z <= 546.25
-3.46x + -0.58y + -5.7z <= 616.07
-0.61x + 2.97y + 6.68z <= 850.08
5.7x + 8.87y + -4.34z <= 825.26
-8.34x + -7.8y + 9.89z <= 769.19
-6.33x + -9.33y + 1.18z <= 552.98
-0.57x + -0.28y + -8.04z <= 729.26
9.51x + -3.3y + -9.01z <= 726.54
7.01x + 3.6y + -8.41z <= 230.42
-6.93x + 4.98y + -6.12z <= 547.31
-5.16x + -0.56y + 2.73z <= 797.65
-7.55x + -2.9y + 8.84z <= 885.53
3.36x + 3.39y + 8.78z <= 734.48
9.66x + -4.34y + 4.63z <= 596.63
3.11x + -9.76y + -8.4z <= 196.87
2.94x + -1.78y + -3.85z <= 429.22
9.67x + -9.55y + -2.39z <= 850.88
-7.13x + 0.01y + -5.28z <= 792.07
6.91x + 3.66y + -2.75z <= 554.78
7.69x + 3.17y + -0.93z <= 147.48
-9.72x + -6.63y + -7.69z <= 337.46
-7.93x + -6.54y + 8.31z <= 454.61
-6.78x + 1.2y + -1.78z <= 795.86
8.03x + -5.65y + -9.6z <= 662.6
5.78x + -2.68y + 8.93z <= 425.01
-8.36x + -8.55y + 4.62z <= 942.86
-7.72x + -1.66y + 5.32z <= 936.12
-8.68x + -5.22y + 0.59z <= 782.53
1.93x + -8.81y + -4.89z <= 798.91
-5.21x + -5.01y + -5.94z <= 622.99
-5.41x + 6.06y + 3.06z <= 381.38
-0.74x + -2.64y + -4.22z <= 102.1
-6.91x + -4.18y + 8.67z <= 180.04
-5.19x + 6.61y + 2.72z <= 930.7
-0.48x + -3.93y + -3.43z <= 589.87
6.72x + 2.12y + 9.33z <= 948.71
3.92x + -2.77y + 1.0z <= 383.13
-5.71x + -0.87y + 2.48z <= 177.69
5.15x + 6.08y + 6.46z <= 984.41
4.83x + 8.6y + -2.71z <= 580.63
-4.08x + -9.34y + 7.26z <= 479.71
8.63x + 4.85y + -3.8z <= 385.47
-8.81x + 4.11y + 3.52z <= 129.17
-1.41x + -5.91y + -9.4z <= 309.44
-8.04x + -5.48y + 6.94z <= 821.75
8.87x + -9.32y + -3.34z <= 733.62
-7.65x + -8.86y + 5.52z <= 223.32
-2.94x + 7.33y + 2.33z <= 350.0
-6.38x + 8.29y + -4.33z <= 680.79
-1.7x + -2.41y + 7.01z <= 526.83
-2.34x + 7.82y + -5.99z <= 980.65
-9.72x + -4.67y + -5.95z <= 265.91
-8.24x + 3.4y + 5.29z <= 740.81
-2.82x + 3.96y + 7.13z <= 572.68
-9.97x + 5.47y + 6.21z <= 244.74
5.37x + -5.34y + -5.18z <= 517.0
7.22x + -5.73y + -7.62z <= 216.42
-1.55x + -8.94y + 1.33z <= 295.24
7.49x + -6.78y + -7.72z <= 647.24
3.04x + -4.86y + 1.22z <= 147.65
-4.27x + -5.45y + 5.46z <= 801.41
-3.04x + 8.9y + 1.13z <= 109.81
6.48x + 1.83y + 4.61z <= 832.2
-1.29x + 5.52y + -4.3z <= 927.54
-2.15x + 1.41y + 5.82z <= 369.36
4.96x + -2.03y + -9.86z <= 879.76
3.02x + -6.56y + -1.19z <= 534.15
9.12x + -7.6y + 2.99z <= 952.48
-5.95x + 8.92y + 8.41z <= 978.11
7.72x + -3.36y + 2.59z <= 490.79
9.17x + 8.75y + 9.16z <= 125.69
-2.71x + 3.49y + 8.99z <= 896.51
6.96x + -4.24y + -5.2z <= 418.93
-4.07x + 9.63y + -6.78z <= 890.22
-0.08x + -0.66y + 7.72z <= 371.02
0.49x + -1.87y + 7.36z <= 871.85
7.74x + -0.15y + 8.3z <= 759.45
3.06x + 9.94y + -9.34z <= 311.31
-1.33x + 2.35y + -8.74z <= 951.19
-5.74x + 0.78y + -0.64z <= 375.48
0.06x + -8.2y + 0.45z <= 596.12
6.45x + -6.6y + 9.45z <= 275.7
-7.21x + -0.96y + -8.01z <= 231.68
-5.05x + 8.66y + 4.09z <= 641.79
-2.51x + -9.85y + -8.83z <= 869.09
-5.23x + -9.94y + 3.83z <= 742.42
-1.44x + 2.32y + -0.8z <= 539.21
-8.23x + 9.24y + 2.83z <= 168.93
-3.99x + 8.3y + 4.81z <= 453.41
0.94x + 8.37y + 5.51z <= 179.16
-8.94x + -5.26y + -4.81z <= 979.93
5.39x + 8.55y + -4.17z <= 705.57
8.53x + -1.32y + 0.75z <= 841.19
1.68x + 0.66y + -2.68z <= 143.28
8.98x + -6.97y + 6.12z <= 706.07
-0.42x + -2.72y + 8.48z <= 113.37
-2.87x + -7.21y + -9.67z <= 364.39
-8.83x + -5.77y + 6.94z <= 973.36
0.39x + -7.74y + 4.26z <= 114.04
-6.29x + 7.3y + -8.01z <= 952.01
8.49x + 2.49y + 4.38z <= 252.47
7.32x + 4.59y + -0.52z <= 871.89
8.93x + -0.09y + -5.25z <= 266.81
7.12x + -5.65y + -1.03z <= 124.6
4.83x + -1.4y + 3.06z <= 658.49
-6.1x + -2.23y + 3.67z <= 581.3
0.65x + 2.17y + 7.37z <= 329.79
-9.96x + 8.51y + -2.95z <= 114.56
-4.23x + -8.28y + -4.55z <= 932.56
9.21x + 2.18y + 3.89z <= 775.03
8.38x + -7.17y + -2.04z <= 139.85
7.36x + 5.46y + -5.39z <= 694.22
-3.51x + 9.39y + -8.22z <= 186.19
1.41x + 2.27y + 9.34z <= 415.82
-9.95x + 4.74y + 1.19z <= 871.91
-8.74x + -2.12y + -2.76z <= 374.42
4.0x + -5.16y + -5.85z <= 117.49
2.83x + 8.95y + -8.62z <= 580.62
0.72x + 5.33y + -5.03z <= 642.71
9.87x + 2.39y + 8.85z <= 995.65
-0.91x + -0.01y + 3.89z <= 406.67
-7.32x + 3.39y + -8.09z <= 831.89
5.59x + -1.52y + 6.34z <= 888.41
-8.08x + 2.87y + -5.45z <= 382.44
9.35x + 2.78y + -8.28z <= 325.94
0.77x + 7.42y + -0.01z <= 125.17
4.03x + -6.35y + 9.0z <= 164.69
-8.1x + -6.38y + -0.6z <= 977.34
7.85x + -6.6y + -8.41z <= 619.11
-4.86x + 6.51y + 6.94z <= 940.41
-6.88x + -1.32y + -7.41z <= 175.71
-5.55x + 3.56y + 7.77z <= 279.79
-4.1x + -6.84y + -4.94z <= 654.2
9.99x + -5.35y + -0.67z <= 829.88
2.14x + -5.93y + -4.97z <= 986.64
9.86x + -9.99y + -8.15z <= 813.3
-4.5x + -8.67y + 5.3z <= 944.63
-0.5x + 0.42y + -6.38z <= 168.13
-1.34x + 7.54y + -10.0z <= 617.79
5.62x + -9.57y + -8.3z <= 597.13
3.19x + 2.95y + -4.97z <= 616.94
1.41x + 9.36y + 9.25z <= 572.3
-9.23x + -5.92y + 8.44z <= 783.04
-9.17x + 7.74y + 9.05z <= 207.88
-1.71x + -2.6y + -2.62z <= 897.92
1.24x + 7.52y + 7.15z <= 435.66
-9.0x + -3.65y + 1.86z <= 667.19
6.99x + 0.96y + -1.08z <= 864.92
-2.79x + 7.94y + 0.99z <= 277.92
9.1x + -0.14y + 3.42z <= 121.48
-9.77x + 5.83y + -7.88z <= 461.35
9.5x + -3.32y + -7.08z <= 938.31
9.45x + -8.06y + 5.69z <= 231.36
5.11x + -6.92y + 0.48z <= 870.04
-5.42x + 7.28y + -6.11z <= 569.21
2.04x + -2.82y + 2.6z <= 242.69
-7.86x + -8.76y + 3.64z <= 623.6
5.36x + -9.93y + 6.64z <= 929.78
4.23x + -9.63y + 6.89z <= 514.68
2.87x + 3.69y + 5.37z <= 833.99
-0.39x + -1.46y + -7.18z <= 292.75
9.25x + 0.56y + 3.96z <= 449.48
-0.39x + 0.9y + -6.14z <= 458.62
-8.38x + -0.32y + -6.69z <= 131.85
1.63x + -7.05y + -1.9z <= 841.26
1.56x + 0.42y + 0.25z <= 214.85
-5.97x + -3.19y + -6.23z <= 154.46
4.41x + -9.29y + -7.42z <= 152.47
3.69x + 9.67y + 6.59z <= 711.28
-5.79x + 4.82y + -8.05z <= 634.12
-7.47x + -4.95y + 0.08z <= 739.45
5.1x + -7.06y + -0.28z <= 485.84
-9.49x + -2.32y + 5.61z <= 309.38
5.73x + -5.83y + -5.17z <= 587.5
-9.92x + -5.86y + 5.51z <= 916.2
8.55x + 1.42y + -3.55z <= 214.69
-1.91x + 8.27y + 9.39z <= 986.91
-6.59x + 3.91y + -4.56z <= 567.17
5.01x + -8.26y + 0.71z <= 427.37
8.56x + -5.15y + 1.77z <= 326.52
5.61x + -0.8y + -7.87z <= 426.73
-7.12x + -0.18y + -5.59z <= 853.53
0.2x + -4.62y + -5.34z <= 794.31
-4.61x + -0.47y + 5.99z <= 976.25
2.44x + -9.0y + -4.33z <= 391.67
-0.7x + -0.24y + 8.68z <= 191.84
-9.55x + 8.44y + 5.88z <= 731.5
7.21x + -4.59y + -7.7z <= 190.84
7.68x + -0.1y + -6.57z <= 643.27
7.33x + 2.83y + -9.48z <= 498.84
2.11x + -0.41y + -1.22z <= 734.28
2.0x + -0.53y + -1.66z <= 322.35
