max 7.72x + -4.04y + 3.37z
-3.58x + 5.74y + 0.19z <= 533.71
-2.58x + -9.55y + -5.63z <= 986.8
3.69x + -0.34y + -1.47z <= 350.89
-0.52x + 5.4y + -1.41z <= 714.81
-9.82x + -3.92y + 2.53z <= 706.26
7.81x + -9.88y + 0.24z <= 938.47
-7.15x + 9.34y + 7.31z <= 963.92
-9.2x + -1.63y + 4.66z <= 603.78
-9.81x + 6.45y + -0.65z <= 869.51
-0.15x + 6.07y + -0.26z <= 788.14
-9.81x + -7.59y + -0.05z <= 291.45
-9.48x + 9.51y + -5.02z <= 852.63
7.65x + -1.3y + -2.74z <= 215.94
0.41x + 8.93y + 1.21z <= 521.05
-2.78x + -7.85y + 5.07z <= 203.15
-8.0x + 4.68y + 7.02z <= 908.29
8.77x + 3.84y + -8.9z <= 744.17
3.49x + -6.9y + -3.98z <= 588.59
-6.2x + -3.2y + -0.64z <= 856.64
9.95x + -7.2y + 0.91z <= 121.44
6.93x + -2.55y + -2.26z <= 809.44
8.9x + 2.61y + -8.14z <= 453.15
-2.21x + -1.44y + 2.31z <= 102.46
2.24x + 7.47y + -7.03z <= 884.01
9.7x + 8.6y + -8.51z <= 115.81
-5.86x + 10.0y + 4.52z <= 616.16
-1.67x + -4.35y + -9.75z <= 203.13
1.29x + 9.86y + 6.3z <= 950.81
9.88x + -0.54y + 6.84z <= 632.03
3.6x + 8.63y + 2.6z <= 641.78
1.69x + 6.39y + -1.98z <= 681.79
3.07x + 6.72y + -7.05z <= 173.99
-4.87x + 6.83y + 1.8z <= 100.73
8.05x + 0.2y + -2.6z <= 252.88
8.57x + 4.84y + -4.23z <= 807.3
5.73x + 5.43y + 5.8z <= 333.12
-0.8x + -1.21y + -0.82z <= 194.3
-4.7x + -4.61y + 2.01z <= 992.95
-1.26x + -5.26y + 1.88z <= 142.33
-7.04x + -5.44y + 3.34z <= 504.28
4.39x + 9.69y + 6.25z <= 793.8
-5.64x + 7.82y + -6.67z <= 473.75
3.43x + -5.41y + -4.65z <= 439.74
8.5x + -3.65y + -5.17z <= 317.08
0.32x + -0.19y + -4.94z <= 575.3
-3.1x + -7.68y + 0.38z <= 848.14
-1.85x + -6.26y + -7.93z <= 730.85
9.82x + -8.63y + -5.58z <= 477.19
-8.63x + 8.38y + -0.29z <= 580.36
-1.01x + 6.19y + -6.78z <= 872.93
2.32x + 8.72y + 0.62z <= 648.71
-5.48x + 6.68y + 3.83z <= 697.89
-7.71x + -9.24y + -8.34z <= 731.5
6.89x + 4.56y + 9.48z <= 514.7
8.73x + -6.4y + 8.44z <= 556.7
-7.4x + 8.83y + -0.31z <= 676.23
7.35x + 3.9y + -6.21z <= 726.41
3.86x + 0.89y + 2.09z <= 770.72
-8.05x + -9.44y + -9.19z <= 696.91
6.65x + 0.63y + 7.84z <= 496.21
-6.48x + -2.65y + -6.22z <= 875.03
3.21x + -1.07y + -8.34z <= 730.02
-7.32x + -5.07y + -4.17z <= 836.6
-2.56x + -0.28y + -3.11z <= 861.15
-8.44x + 1.64y + 5.51z <= 549.84
5.83x + -7.53y + 6.12z <= 266.66
-0.36x + 8.8y + 7.8z <= 144.65
-3.98x + 5.93y + 4.55z <= 336.27
-3.86x + 9.69y + -0.15z <= 655.2
2.63x + 1.98y + -8.52z <= 501.6
-8.27x + -8.59y + 7.54z <= 997.12
7.24x + -3.06y + -8.14z <= 584.72
4.45x + -5.74y + -6.83z <= 672.93
-9.33x + -6.6y + -5.35z <= 313.35
-5.13x + 2.67y + 1.23z <= 667.3
8.5x + 9.25y + -2.43z <= 637.75
-4.19x + -9.55y + -7.81z <= 159.55
-4.83x + 3.9y + 4.08z <= 537.66
-3.67x + 2.64y + -9.58z <= 859.47
9.49x + 2.02y + -6.65z <= 651.31
3.48x + 2.01y + 3.76z <= 641.15
8.62x + -5.15y + -6.26z <= 188.04
-6.98x + 2.15y + 9.83z <= 964.32
4.3x + -6.22y + -6.23z <= 764.12
-3.07x + -1.09y + -1.81z <= 336.01
-6.39x + -0.22y + -9.53z <= 274.68
-5.66x + 9.48y + -8.32z <= 136.18
-1.38x + -8.89y + 2.45z <= 942.24
-2.65x + 5.89y + -7.62z <= 477.01
9.84x + 4.59y + -2.93z <= 377.02
-3.98x + -1.79y + -9.69z <= 805.5
9.43x + -1.73y + 6.72z <= 950.24
9.92x + 0.79y + -6.47z <= 506.33
7.61x + -9.18y + -6.73z <= 254.39
2.59x + -5.25y + -9.0z <= 528.0
-2.83x + -7.11y + -3.04z <= 601.26
-8.9x + 5.12y + -1.81z <= 271.27
-0.11x + 0.44y + -6.48z <= 777.04
-7.17x + -9.93y + 2.48z <= 484.29
7.02x + -5.27y + -5.33z <= 649.92
1.64x + 6.15y + -1.47z <= 193.54
5.02x + 8.69y + -8.77z <= 811.75
3.76x + 8.82y + 1.29z <= 823.28
-2.58x + -8.71y + -3.36z <= 625.18
-2.94x + -5.77y + 3.49z <= 225.83
8.97x + -1.5y + 1.69z <= 390.76
-2.97x + -0.95y + -2.2z <= 910.47
-1.88x + -3.12y + -5.4z <= 806.67
-8.86x + -1.17y + -4.7z <= 269.76
-3.97x + 5.27y + 5.38z <= 391.44
-2.89x + 7.33y + 2.83z <= 670.4
6.79x + 8.05y + 8.61z <= 115.4
8.35x + -4.43y + -4.69z <= 634.96
-7.8x + -9.29y + 7.5z <= 568.61
7.17x + -9.4y + -3.37z <= 293.76
2.84x + 1.81y + 7.85z <= 342.9
-1.29x + 6.65y + -1.44z <= 630.51
-8.77x + 2.6y + 3.3z <= 730.76
-8.56x + -5.68y + 9.37z <= 915.65
-7.3x + 7.68y + 1.34z <= 955.64
3.53x + 5.61y + 9.54z <= 867.16
-2.64x + -7.93y + 1.23z <= 109.08
-3.54x + -2.67y + -1.73z <= 546.07
3.64x + 4.13y + -9.51z <= 366.92
-0.4x + 5.1y + -4.44z <= 373.82
9.38x + 4.33y + 0.42z <= 741.66
-2.73x + -7.21y + 7.46z <= 753.53
5.26x + -6.39y + 5.06z <= 216.89
-2.02x + -1.41y + -8.36z <= 221.96
0.1x + -1.47y + 0.66z <= 921.82
-3.76x + 8.49y + -1.5z <= 997.95
-9.35x + 0.67y + 7.71z <= 248.0
3.25x + -0.17y + -1.1z <= 412.79
0.06x + -3.02y + 3.72z <= 623.45
2.88x + 3.65y + -2.2z <= 320.3
-4.85x + 3.6y + -0.2z <= 408.7
5.94x + 6.6y + -2.44z <= 762.64
-1.41x + -2.3y + -0.74z <= 274.3
8.83x + -5.58y + 0.1z <= 162.9
9.18x + 0.39y + 3.81z <= 951.13
-8.35x + 6.56y + -2.92z <= 818.31
1.68x + 8.26y + -4.93z <= 556.4
0.08x + 1.8y + 3.67z <= 399.04
3.37x + -1.89y + -1.1z <= 805.47
4.08x + 5.81y + -9.28z <= 686.97
-0.89x + 5.17y + 7.74z <= 707.87
6.51x + 1.05y + -4.64z <= 988.41
-9.54x + 1.09y + -8.14z <= 387.72
7.37x + -7.71y + 9.41z <= 991.06
6.76x + 6.25y + 0.8z <= 471.65
-9.83x + 4.24y + 1.97z <= 470.35
-7.01x + 8.96y + 7.07z <= 543.74
9.35x + 8.23y + 1.09z <= 273.37
-1.27x + 5.69y + 5.98z <= 541.69
-0.69x + 9.52y + -7.12z <= 775.49
-2.55x + 7.04y + -6.49z <= 102.32
7.94x + -9.02y + 1.2z <= 562.3
9.57x + -0.15y + -5.52z <= 404.59
7.78x + -5.26y + -6.81z <= 188.52
-5.39x + -2.95y + -3.24z <= 525.43
-2.74x + 2.01y + -2.34z <= 156.72
2.62x + 5.5y + -1.52z <= 460.09
-5.75x + 7.46y + -0.78z <= 617.74
8.57x + -0.89y + 6.12z <= 571.67
3.14x + -9.03y + 3.75z <= 492.86
6.7x + 9.91y + -9.73z <= 315.04
-9.72x + -2.39y + 2.24z <= 953.04
-4.51x + -7.29y + 5.53z <= 684.61
8.86x + -5.01y + -7.5z <= 472.27
5.36x + -8.43y + 6.86z <= 173.89
-1.71x + -3.99y + 3.37z <= 425.25
5.92x + -4.0y + -4.51z <= 103.07
5.34x + -0.87y + 3.94z <= 690.64
-7.51x + 5.9y + -5.14z <= 712.64
-0.91x + 0.17y + -7.04z <= 595.61
5.19x + -7.89y + -5.28z <= 831.23
-8.49x + -4.73y + 7.05z <= 628.68
-4.21x + 9.68y + -5.27z <= 502.3
5.49x + -2.93y + 8.36z <= 712.58
3.23x + -0.38y + -0.83z <= 849.7
-7.87x + -3.54y + -8.83z <= 297.98
2.18x + 9.02y + 6.77z <= 796.59
0.24x + -8.29y + -2.04z <= 732.75
-1.43x + 5.09y + -5.28z <= 155.87
-9.59x + 7.26y + -8.69z <= 143.91
-2.1x + -9.34y + 5.19z <= 928.16
-9.82x + -8.03y + -6.99z <= 651.11
-7.19x + 6.21y + 8.6z <= 197.89
9.79x + -2.62y + 4.65z <= 225.96
-3.46x + 2.53y + 4.76z <= 552.52
1.34x + 8.49y + 0.49z <= 494.78
5.96x + 4.76y + 5.75z <= 649.45
8.42x + -4.06y + 2.38z <= 416.59
-4.5x + -8.28y + 3.02z <= 114.31
1.79x + -0.92y + -6.23z <= 886.48
3.69x + 9.03y + -8.72z <= 952.75
-2.65x + -2.0y + -1.72z <= 428.58
-8.14x + 6.71y + -9.53z <= 523.38
7.37x + -6.68y + -4.55z <= 589.43
3.54x + 8.17y + 1.58z <= 403.1
4.24x + -7.14y + 2.11z <= 211.73
-3.42x + 5.38y + 3.04z <= 468.57
0.98x + -0.98y + 3.68z <= 881.55
-7.9x + 0.86y + 0.67z <= 728.45
-7.3x + -2.8y + -0.23z <= 528.77
-7.5x + 3.3y + 2.27z <= 120.73
-3.09x + 5.36y + 3.71z <= 136.9
8.4x + -5.26y + -0.15z <= 880.74
7.56x + -7.63y + 8.29z <= 781.88
-1.97x + 8.65y + -5.57z <= 103.24
4.19x + -5.88y + -9.72z <= 994.14
2.68x + 1.15y + -3.44z <= 894.58
-9.51x + -2.63y + 8.52z <= 710.85
-4.6x + 9.92y + 9.0z <= 349.31
-7.64x + -7.86y + -9.33z <= 308.87
4.87x + -8.29y + 5.87z <= 466.77
6.45x + -7.4y + 6.23z <= 552.15
-4.23x + 4.98y + 2.7z <= 249.82
2.92x + -8.83y + 5.01z <= 121.99
-1.11x + -7.25y + 6.27z <= 604.09
0.83x + -9.56y + -0.15z <= 698.93
-4.72x + -4.16y + 0.29z <= 384.04
-1.5x + -4.76y + -0.99z <= 310.16
4.96x + -6.33y + -3.51z <= 303.58
8.79x + -2.12y + 8.35z <= 698.62
9.47x + -9.94y + -5.65z <= 398.84
-9.54x + 4.27y + -8.8z <= 543.65
-6.03x + -1.47y + -9.79z <= 538.94
-3.58x + -5.11y + 7.47z <= 965.64
-7.37x + 5.57y + 6.41z <= 616.65
3.09x + 5.61y + -1.16z <= 840.35
-3.75x + -4.97y + -9.19z <= 794.73
5.76x + 5.7y + 1.0z <= 246.61
5.94x + 9.06y + 4.57z <= 393.51
9.08x + -2.53y + 8.48z <= 169.51
1.11x + 6.89y + 6.5z <= 921.09
2.04x + 7.26y + 6.47z <= 675.94
5.71x + -1.7y + -7.88z <= 397.0
3.9x + -8.73y + -4.08z <= 508.07
-9.08x + -0.11y + 5.74z <= 530.58
5.54x + 5.05y + 0.88z <= 466.87
7.46x + -0.03y + -0.62z <= 761.93
-4.41x + -7.96y + -3.09z <= 704.61
-5.18x + 0.04y + -2.6z <= 276.54
-5.84x + -8.87y + -3.7z <= 259.91
-6.24x + -5.59y + 3.52z <= 870.95
-8.9x + 3.9y + -7.67z <= 480.65
-0.91x + 8.69y + 9.76z <= 577.5
1.66x + 2.63y + 0.34z <= 699.48
-6.82x + -1.66y + 6.89z <= 542.8
3.79x + -4.29y + -5.72z <= 372.81
3.03x + 2.41y + 3.33z <= 223.84
9.33x + 9.45y + -0.2z <= 873.71
-0.16x + -3.37y + 1.19z <= 983.01
1.43x + -4.98y + -8.9z <= 886.91
-0.55x + -7.93y + -2.4z <= 105.67
9.62x + -4.62y + -4.33z <= 196.05
-3.52x + -8.22y + 0.16z <= 134.77
-2.27x + 4.37y + -1.43z <= 692.01
0.97x + 6.84y + -9.27z <= 843.46
4.75x + -3.2y + 3.17z <= 224.7
7.01x + -9.13y + 7.26z <= 161.41
4.32x + -1.9y + -3.52z <= 812.71
-1.67x + 1.75y + 8.65z <= 825.93
7.11x + -8.82y + 2.35z <= 921.8
-3.2x + 5.41y + 0.25z <= 713.2
9.51x + -6.23y + -4.16z <= 506.81
2.76x + 9.78y + -3.32z <= 766.74
1.1x + 6.46y + -7.0z <= 690.96
-3.27x + 1.46y + 6.51z <= 409.76
7.44x + 8.24y + 8.2z <= 686.28
-3.47x + 9.49y + 0.63z <= 915.07
-2.69x + -8.3y + -6.2z <= 199.12
5.85x + -8.41y + -3.08z <= 105.29
5.46x + -0.9y + 2.46z <= 945.49
-6.66x + 0.15y + -6.18z <= 737.24
-1.64x + 1.89y + -2.55z <= 984.09
6.41x + 4.8y + -6.78z <= 885.76
2.91x + 5.37y + -3.32z <= 398.1
4.05x + 6.39y + 6.0z <= 690.93
0.92x + -8.9y + 4.54z <= 157.07
-6.86x + 0.44y + -0.78z <= 238.16
-8.75x + -0.62y + -7.11z <= 107.96
-5.83x + -2.45y + -7.96z <= 747.6
-4.05x + 2.17y + -0.14z <= 199.65
-4.68x + -9.29y + -2.46z <= 274.24
6.68x + -7.82y + 7.31z <= 524.87
9.73x + 4.55y + 9.82z <= 219.07
0.39x + 6.75y + 1.6z <= 643.29
3.43x + 4.58y + -5.71z <= 158.39
6.92x + 4.61y + -5.5z <= 170.53
8.6x + 7.9y + 4.94z <= 827.82
6.25x + -3.12y + 5.98z <= 517.96
-6.27x + 4.55y + 4.74z <= 276.38
5.96x + 3.08y + 4.6z <= 974.22
-8.7x + -0.95y + 5.57z <= 881.35
-0.1x + 0.32y + -8.64z <= 116.24
-0.67x + 7.79y + 1.51z <= 103.52
5.95x + -7.89y + 4.84z <= 210.54
1.51x + 9.36y + -9.99z <= 919.33
5.66x + 6.22y + -1.31z <= 450.32
0.77x + -6.05y + -6.4z <= 520.48
-3.55x + -0.51y + 5.62z <= 775.64
0.62x + -1.5y + 8.52z <= 540.75
9.42x + 7.02y + 9.71z <= 578.66
-1.13x + 5.82y + 7.78z <= 632.19
-0.09x + 4.29y + 2.16z <= 736.58
-3.26x + 1.36y + -0.56z <= 959.98
-2.34x + 0.3y + -9.91z <= 700.85
-1.71x + -7.03y + -8.58z <= 211.18
-4.31x + 0.83y + -8.25z <= 429.48
1.96x + -5.99y + -4.1z <= 684.11
9.22x + 7.01y + 0.32z <= 193.43
8.04x + -7.27y + 2.86z <= 431.74
-0.61x + -8.54y + -9.96z <= 296.15
-7.95x + 0.33y + -4.05z <= 890.34
-9.08x + 7.32y + 4.83z <= 858.36
-0.43x + 9.35y + 8.82z <= 909.8
6.01x + -5.86y + 3.34z <= 747.08
-0.64x + 5.96y + -5.95z <= 320.49
6.39x + -7.17y + -2.0z <= 279.54
-4.69x + 4.33y + 6.9z <= 357.27
-7.43x + -2.53y + -3.7z <= 360.24
-3.84x + 4.73y + 8.8z <= 756.91
-0.21x + -7.27y + -4.68z <= 913.52
8.26x + -0.12y + 5.32z <= 796.96
-5.04x + -8.21y + 1.81z <= 922.37
5.52x + 6.37y + 4.36z <= 208.27
2.13x + -9.77y + -5.6z <= 159.61
9.72x + 8.28y + 2.05z <= 258.76
1.76x + -0.78y + 4.75z <= 261.6
2.38x + 3.43y + 6.07z <= 247.94
-0.39x + -0.69y + -9.95z <= 291.28
8.92x + -5.07y + -0.79z <= 397.49
-9.73x + 0.47y + 1.61z <= 508.07
-7.57x + 6.99y + 8.74z <= 121.74
-1.53x + -1.34y + -9.78z <= 440.44
5.76x + -0.35y + -7.19z <= 814.48
-8.55x + 7.69y + 3.43z <= 141.87
3.95x + -9.5y + 9.44z <= 531.77
4.01x + -3.73y + 5.5z <= 700.32
-5.74x + 1.53y + 9.1z <= 491.91
3.76x + -7.88y + -4.23z <= 333.36
-4.83x + -8.38y + -3.56z <= 439.4
-7.19x + -8.46y + 4.95z <= 595.68
0.38x + -1.96y + 9.68z <= 464.22
2.04x + 1.36y + -9.17z <= 448.95
7.2x + -2.0y + -2.91z <= 207.65
-4.09x + -5.22y + 4.37z <= 446.89
-0.04x + 5.77y + -8.21z <= 542.71
4.52x + -0.61y + -8.36z <= 874.71
-5.13x + -3.34y + -9.77z <= 117.53
6.82x + -3.4y + 9.22z <= 396.98
-9.99x + -3.15y + -4.08z <= 245.32
-4.04x + 7.21y + -5.14z <= 619.85
-5.17x + -0.49y + 8.27z <= 635.69
9.34x + -3.98y + 3.59z <= 276.92
6.39x + 3.76y + 8.08z <= 396.85
8.49x + 2.53y + 1.59z <= 431.45
4.92x + 5.63y + 8.5z <= 633.79
0.57x + 6.68y + -4.4z <= 659.05
1.31x + 1.31y + 8.57z <= 173.92
6.97x + 1.63y + -6.88z <= 519.11
2.08x + -6.14y + 8.81z <= 246.69
-6.61x + -2.69y + 8.44z <= 137.9
-2.99x + 1.54y + -6.41z <= 995.85
5.59x + -3.43y + -2.07z <= 874.56
-9.65x + -6.21y + -7.79z <= 486.22
2.63x + 3.7y + 8.98z <= 436.81
-7.43x + -4.06y + -6.03z <= 312.71
5.11x + 7.04y + 3.74z <= 718.06
0.1x + -8.72y + 7.78z <= 867.14
9.16x + 2.5y + 7.66z <= 453.64
2.19x + -5.8y + 1.75z <= 133.41
-4.52x + -8.85y + 5.87z <= 914.16
-5.07x + 3.68y + -3.8z <= 342.3
-4.05x + 9.54y + 7.97z <= 187.04
-5.62x + -7.93y + -5.18z <= 281.4
-2.71x + 0.55y + 5.28z <= 883.36
-8.4x + 6.64y + -0.69z <= 927.85
-9.5x + 1.15y + 9.53z <= 680.52
9.54x + -6.99y + 6.15z <= 985.37
-6.75x + -1.29y + -9.2z <= 561.09
-0.46x + 9.13y + 0.51z <= 879.17
4.99x + 1.96y + -3.66z <= 656.18
7.35x + 1.11y + -3.58z <= 408.31
5.21x + 6.54y + 1.82z <= 391.21
-5.86x + 8.8y + 8.23z <= 856.33
-5.75x + -6.86y + -8.28z <= 213.25
-9.39x + -5.85y + -7.98z <= 509.13
8.82x + 1.57y + 7.25z <= 409.81
-5.46x + -8.57y + 1.33z <= 571.82
7.63x + 4.89y + -9.32z <= 197.28
-3.64x + -3.31y + 0.38z <= 879.84
-3.52x + 8.31y + 6.65z <= 527.6
-8.32x + 5.8y + 4.68z <= 370.54
3.02x + 9.56y + -8.41z <= 841.92
-7.2x + -6.96y + -1.4z <= 167.02
-4.81x + 3.73y + 5.02z <= 293.16
6.54x + -0.61y + 5.22z <= 983.29
6.35x + 7.0y + -1.56z <= 575.76
-5.21x + 6.4y + 5.19z <= 648.69
8.3x + -4.84y + 9.82z <= 985.36
-5.63x + -3.71y + -9.01z <= 967.53
8.83x + -8.55y + 8.78z <= 811.28
1.02x + -9.81y + 9.98z <= 822.85
0.1x + 7.84y + -3.87z <= 213.85
9.75x + -3.23y + 9.12z <= 150.25
1.29x + -4.41y + 8.03z <= 769.56
0.92x + 7.24y + 2.27z <= 927.97
4.39x + 6.29y + -3.85z <= 629.7
-4.65x + 9.15y + -2.69z <= 216.45
-1.8x + 4.35y + 2.67z <= 286.27
1.05x + -6.57y + -2.08z <= 262.3
7.01x + 4.59y + 7.6z <= 652.8
-8.09x + 2.42y + -3.95z <= 887.56
-4.46x + 5.64y + -0.74z <= 103.12
-8.67x + 9.91y + 6.09z <= 581.6
-7.16x + 1.93y + -0.3z <= 362.51
2.28x + -6.75y + 4.05z <= 861.66
1.49x + -1.04y + -5.99z <= 230.76
0.54x + 3.98y + 3.34z <= 683.45
3.07x + 6.41y + 8.8z <= 152.23
-6.12x + 5.49y + 4.05z <= 910.38
-6.14x + 9.93y + -5.53z <= 492.85
5.41x + -2.18y + -4.16z <= 218.09
4.15x + 3.72y + -6.96z <= 465.26
-9.74x + -6.56y + -5.05z <= 499.51
-1.85x + -2.5y + -0.15z <= 869.94
-8.78x + -6.89y + -2.53z <= 249.24
-0.18x + 1.7y + -2.82z <= 548.13
1.9x + -4.71y + -2.94z <= 876.77
-3.22x + 9.17y + 8.43z <= 906.61
-3.35x + 6.09y + 7.76z <= 412.21
7.92x + 6.45y + -6.84z <= 791.6
6.28x + 2.16y + 2.55z <= 136.2
9.95x + -6.89y + -1.74z <= 868.07
0.33x + 3.42y + -5.12z <= 748.44
-7.35x + -8.11y + 1.22z <= 222.29
9.55x + -4.26y + -3.52z <= 101.09
3.24x + 5.94y + -5.17z <= 513.85
5.05x + -8.48y + -2.43z <= 402.94
7.78x + -5.76y + 5.93z <= 284.8
0.45x + -1.24y + -7.46z <= 616.17
-8.89x + -0.55y + 2.05z <= 296.27
-8.94x + 6.17y + -6.11z <= 804.14
7.49x + -4.02y + 4.38z <= 821.66
6.06x + -7.17y + 2.1z <= 510.14
-0.93x + 7.32y + -1.43z <= 415.42
0.52x + -6.39y + -9.27z <= 312.13
0.76x + 6.08y + -2.82z <= 114.26
-5.98x + -5.04y + 4.38z <= 308.03
8.65x + -0.91y + -2.23z <= 174.7
-0.24x + -7.8y + 8.54z <= 202.14
2.61x + 2.66y + -1.23z <= 988.6
-2.45x + 0.37y + 2.63z <= 260.0
5.9x + -7.68y + -6.99z <= 679.15
-7.47x + 0.89y + -8.87z <= 271.16
-6.38x + 6.26y + 6.89z <= 979.89
1.24x + -1.49y + -7.01z <= 811.34
7.14x + 8.59y + 6.6z <= 615.2
-8.32x + -3.33y + -5.48z <= 855.63
-2.46x + 8.37y + 7.2z <= 734.94
-9.29x + -4.52y + 9.03z <= 352.72
0.18x + 0.48y + 6.68z <= 256.89
-4.95x + -8.91y + 1.36z <= 772.44
-4.19x + -2.29y + -4.61z <= 389.72
2.75x + 0.67y + -0.22z <= 852.64
-8.82x + 0.93y + -8.35z <= 998.56
0.41x + 7.56y + -4.81z <= 854.41
9.13x + -0.42y + -2.67z <= 153.99
-9.55x + -5.46y + 2.82z <= 841.91
1.14x + 0.04y + 2.64z <= 325.76
5.18x + -4.32y + -0.27z <= 218.37
6.86x + -0.5y + -6.37z <= 755.58
-0.48x + -3.01y + -7.05z <= 646.35
3.1x + 4.89y + 9.63z <= 415.88
-6.32x + 4.72y + -2.24z <= 583.91
-0.48x + 3.68y + -7.49z <= 445.62
-9.49x + 1.44y + 0.21z <= 863.48
-8.56x + 6.97y + -0.85z <= 303.43
-8.27x + 9.45y + 5.89z <= 830.26
0.64x + -6.36y + 7.1z <= 494.6
9.02x + -7.58y + -8.28z <= 854.44
7.43x + -1.45y + 3.09z <= 516.32
5.47x + -9.56y + -3.47z <= 549.0
-7.92x + -0.01y + -0.78z <= 328.79
1.53x + -8.51y + -8.88z <= 616.14
-0.01x + -8.59y + -2.35z <= 999.97
8.63x + 5.89y + -0.76z <= 479.1
7.07x + -3.12y + -5.46z <= 442.25
-3.68x + 0.08y + -8.73z <= 402.36
6.02x + 3.59y + -7.39z <= 566.37
-4.15x + 7.7y + -9.08z <= 747.51
7.38x + 7.66y + -8.5z <= 336.67
-5.2x + -7.93y + -2.42z <= 835.23
-5.33x + 4.37y + 9.35z <= 403.11
2.81x + -7.49y + 1.72z <= 922.72
4.58x + -2.52y + -3.04z <= 135.01
-9.86x + 0.42y + 9.33z <= 894.72
-8.5x + -1.74y + 3.22z <= 706.33
-4.66x + 9.52y + 7.51z <= 438.43
-7.21x + 2.92y + 3.68z <= 364.09
6.23x + -0.95y + 9.61z <= 256.46
-2.61x + 6.37y + 7.99z <= 955.6
3.09x + 8.68y + 8.87z <= 152.27
3.26x + -2.69y + -7.08z <= 795.19
-2.32x + -1.73y + -5.6z <= 815.21
-2.78x + -7.88y + -1.47z <= 394.85
-9.13x + -5.96y + 4.92z <= 508.58
-4.86x + 9.63y + 7.15z <= 436.98
-8.6x + -7.43y + -6.73z <= 691.64
5.93x + -7.53y + -7.66z <= 414.17
6.05x + -7.64y + 2.37z <= 236.68
-2.74x + -7.49y + 7.46z <= 393.87
-9.88x + -0.29y + 9.31z <= 841.82
3.52x + -5.64y + -2.9z <= 544.0
-5.31x + -3.94y + 0.93z <= 241.53
1.16x + 8.9y + 2.61z <= 672.77
3.48x + -6.86y + 7.03z <= 691.81
7.18x + -0.96y + 0.43z <= 980.77
2.72x + 7.98y + -7.25z <= 376.65
6.61x + -4.75y + 2.4z <= 173.38
-6.96x + -6.49y + 5.32z <= 205.29
8.16x + 2.48y + 4.1z <= 437.69
-6.47x + -4.78y + -0.94z <= 979.96
-3.44x + 3.63y + 1.55z <= 119.21
-0.81x + -4.52y + 8.05z <= 929.72
6.69x + 0.71y + 6.18z <= 723.55
5.7x + 4.89y + 1.77z <= 474.56
-1.81x + 4.34y + -5.75z <= 213.64
2.55x + -9.3y + 5.37z <= 597.62
4.7x + -2.6y + -1.0z <= 581.42
-3.97x + -5.82y + -2.38z <= 157.17
6.73x + 2.23y + 1.15z <= 459.75
2.16x + -5.55y + -7.85z <= 272.43
-8.75x + -8.08y + 3.33z <= 987.26
-8.44x + 9.2y + 2.16z <= 229.69
9.95x + 5.21y + 8.26z <= 565.02
1.0x + -7.71y + 0.61z <= 503.09
6.58x + -3.25y + 3.61z <= 687.41
3.03x + 5.89y + 7.97z <= 467.39
3.6x + 2.68y + 0.36z <= 598.64
-1.38x + -8.76y + -2.01z <= 122.99
7.42x + 9.73y + -3.11z <= 194.09
-7.35x + -0.65y + 3.26z <= 407.41
6.18x + 4.34y + 3.95z <= 392.57
9.99x + 7.17y + 5.5z <= 240.29
-0.51x + 5.03y + 6.39z <= 671.27
6.82x + 1.11y + 2.01z <= 670.89
-0.62x + 8.97y + 5.26z <= 940.38
-2.37x + -7.42y + 4.71z <= 960.5
4.32x + -4.13y + 0.49z <= 347.32
4.9x + 6.68y + 2.31z <= 384.32
0.1x + -7.44y + 1.88z <= 750.6
0.45x + -7.57y + -8.33z <= 402.67
2.3x + -6.1y + -1.05z <= 939.5
-5.79x + -9.13y + -7.39z <= 696.21
2.11x + 4.67y + 7.06z <= 389.42
-5.11x + 8.87y + 8.57z <= 249.07
5.54x + 2.11y + -0.4z <= 862.16
-2.79x + -0.13y + 0.85z <= 642.1
7.9x + 6.1y + -1.96z <= 784.32
4.04x + 3.72y + -2.96z <= 288.28
3.36x + 8.93y + -5.14z <= 363.34
-2.36x + -0.32y + -6.69z <= 291.13
3.87x + 8.17y + -2.69z <= 194.21
1.95x + 3.14y + -4.94z <= 857.93
5.73x + -3.4y + -4.28z <= 539.1
1.55x + -7.03y + -5.18z <= 359.74
7.96x + 9.01y + -2.11z <= 189.29
-7.58x + -9.29y + -6.25z <= 273.2
9.19x + -3.84y + -2.61z <= 189.74
1.79x + 1.09y + 0.8z <= 259.87
3.43x + 5.57y + -5.79z <= 207.08
-5.24x + -0.09y + 4.26z <= 789.56
-3.28x + -1.92y + -7.51z <= 681.06
5.05x + -4.26y + -0.12z <= 496.89
-7.01x + -3.29y + -0.57z <= 361.83
-8.2x + -9.18y + 7.87z <= 744.4
-5.83x + 8.33y + -9.24z <= 203.04
4.59x + -0.27y + 6.51z <= 482.24
-7.58x + 6.44y + -4.11z <= 669.92
3.82x + -2.01y + 3.73z <= 856.33
5.51x + -5.21y + -1.42z <= 588.87
-3.43x + 5.6y + -7.93z <= 551.42
-2.36x + 1.46y + 0.07z <= 675.1
9.1x + 4.09y + 0.61z <= 873.47
9.26x + 9.96y + 7.58z <= 663.99
-3.7x + -9.98y + -7.65z <= 791.96
9.92x + 3.98y + 6.65z <= 636.24
-7.4x + 6.92y + 7.74z <= 193.81
-8.18x + 6.82y + -1.84z <= 307.67
7.67x + -5.15y + -2.2z <= 616.74
5.39x + 3.7y + -7.41z <= 690.44
