max 5.36x + 8.96y + 6.0z
-4.12x + 1.04y + 5.59z <= 377.06
-5.61x + 7.17y + 4.19z <= 924.21
-2.75x + -5.8y + 3.37z <= 217.68
-8.93x + -6.5y + -1.38z <= 238.93
9.54x + -7.46y + 2.09z <= 742.44
-4.89x + -2.8y + 4.9z <= 132.94
5.75x + 6.01y + -3.91z <= 618.12
-4.95x + 6.32y + -2.44z <= 705.17
-8.48x + 2.93y + 2.91z <= 816.97
8.52x + -9.22y + 7.83z <= 575.05
-0.64x + 9.08y + 6.17z <= 820.04
-9.3x + -4.79y + -8.57z <= 926.54
-1.82x + -3.72y + -1.57z <= 991.32
7.74x + -4.37y + 7.64z <= 952.08
-3.2x + -0.81y + -5.19z <= 735.97
5.36x + 9.73y + -2.43z <= 587.24
-3.66x + 4.51y + -9.97z <= 922.79
-1.28x + 2.19y + 8.26z <= 565.5
9.14x + -2.11y + -6.43z <= 350.92
-7.31x + -9.68y + 8.45z <= 801.72
-7.85x + -0.17y + -4.31z <= 821.89
6.6x + -0.31y + 4.22z <= 669.03
-9.29x + -2.57y + 3.17z <= 586.74
-7.01x + 3.2y + -1.19z <= 874.33
-7.65x + 2.49y + 4.23z <= 454.21
6.52x + 4.26y + 0.22z <= 285.79
-2.77x + 4.02y + 2.2z <= 407.67
9.69x + 2.6y + -3.61z <= 312.15
-7.29x + -7.68y + 8.56z <= 937.72
-3.94x + 1.95y + 3.63z <= 802.59
0.12x + 5.7y + -4.34z <= 630.8
1.17x + 6.84y + 2.9z <= 588.99
9.53x + 2.04y + -7.38z <= 319.43
-4.06x + 3.53y + 8.89z <= 769.82
5.95x + 3.49y + 6.62z <= 574.23
1.71x + 5.76y + -8.16z <= 411.38
-7.92x + -3.03y + 6.45z <= 136.75
-2.35x + 5.89y + 8.18z <= 149.44
-5.46x + -1.84y + 7.39z <= 838.9
1.63x + 3.06y + -4.02z <= 820.2
9.12x + 5.36y + -1.66z <= 366.48
9.31x + 1.53y + 9.01z <= 738.65
-3.69x + 8.23y + 3.1z <= 869.17
6.7x + 4.19y + 8.34z <= 998.24
-1.74x + 1.6y + 6.64z <= 833.42
4.08x + -1.93y + 2.15z <= 375.85
-7.82x + -2.63y + 4.95z <= 484.7
-2.43x + -1.98y + -8.84z <= 239.82
-8.29x + -9.81y + -5.56z <= 754.02
-5.9x + 8.69y + 4.74z <= 831.76
0.07x + -5.05y + -9.7z <= 456.41
-0.4x + -7.76y + -6.62z <= 335.82
-1.95x + 9.47y + -7.41z <= 286.76
-3.56x + -8.32y + 0.41z <= 689.99
-8.02x + -0.27y + 1.81z <= 303.76
6.94x + -9.39y + 9.42z <= 541.81
8.35x + 5.41y + -4.15z <= 604.22
-9.99x + 8.38y + -0.06z <= 345.03
-1.71x + -5.61y + -4.87z <= 885.31
-4.57x + 8.23y + 0.3z <= 598.85
-1.08x + 2.26y + 9.82z <= 217.49
-5.42x + 7.87y + -1.16z <= 608.62
8.44x + 8.65y + -1.15z <= 338.97
-5.69x + 2.01y + -1.69z <= 108.25
7.38x + -0.62y + -9.84z <= 401.81
8.08x + 1.76y + 7.85z <= 327.2
5.52x + -0.66y + 6.27z <= 696.71
-3.75x + 1.58y + -3.62z <= 216.64
-0.01x + -9.18y + -5.31z <= 941.54
5.17x + -1.32y + 5.93z <= 614.92
-9.74x + -5.33y + 1.17z <= 527.4
2.59x + -1.15y + 4.2z <= 630.19
-5.27x + 6.24y + 1.01z <= 936.08
-9.13x + 3.76y + -4.26z <= 987.42
-3.35x + 4.52y + 5.04z <= 936.84
-5.64x + -3.56y + -9.57z <= 874.08
1.76x + 5.69y + 2.34z <= 465.92
-3.22x + 0.35y + 3.2z <= 413.7
-2.64x + 4.98y + 7.7z <= 332.51
4.82x + -8.89y + 3.46z <= 616.34
-1.63x + 7.14y + -2.98z <= 408.47
-2.76x + -2.91y + 7.67z <= 223.46
-6.66x + 2.12y + -3.96z <= 470.32
9.1x + 3.5y + -0.08z <= 329.95
7.06x + 4.94y + 1.2z <= 276.72
-5.58x + -3.82y + -8.38z <= 792.04
-0.49x + 6.74y + -1.39z <= 808.48
-0.18x + -4.38y + -1.35z <= 522.34
-3.41x + 1.37y + 1.38z <= 565.12
3.06x + 2.56y + 5.96z <= 551.13
-1.54x + 3.55y + -4.08z <= 309.22
6.72x + -5.94y + 5.49z <= 172.09
3.96x + 9.8y + 3.58z <= 243.18
6.7x + -9.54y + -2.81z <= 403.01
-3.94x + 5.65y + 3.25z <= 286.51
-7.7x + -2.87y + -3.17z <= 685.12
7.02x + 0.6y + -0.43z <= 290.82
-1.95x + 0.8y + 8.23z <= 156.23
5.69x + 1.34y + -6.83z <= 436.47
-4.38x + -0.08y + -4.3z <= 862.34
-1.61x + -7.42y + 1.78z <= 578.49
9.12x + 9.32y + 8.93z <= 554.75
-0.98x + -8.41y + 6.64z <= 597.43
-2.27x + -7.46y + -0.39z <= 333.82
-2.43x + 1.32y + 6.22z <= 694.46
-2.14x + 9.26y + -1.2z <= 736.63
-6.31x + -0.85y + 8.53z <= 267.46
-3.41x + -9.59y + 6.74z <= 300.08
5.29x + 8.51y + -7.81z <= 615.69
-0.42x + -9.02y + 9.47z <= 769.3
-8.04x + 3.95y + 6.65z <= 202.55
9.45x + 7.07y + 6.56z <= 544.86
5.45x + -7.81y + -2.92z <= 847.86
-7.54x + 4.62y + 4.97z <= 967.74
-1.74x + 2.26y + 4.32z <= 795.43
-9.41x + 7.15y + 2.25z <= 922.02
-6.74x + -7.39y + 5.28z <= 163.4
5.08x + -8.92y + 8.35z <= 116.58
3.73x + 1.15y + 0.39z <= 942.35
8.94x + -1.82y + 4.32z <= 479.93
-9.14x + -1.29y + -6.47z <= 947.78
1.4x + -7.22y + 3.7z <= 869.54
-3.07x + -5.44y + 7.52z <= 103.01
5.54x + 1.51y + -5.0z <= 518.34
4.55x + 7.98y + -7.81z <= 543.76
-5.73x + 1.16y + 3.04z <= 447.15
-5.05x + -3.63y + 5.5z <= 794.49
4.0x + -6.4y + 4.16z <= 728.05
-2.96x + 3.37y + 4.4z <= 203.16
5.5x + -1.03y + -9.31z <= 287.52
-7.13x + -9.66y + -2.82z <= 178.55
-3.99x + 6.68y + 4.95z <= 818.49
0.04x + -5.83y + 3.9z <= 802.08
6.53x + 0.53y + -2.59z <= 370.84
-3.46x + 0.67y + 4.01z <= 430.98
-8.27x + 4.73y + -3.35z <= 656.09
-3.08x + 7.9y + -3.19z <= 938.7
3.12x + 1.17y + 4.37z <= 296.1
4.58x + 1.67y + -1.3z <= 738.03
2.93x + 7.58y + -3.77z <= 730.31
-2.48x + 9.58y + 8.61z <= 677.54
0.21x + 7.46y + -5.18z <= 936.2
8.31x + 3.02y + -5.77z <= 900.74
-6.72x + -2.23y + 5.14z <= 728.74
6.5x + -5.61y + 5.17z <= 266.3
3.39x + -6.39y + -5.16z <= 220.99
-0.85x + 3.36y + -5.73z <= 245.48
2.77x + -9.94y + -1.26z <= 694.85
6.77x + 9.17y + 5.27z <= 761.98
-4.07x + 8.97y + 0.7z <= 650.85
-0.61x + -3.84y + -7.94z <= 866.25
-2.25x + 6.62y + 4.52z <= 646.37
-3.2x + 2.62y + -2.18z <= 498.92
5.5x + -8.14y + -6.6z <= 697.93
0.82x + 7.68y + 3.65z <= 543.58
-5.39x + 9.68y + -6.45z <= 784.65
-1.35x + 6.66y + 8.35z <= 590.01
7.06x + 8.88y + 4.95z <= 892.09
4.08x + 7.27y + -4.29z <= 473.33
-1.87x + -6.82y + -5.14z <= 888.94
-7.19x + -1.97y + 4.21z <= 831.3
7.15x + -5.19y + 4.85z <= 762.39
-9.69x + 8.47y + 8.92z <= 247.71
9.83x + -1.33y + 4.48z <= 426.67
2.78x + -6.89y + -9.99z <= 563.8
-2.53x + -3.21y + -6.84z <= 362.52
-5.58x + -8.84y + -5.89z <= 661.93
8.22x + -5.58y + -4.28z <= 735.61
4.48x + 4.05y + 5.01z <= 641.46
-6.11x + 5.29y + -8.3z <= 869.08
5.43x + -4.63y + -8.19z <= 969.86
-4.51x + -3.1y + -4.03z <= 113.22
-9.99x + 7.58y + 2.42z <= 995.68
4.65x + 4.83y + 7.64z <= 538.2
-5.66x + 6.72y + -3.0z <= 606.91
-3.02x + 1.86y + 1.03z <= 882.47
8.62x + -4.04y + -5.29z <= 941.31
8.99x + -0.88y + -9.66z <= 824.27
3.16x + 9.73y + 9.19z <= 557.9
9.28x + -2.99y + 1.59z <= 536.67
-7.96x + 9.4y + -3.73z <= 155.95
1.12x + -1.67y + 4.15z <= 918.05
5.83x + 2.06y + -7.99z <= 711.77
2.75x + 2.7y + 0.78z <= 997.84
-1.69x + 3.31y + 1.07z <= 115.94
2.97x + -8.69y + -4.45z <= 850.03
-3.22x + -7.86y + 4.21z <= 568.32
3.45x + 8.86y + 8.9z <= 626.22
9.84x + -4.68y + 2.99z <= 401.58
-6.37x + 8.02y + 3.38z <= 308.27
2.96x + -6.81y + -0.49z <= 492.02
-3.84x + -5.41y + -8.8z <= 439.53
8.99x + 7.07y + 5.89z <= 789.49
-2.3x + -7.11y + 9.29z <= 251.61
2.98x + 6.57y + 2.64z <= 807.18
-1.55x + 0.82y + 5.24z <= 957.43
-1.58x + 0.4y + 9.06z <= 144.84
2.16x + 5.84y + -0.23z <= 892.52
-7.27x + -7.54y + -9.49z <= 886.07
1.21x + 9.2y + 6.98z <= 851.16
-2.06x + 4.65y + 1.81z <= 354.42
8.03x + -0.9y + -7.76z <= 480.16
9.8x + 7.05y + 9.13z <= 390.88
-8.32x + 5.8y + 5.57z <= 217.55
-4.22x + 0.58y + -2.96z <= 590.43
-4.61x + -3.79y + 9.89z <= 940.05
-4.73x + 3.36y + -0.75z <= 933.48
-8.78x + 2.78y + 3.42z <= 454.45
-7.96x + 2.65y + -5.27z <= 979.12
-7.25x + -0.33y + 4.71z <= 551.69
-5.34x + 5.65y + 4.19z <= 506.48
-2.19x + 5.72y + -6.56z <= 667.44
-9.92x + -1.36y + -8.46z <= 960.33
-6.81x + -5.84y + 5.7z <= 601.58
-2.42x + 3.54y + 2.96z <= 231.83
-3.2x + -3.01y + -2.99z <= 684.07
4.35x + -9.48y + 6.59z <= 934.12
6.08x + -8.06y + -1.12z <= 122.49
3.0x + -7.07y + -8.1z <= 418.11
-5.82x + -8.25y + 8.99z <= 356.0
3.45x + -9.23y + 6.09z <= 751.58
5.69x + -2.98y + -3.18z <= 458.17
-9.11x + -6.33y + -2.44z <= 966.75
4.68x + -4.23y + -9.31z <= 864.19
-3.64x + 1.07y + -9.51z <= 753.58
2.72x + -4.23y + 5.51z <= 516.46
-7.5x + 6.6y + 0.78z <= 270.83
-2.14x + -2.92y + 1.53z <= 900.44
8.11x + 6.7y + -5.72z <= 717.14
9.12x + -9.78y + -4.85z <= 905.67
1.82x + 5.49y + -4.88z <= 513.1
8.81x + -6.73y + -4.06z <= 235.76
-7.93x + -8.65y + -2.47z <= 762.75
-7.03x + 3.03y + 2.46z <= 272.54
8.19x + -9.78y + -0.21z <= 112.17
-1.08x + -9.33y + 9.96z <= 347.71
-6.82x + -0.52y + 9.9z <= 123.95
1.56x + 2.41y + -3.11z <= 896.13
6.51x + -4.32y + 0.51z <= 547.59
-3.09x + 8.03y + -3.97z <= 716.95
-8.54x + 6.95y + -5.75z <= 247.05
-1.9x + 8.21y + -9.19z <= 561.66
1.78x + 5.65y + 0.3z <= 812.61
-3.49x + 0.26y + -1.21z <= 177.46
-1.88x + -7.26y + -2.28z <= 647.94
7.8x + -7.18y + 6.29z <= 188.36
-5.7x + -1.44y + 3.72z <= 247.74
-4.62x + -7.82y + -3.19z <= 991.8
-1.15x + -8.99y + 0.51z <= 174.83
-3.87x + 3.89y + 4.51z <= 553.04
-3.01x + -6.05y + -2.03z <= 668.58
-0.74x + 8.81y + -8.61z <= 925.27
9.27x + 7.35y + 6.08z <= 956.42
3.08x + 6.78y + -9.96z <= 335.26
-9.44x + -4.53y + -4.24z <= 950.12
5.39x + -6.19y + 7.47z <= 801.38
-6.35x + 6.03y + -0.14z <= 909.08
-1.16x + -8.1y + -2.99z <= 971.76
9.7x + 3.64y + 7.72z <= 571.74
-5.14x + -2.38y + -9.35z <= 181.58
0.94x + 5.11y + -6.29z <= 397.16
-4.45x + 8.14y + 5.01z <= 781.56
-8.35x + 3.15y + -0.62z <= 301.48
3.3x + 4.93y + -6.06z <= 445.0
7.05x + 0.54y + 1.55z <= 735.82
-6.58x + 9.69y + -4.28z <= 460.65
1.12x + 6.63y + -2.04z <= 153.49
7.27x + -6.72y + -8.04z <= 954.16
-8.68x + -4.53y + 9.2z <= 832.35
-8.19x + 8.18y + -7.3z <= 402.3
-8.32x + 1.02y + -1.38z <= 299.17
2.7x + -8.53y + 7.75z <= 772.36
-8.31x + 9.7y + 3.13z <= 860.54
-6.47x + -2.67y + 6.31z <= 381.66
-5.43x + 9.9y + 7.42z <= 642.1
7.71x + -3.72y + -8.33z <= 907.0
7.12x + -0.46y + 2.66z <= 542.17
2.82x + 3.93y + -7.54z <= 166.63
-4.13x + 2.42y + -7.57z <= 807.48
-7.22x + -9.48y + -7.03z <= 436.53
7.44x + -8.85y + 0.12z <= 255.03
-4.46x + -0.91y + 5.12z <= 498.76
4.38x + 4.55y + 3.64z <= 964.22
9.36x + 0.87y + 7.33z <= 413.38
-4.67x + -9.59y + -0.18z <= 568.4
-2.48x + 6.76y + 8.9z <= 198.85
-2.02x + 3.25y + -7.98z <= 165.06
5.03x + -0.84y + -4.52z <= 639.42
3.54x + 7.03y + 2.46z <= 835.93
-7.82x + 3.6y + 3.15z <= 537.44
3.98x + 4.97y + 2.42z <= 193.2
8.24x + -4.37y + 4.16z <= 875.36
7.31x + 4.77y + 9.78z <= 203.55
-9.52x + -6.0y + -6.98z <= 733.1
6.01x + -6.56y + 1.42z <= 815.16
-6.41x + -7.29y + 4.48z <= 295.48
2.35x + 0.09y + 6.78z <= 238.47
9.52x + -5.16y + 2.58z <= 720.23
-5.03x + -2.48y + -2.94z <= 124.65
-7.52x + -6.33y + 9.78z <= 838.64
0.82x + -5.08y + 1.69z <= 672.12
6.84x + -3.6y + 6.68z <= 835.87
-7.93x + -7.6y + -2.85z <= 463.9
0.6x + -2.84y + 0.43z <= 108.15
2.66x + 8.35y + -1.18z <= 326.24
-6.98x + -6.08y + 5.35z <= 815.48
-2.08x + 5.59y + -7.84z <= 659.0
6.12x + 4.1y + 3.2z <= 942.09
-2.17x + -8.94y + 8.26z <= 425.93
1.94x + -1.12y + -9.54z <= 587.46
9.21x + 4.65y + 1.34z <= 635.49
8.4x + 5.31y + -4.65z <= 697.22
0.51x + 7.75y + 4.55z <= 847.5
4.44x + -0.14y + -0.47z <= 138.52
-1.51x + 9.25y + 0.83z <= 227.45
-3.33x + -3.23y + -9.76z <= 306.36
6.5x + 8.27y + 0.89z <= 280.44
-4.39x + 7.07y + -9.45z <= 382.04
7.37x + 7.95y + 9.22z <= 305.61
3.69x + -3.76y + -2.04z <= 385.77
-8.44x + 8.52y + 2.79z <= 501.24
5.33x + -6.05y + -4.81z <= 233.94
-2.38x + 8.52y + 5.36z <= 233.63
0.43x + -6.41y + -9.54z <= 486.57
-1.96x + -1.4y + -1.19z <= 744.24
5.7x + -0.67y + -2.32z <= 497.81
6.6x + 4.33y + -2.89z <= 178.65
1.04x + 4.13y + -6.06z <= 228.67
-6.49x + -3.31y + 0.79z <= 654.27
-9.83x + 5.78y + 4.62z <= 422.13
-3.8x + -9.58y + -6.08z <= 260.55
-0.29x + 3.22y + 0.7z <= 425.33
-2.64x + -8.21y + -0.25z <= 839.82
-0.19x + 6.12y + -5.89z <= 615.53
1.55x + -9.8y + 0.41z <= 826.07
8.05x + -1.12y + -9.19z <= 660.3
-9.18x + 5.21y + 1.31z <= 427.73
-6.49x + -2.35y + 6.45z <= 538.86
-6.79x + 8.64y + -3.54z <= 897.02
-1.71x + -9.41y + -5.42z <= 233.47
8.51x + 0.16y + -5.13z <= 522.48
3.57x + 9.55y + 9.48z <= 409.78
-0.68x + 2.0y + 8.34z <= 252.68
7.62x + 1.28y + 2.02z <= 532.98
-3.37x + 9.33y + -6.88z <= 528.64
-3.62x + 3.84y + 1.79z <= 149.94
-4.12x + 3.52y + -9.92z <= 473.77
2.27x + -7.78y + -1.05z <= 297.92
-7.52x + 2.98y + -3.71z <= 482.98
5.12x + 3.03y + 0.09z <= 174.42
0.87x + 5.65y + -4.38z <= 771.05
-5.91x + 8.95y + -8.74z <= 343.34
0.5x + 8.8y + 7.81z <= 754.03
2.01x + -7.7y + -6.83z <= 287.8
-5.35x + 4.31y + 3.29z <= 299.94
-5.89x + -2.86y + 4.91z <= 245.94
3.96x + 9.83y + 9.74z <= 991.25
-2.02x + 2.85y + 3.48z <= 732.09
5.49x + 6.21y + 1.92z <= 148.65
-6.28x + -0.29y + 0.92z <= 793.72
6.89x + -8.66y + -7.21z <= 477.62
8.69x + -1.86y + -5.18z <= 612.07
-4.09x + -3.07y + 7.91z <= 228.97
1.65x + -2.71y + 9.44z <= 984.21
7.45x + 3.09y + -5.26z <= 568.94
4.8x + -4.19y + -0.86z <= 897.05
8.01x + -8.95y + 5.6z <= 282.46
2.47x + 1.44y + 8.9z <= 144.73
3.58x + -7.66y + -6.15z <= 281.13
1.57x + 6.45y + 2.87z <= 364.96
5.44x + 7.12y + -7.15z <= 550.6
-7.31x + -9.44y + -0.74z <= 310.73
-9.78x + -3.61y + 4.03z <= 872.71
-0.06x + -1.27y + 1.1z <= 811.42
0.3x + -8.79y + -4.18z <= 298.75
1.91x + -9.31y + 3.47z <= 440.83
9.94x + -3.17y + -9.56z <= 346.97
-1.43x + 5.1y + -8.01z <= 212.1
-2.34x + 6.26y + -2.28z <= 759.61
-1.8x + -0.41y + -0.61z <= 505.03
0.84x + -1.58y + -3.39z <= 944.57
-5.49x + 3.98y + -0.12z <= 548.08
7.19x + 5.23y + -1.6z <= 411.69
3.42x + 7.45y + -9.62z <= 443.97
8.33x + 4.59y + -9.81z <= 281.24
9.12x + 6.73y + 3.51z <= 536.33
-0.44x + -1.04y + 3.36z <= 358.82
-2.64x + 8.01y + -9.17z <= 626.47
-8.99x + 9.89y + 4.9z <= 259.17
4.14x + -5.38y + 2.14z <= 811.0
2.0x + -6.57y + -2.85z <= 485.33
-1.18x + 0.67y + 4.67z <= 914.74
0.16x + 3.4y + -1.04z <= 396.04
-7.86x + 0.23y + 0.62z <= 704.96
6.65x + 7.46y + -1.24z <= 915.15
-2.8x + 6.16y + -4.13z <= 165.88
7.93x + -2.03y + 8.81z <= 392.78
8.73x + 2.19y + 6.22z <= 808.28
-0.39x + 7.36y + -8.3z <= 851.9
7.28x + -1.29y + 9.49z <= 809.64
4.5x + -7.04y + -0.12z <= 812.46
2.31x + 3.29y + -8.81z <= 793.33
5.17x + 9.19y + 9.16z <= 983.76
8.18x + 0.12y + -5.33z <= 798.4
6.65x + 0.93y + -9.03z <= 842.2
6.87x + -2.71y + 6.93z <= 640.92
-9.42x + 3.26y + -0.54z <= 383.72
-4.78x + -4.73y + -4.51z <= 115.11
-4.02x + 7.88y + 0.75z <= 877.61
9.77x + -8.33y + -0.9z <= 399.25
-6.5x + 1.33y + -7.33z <= 212.69
9.3x + 9.75y + -3.81z <= 612.67
3.5x + -0.52y + -9.6z <= 904.68
3.87x + -7.56y + -8.55z <= 390.44
3.39x + 2.75y + 5.39z <= 624.71
-0.71x + -1.27y + -1.94z <= 604.04
-1.24x + 8.56y + -7.56z <= 478.45
-9.6x + -3.63y + -3.77z <= 120.72
-3.75x + 8.44y + -6.8z <= 547.47
-6.92x + -7.61y + 7.34z <= 233.49
7.57x + 4.57y + -0.13z <= 476.73
-6.22x + 7.52y + 7.89z <= 758.69
6.11x + 4.25y + -9.05z <= 992.81
-1.46x + -6.58y + 3.38z <= 395.85
9.25x + 2.97y + 6.85z <= 565.51
-9.1x + 9.2y + -3.13z <= 502.31
2.5x + 7.92y + 7.32z <= 482.83
-7.37x + 4.43y + 1.5z <= 560.59
9.03x + -4.43y + 7.24z <= 552.1
-4.16x + 3.02y + 0.2z <= 630.83
1.41x + 1.75y + -8.22z <= 924.78
1.8x + -4.79y + -6.31z <= 800.71
-5.51x + -8.52y + 3.42z <= 819.1
-7.55x + -6.86y + 6.09z <= 920.63
1.65x + 3.91y + 2.69z <= 560.58
-7.16x + -3.42y + 8.32z <= 102.93
6.88x + -8.68y + -1.5z <= 644.59
-8.22x + 3.94y + 2.13z <= 176.89
5.01x + 9.16y + -5.71z <= 449.23
7.41x + 3.73y + -9.4z <= 565.59
-1.01x + 2.6y + -0.42z <= 303.78
-5.87x + -0.86y + 7.7z <= 527.25
-2.81x + 0.98y + 4.0z <= 923.3
8.42x + 9.07y + 6.55z <= 353.75
8.87x + 4.92y + -3.2z <= 570.52
9.32x + 0.98y + -4.13z <= 151.83
2.09x + 9.63y + -6.65z <= 185.22
-1.14x + -8.25y + 2.48z <= 449.19
-8.88x + 7.99y + -9.39z <= 879.71
-7.7x + -5.68y + -7.94z <= 977.7
0.06x + -0.79y + 4.26z <= 652.82
-3.86x + 5.64y + 0.23z <= 106.11
-5.23x + 2.76y + -4.2z <= 483.48
7.42x + -8.6y + -4.97z <= 558.88
5.46x + -2.87y + 5.83z <= 564.17
0.9x + 6.67y + 2.12z <= 171.35
-0.24x + 8.03y + 6.06z <= 753.14
8.19x + 2.86y + -0.27z <= 767.25
-8.38x + 0.67y + -8.31z <= 311.47
-2.82x + -3.54y + 0.27z <= 849.55
6.5x + -0.51y + -0.35z <= 431.88
8.68x + -7.21y + 6.67z <= 837.44
0.72x + 2.26y + 9.07z <= 292.71
-4.01x + -5.91y + 1.82z <= 175.08
-6.67x + 9.92y + -0.37z <= 229.54
-1.78x + -6.75y + -5.74z <= 914.46
8.99x + -0.2y + -7.88z <= 298.82
7.48x + -0.29y + -6.44z <= 882.35
4.94x + -7.47y + -3.83z <= 394.59
0.38x + -9.85y + 1.9z <= 561.15
-5.9x + -4.75y + 0.96z <= 692.13
2.39x + -3.62y + -6.46z <= 312.6
-2.57x + 1.35y + 1.22z <= 559.68
-4.96x + 2.22y + -9.28z <= 898.56
-6.06x + 7.15y + -7.75z <= 744.91
1.58x + -7.6y + 0.4z <= 703.26
-7.11x + 7.38y + -8.75z <= 411.25
5.29x + 3.11y + 6.53z <= 130.51
4.05x + 3.59y + -4.7z <= 273.27
-8.99x + -2.66y + -1.31z <= 692.08
5.77x + 7.54y + -5.39z <= 880.97
6.38x + -5.72y + 0.42z <= 141.15
4.14x + 2.5y + 4.29z <= 151.97
1.51x + -8.63y + 6.43z <= 198.82
-0.21x + -1.29y + 1.72z <= 391.37
-4.59x + 1.11y + -2.66z <= 392.55
-10.0x + 8.52y + 0.53z <= 725.38
-1.14x + 2.5y + 6.14z <= 677.79
8.36x + 9.64y + 8.41z <= 810.34
0.06x + 2.31y + 5.39z <= 515.19
-4.54x + -7.8y + -7.04z <= 589.93
4.71x + -3.87y + 1.05z <= 188.01
-5.72x + -3.73y + -1.56z <= 631.98
6.53x + -8.58y + 1.24z <= 173.85
-3.03x + 9.7y + 0.5z <= 573.38
8.84x + -8.13y + 0.69z <= 490.81
2.35x + 9.36y + 1.16z <= 227.04
9.04x + 4.79y + -0.5z <= 256.51
-2.05x + -4.37y + -4.33z <= 354.74
-0.61x + -9.62y + -3.86z <= 790.3
-2.42x + -1.24y + -5.75z <= 412.48
-4.0x + -7.19y + -4.54z <= 344.01
-3.79x + 7.01y + 1.66z <= 823.39
-3.1x + 7.13y + -4.72z <= 466.34
2.02x + -6.54y + -6.9z <= 746.93
8.83x + 2.97y + -0.38z <= 296.74
9.78x + 6.07y + 0.58z <= 844.95
2.94x + -8.94y + -8.91z <= 806.21
-8.92x + -8.7y + -5.71z <= 834.48
-6.24x + -2.53y + 2.76z <= 362.75
-7.55x + -6.06y + 2.76z <= 123.55
3.19x + -0.43y + 5.06z <= 324.97
-3.62x + -4.32y + -7.45z <= 951.23
6.74x + 2.82y + 6.13z <= 539.89
6.3x + -0.07y + 3.46z <= 268.8
-5.18x + 0.7y + -6.63z <= 819.05
5.85x + -7.92y + -3.95z <= 293.35
-2.38x + 8.7y + -0.84z <= 160.16
-2.9x + 2.74y + -5.28z <= 273.0
-7.69x + 3.69y + 5.12z <= 342.86
-3.82x + -1.17y + 3.42z <= 848.63
-6.79x + 6.73y + -7.36z <= 377.23
0.15x + 7.51y + -4.63z <= 201.59
-7.23x + 8.85y + -1.21z <= 196.33
3.1x + 7.02y + -5.21z <= 564.74
-1.17x + -6.19y + -4.21z <= 959.07
-2.19x + -8.21y + -5.29z <= 685.53
2.03x + 8.42y + 5.78z <= 725.94
9.94x + -4.03y + 5.07z <= 252.69
5.12x + 6.27y + -9.76z <= 336.78
-6.5x + 3.37y + -4.39z <= 269.69
5.42x + -6.52y + -0.39z <= 915.32
2.9x + 8.48y + -8.58z <= 320.91
7.77x + -5.47y + -1.86z <= 283.9
-3.03x + -0.56y + -5.38z <= 825.53
-1.13x + -1.9y + -8.24z <= 476.16
3.93x + -8.76y + -8.46z <= 474.43
8.66x + -0.4y + 5.8z <= 572.31
-2.53x + -2.75y + 4.43z <= 541.54
2.95x + 9.76y + -6.04z <= 784.15
4.31x + 6.23y + 1.96z <= 741.46
0.37x + -1.99y + -9.69z <= 552.33
-2.03x + -1.42y + 3.84z <= 244.21
-2.36x + -7.68y + 3.58z <= 219.34
-8.28x + 6.11y + -0.76z <= 424.57
-4.55x + 1.59y + 3.52z <= 392.86
6.68x + -6.65y + -6.19z <= 449.56
9.69x + -7.89y + 3.3z <= 378.42
-3.58x + 0.15y + -7.99z <= 930.91
-1.52x + -3.08y + -1.3z <= 194.86
8.61x + -0.08y + -9.74z <= 564.64
-0.73x + 2.65y + 6.73z <= 223.47
-6.29x + -4.34y + 4.61z <= 798.48
-6.43x + 6.44y + 0.28z <= 846.67
4.85x + -9.85y + 4.57z <= 462.75
-8.43x + 6.16y + 4.71z <= 794.74
7.62x + 5.49y + 5.48z <= 494.34
7.58x + 9.56y + -7.35z <= 277.0
-9.22x + -8.09y + -6.56z <= 115.49
6.12x + -1.03y + 8.79z <= 147.05
5.88x + -0.8y + 6.82z <= 636.52
8.28x + -6.35y + 5.29z <= 578.88
-3.37x + -2.98y + -9.82z <= 887.39
1.06x + -3.76y + -1.26z <= 519.52
1.29x + 5.75y + 4.15z <= 504.7
2.62x + 0.91y + -7.74z <= 385.12
-7.71x + 1.07y + -6.65z <= 995.78
-3.3x + 1.84y + -7.97z <= 739.0
0.92x + 3.16y + -0.26z <= 231.94
7.65x + 5.22y + -9.32z <= 674.61
-0.44x + 3.47y + 4.33z <= 266.45
-8.13x + 4.2y + -6.62z <= 471.4
-0.39x + -6.09y + 0.88z <= 226.22
7.48x + -9.19y + 2.78z <= 725.55
-8.17x + -8.32y + 0.96z <= 376.28
0.09x + 8.31y + 4.6z <= 229.25
-5.24x + 1.09y + 8.36z <= 920.8
5.44x + -7.91y + -2.65z <= 943.11
-3.88x + -2.09y + 6.5z <= 462.74
-4.59x + -6.47y + -0.94z <= 285.36
-2.09x + 4.3y + -6.22z <= 605.07
8.91x + -6.44y + 8.63z <= 164.42
-8.92x + -6.72y + 2.96z <= 591.31
8.66x + -3.39y + -8.3z <= 643.28
9.44x + 1.85y + 2.7z <= 672.44
7.78x + -7.43y + 6.71z <= 938.52
6.88x + 3.5y + 4.64z <= 224.74
2.32x + 6.57y + 2.94z <= 411.44
9.69x + 1.66y + -6.46z <= 709.4
8.04x + -8.76y + -3.38z <= 384.67
-5.85x + 3.22y + 5.8z <= 295.9
3.82x + -7.99y + -4.52z <= 272.89
-5.18x + -5.64y + -9.93z <= 981.08
-6.28x + -4.01y + 8.56z <= 712.29
